,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 4, 1975",Thu,North Texas,27,,Texas-Arlington,14,"Irving, TX"
1,2,1,"Sep 6, 1975",Sat,Akron,20,,Marshall,8,
2,3,1,"Sep 6, 1975",Sat,Arkansas State,42,,Northwestern State,0,
3,4,1,"Sep 6, 1975",Sat,Ball State,24,,Eastern Michigan,14,
4,5,1,"Sep 6, 1975",Sat,Baylor,20,,Mississippi,10,
5,6,1,"Sep 6, 1975",Sat,Central Michigan,34,,Western Michigan,0,
6,7,1,"Sep 6, 1975",Sat,Fresno State,49,@,Cal State Fullerton,7,
7,8,1,"Sep 6, 1975",Sat,Houston,20,,Lamar,3,
8,9,1,"Sep 6, 1975",Sat,Louisiana-Lafayette,22,,Long Beach State,17,
9,10,1,"Sep 6, 1975",Sat,Maryland,41,,Villanova,0,
10,11,1,"Sep 6, 1975",Sat,Mississippi State,17,@,Memphis,7,
11,12,1,"Sep 6, 1975",Sat,New Mexico State,14,,Drake,10,
12,13,1,"Sep 6, 1975",Sat,North Carolina,33,,William & Mary,7,
13,14,1,"Sep 6, 1975",Sat,North Carolina State,26,,East Carolina,3,
14,15,1,"Sep 6, 1975",Sat,Pacific,3,,Louisiana-Monroe,3,
15,16,1,"Sep 6, 1975",Sat,Penn State,26,@,Temple,25,"Philadelphia, PA"
16,17,1,"Sep 6, 1975",Sat,Pittsburgh,19,@,Georgia,9,
17,18,1,"Sep 6, 1975",Sat,San Diego State,31,,Texas-El Paso,10,
18,19,1,"Sep 6, 1975",Sat,Southern Methodist,14,@,Wake Forest,7,
19,20,1,"Sep 6, 1975",Sat,Toledo,32,,Western Carolina,31,
20,21,1,"Sep 6, 1975",Sat,Western Kentucky,27,@,Dayton,7,
21,22,1,"Sep 6, 1975",Sat,Wichita State,13,,West Texas A&M;,7,
22,23,1,"Sep 8, 1975",Mon,Missouri,20,@,Alabama,7,"Birmingham, AL"
23,24,2,"Sep 12, 1975",Fri,Southern California,35,,Duke,7,
24,25,2,"Sep 13, 1975",Sat,Akron,27,@,Western Michigan,21,
25,26,2,"Sep 13, 1975",Sat,Appalachian State,41,,East Carolina,25,
26,27,2,"Sep 13, 1975",Sat,Arizona State,35,,Washington,12,
27,28,2,"Sep 13, 1975",Sat,Arkansas,35,,Air Force,0,"Little Rock, AR"
28,29,2,"Sep 13, 1975",Sat,Arkansas State,23,,Idaho,6,
29,30,2,"Sep 13, 1975",Sat,Army,44,,Holy Cross,7,
30,31,2,"Sep 13, 1975",Sat,Ball State,38,,Toledo,28,
31,32,2,"Sep 13, 1975",Sat,Bowling Green State,23,@,Brigham Young,21,
32,33,2,"Sep 13, 1975",Sat,Cincinnati,19,,Richmond,6,
33,34,2,"Sep 13, 1975",Sat,Citadel,21,,Presbyterian,0,
34,35,2,"Sep 13, 1975",Sat,Colorado,34,,California,27,
35,36,2,"Sep 13, 1975",Sat,Delaware,10,@,Virginia Military Institute,9,
36,37,2,"Sep 13, 1975",Sat,Eastern Kentucky,30,,Dayton,24,
37,38,2,"Sep 13, 1975",Sat,Eastern Michigan,30,,Indiana State,7,
38,39,2,"Sep 13, 1975",Sat,Florida,40,,Southern Methodist,14,
39,40,2,"Sep 13, 1975",Sat,Idaho State,16,@,Wyoming,3,
40,41,2,"Sep 13, 1975",Sat,Illinois,27,@,Iowa,12,
41,42,2,"Sep 13, 1975",Sat,Indiana,20,,Minnesota,14,
42,43,2,"Sep 13, 1975",Sat,Kansas State,17,@,Tulsa,16,
43,44,2,"Sep 13, 1975",Sat,Kent State,31,@,Louisiana-Monroe,29,
44,45,2,"Sep 13, 1975",Sat,Kentucky,27,,Virginia Tech,8,
45,46,2,"Sep 13, 1975",Sat,Long Beach State,24,@,Northern Illinois,7,
46,47,2,"Sep 13, 1975",Sat,Louisiana Tech,21,@,McNeese State,14,
47,48,2,"Sep 13, 1975",Sat,Louisiana-Lafayette,27,,Southern Illinois,10,
48,49,2,"Sep 13, 1975",Sat,Memphis,31,@,Auburn,20,
49,50,2,"Sep 13, 1975",Sat,Miami (OH),50,,Marshall,0,
50,51,2,"Sep 13, 1975",Sat,Michigan,23,@,Wisconsin,6,
51,52,2,"Sep 13, 1975",Sat,Navy,42,@,Virginia,14,
52,53,2,"Sep 13, 1975",Sat,Nebraska,10,,Louisiana State,7,
53,54,2,"Sep 13, 1975",Sat,New Mexico,29,,Fresno State,0,
54,55,2,"Sep 13, 1975",Sat,New Mexico State,31,@,Texas-El Paso,24,
55,56,2,"Sep 13, 1975",Sat,North Texas,7,@,Drake,3,
56,57,2,"Sep 13, 1975",Sat,Northwestern,31,,Purdue,25,
57,58,2,"Sep 13, 1975",Sat,Ohio,6,,Central Michigan,6,
58,59,2,"Sep 13, 1975",Sat,Ohio State,21,@,Michigan State,0,
59,60,2,"Sep 13, 1975",Sat,Oklahoma,62,,Oregon,7,
60,61,2,"Sep 13, 1975",Sat,Oklahoma State,34,,Wichita State,0,
61,62,2,"Sep 13, 1975",Sat,Pacific,31,,California-Davis,13,
62,63,2,"Sep 13, 1975",Sat,Penn State,34,,Stanford,14,
63,64,2,"Sep 13, 1975",Sat,Rice,24,@,Houston,7,
64,65,2,"Sep 13, 1975",Sat,San Diego State,25,@,Oregon State,0,"Portland, OR"
65,66,2,"Sep 13, 1975",Sat,San Jose State,13,,Santa Clara,0,
66,67,2,"Sep 13, 1975",Sat,South Carolina,23,,Georgia Tech,17,
67,68,2,"Sep 13, 1975",Sat,Southern Mississippi,14,@,Weber State,10,
68,69,2,"Sep 13, 1975",Sat,Syracuse,24,,Villanova,17,
69,70,2,"Sep 13, 1975",Sat,Tennessee,26,,Maryland,8,
