,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 14, 1963",Sat,Buffalo,34,,Gettysburg,0,
1,2,1,"Sep 14, 1963",Sat,Furman,17,,Davidson,0,
2,3,1,"Sep 14, 1963",Sat,Georgia Tech,9,,Florida,0,
3,4,1,"Sep 14, 1963",Sat,Memphis,28,@,Southern Mississippi,7,"Jackson, MS"
4,5,1,"Sep 14, 1963",Sat,New Mexico State,21,,Eastern New Mexico,0,
5,6,1,"Sep 14, 1963",Sat,Quantico Marines,9,@,Xavier,7,
6,7,1,"Sep 14, 1963",Sat,Richmond,10,,East Carolina,7,
7,8,2,"Sep 20, 1963",Fri,Florida State,24,@,Miami (FL),0,
8,9,2,"Sep 20, 1963",Fri,Pittsburgh,20,@,UCLA,0,
9,10,2,"Sep 20, 1963",Fri,Texas,21,@,Tulane,0,
10,11,2,"Sep 21, 1963",Sat,Air Force,10,,Washington,7,
11,12,2,"Sep 21, 1963",Sat,Alabama,32,@,Georgia,7,
12,13,2,"Sep 21, 1963",Sat,Arkansas,21,,Oklahoma State,0,"Little Rock, AR"
13,14,2,"Sep 21, 1963",Sat,Army,30,,Boston University,0,
14,15,2,"Sep 21, 1963",Sat,Auburn,21,@,Houston,14,
15,16,2,"Sep 21, 1963",Sat,Bowling Green State,27,,Detroit Mercy,14,
16,17,2,"Sep 21, 1963",Sat,Buffalo,7,@,Ohio,0,
17,18,2,"Sep 21, 1963",Sat,California,15,,Iowa State,8,
18,19,2,"Sep 21, 1963",Sat,Catawba College,18,,Davidson,14,"Charlotte, NC"
19,20,2,"Sep 21, 1963",Sat,Cincinnati,28,,Drake,0,
20,21,2,"Sep 21, 1963",Sat,Colorado State,20,@,Pacific,0,
21,22,2,"Sep 21, 1963",Sat,Dayton,22,,Toledo,19,
22,23,2,"Sep 21, 1963",Sat,Duke,22,,South Carolina,14,
23,24,2,"Sep 21, 1963",Sat,East Carolina,20,,Wake Forest,10,
24,25,2,"Sep 21, 1963",Sat,Furman,14,@,Vanderbilt,13,
25,26,2,"Sep 21, 1963",Sat,Idaho,32,,Fresno State,8,
26,27,2,"Sep 21, 1963",Sat,Kansas State,24,,Brigham Young,7,
27,28,2,"Sep 21, 1963",Sat,Kentucky,33,,Virginia Tech,14,
28,29,2,"Sep 21, 1963",Sat,Louisiana State,14,,Texas A&M;,6,
29,30,2,"Sep 21, 1963",Sat,Mississippi,0,,Memphis,0,
30,31,2,"Sep 21, 1963",Sat,Mississippi State,43,,Samford,0,
31,32,2,"Sep 21, 1963",Sat,Morehead State,19,@,Marshall,6,
32,33,2,"Sep 21, 1963",Sat,Navy,51,@,West Virginia,7,
33,34,2,"Sep 21, 1963",Sat,Nebraska,58,,South Dakota State,7,
34,35,2,"Sep 21, 1963",Sat,North Carolina,11,,Virginia,7,
35,36,2,"Sep 21, 1963",Sat,North Carolina State,36,@,Maryland,14,
36,37,2,"Sep 21, 1963",Sat,Northwestern,23,@,Missouri,12,
37,38,2,"Sep 21, 1963",Sat,Oklahoma,31,,Clemson,14,
38,39,2,"Sep 21, 1963",Sat,Oregon State,29,@,Utah,14,
39,40,2,"Sep 21, 1963",Sat,Penn State,17,@,Oregon,7,"Portland, OR"
40,41,2,"Sep 21, 1963",Sat,Southern California,14,@,Colorado,0,
41,42,2,"Sep 21, 1963",Sat,Stanford,29,,San Jose State,13,
42,43,2,"Sep 21, 1963",Sat,Syracuse,32,,Boston College,21,
43,44,2,"Sep 21, 1963",Sat,Tennessee,34,,Richmond,6,
44,45,2,"Sep 21, 1963",Sat,Texas Christian,10,,Kansas,6,
45,46,2,"Sep 21, 1963",Sat,Texas Tech,16,,Washington State,7,
46,47,2,"Sep 21, 1963",Sat,Texas-El Paso,34,,North Texas,7,
47,48,2,"Sep 21, 1963",Sat,Tulsa,23,,Montana State,13,
48,49,2,"Sep 21, 1963",Sat,Utah State,43,@,Arizona,0,
49,50,2,"Sep 21, 1963",Sat,Villanova,21,,West Chester,9,
50,51,2,"Sep 21, 1963",Sat,Virginia Military Institute,14,,George Washington,6,
51,52,2,"Sep 21, 1963",Sat,West Texas A&M;,22,,Texas-Arlington,17,
52,53,2,"Sep 21, 1963",Sat,Wichita State,33,@,Arizona State,13,
53,54,2,"Sep 21, 1963",Sat,William & Mary,7,@,Citadel,0,
54,55,2,"Sep 21, 1963",Sat,Wisconsin,41,,Western Michigan,0,
55,56,2,"Sep 21, 1963",Sat,Wyoming,35,@,Montana,0,
56,57,2,"Sep 21, 1963",Sat,Xavier,21,@,Miami (OH),12,
57,58,3,"Sep 27, 1963",Fri,Detroit Mercy,20,,Northern Michigan,7,
58,59,3,"Sep 28, 1963",Sat,Air Force,69,,Colorado State,0,
59,60,3,"Sep 28, 1963",Sat,Alabama,28,,Tulane,0,"Mobile, AL"
60,61,3,"Sep 28, 1963",Sat,Arizona,33,,Brigham Young,7,
61,62,3,"Sep 28, 1963",Sat,Arizona State,14,,New Mexico State,13,
62,63,3,"Sep 28, 1963",Sat,Army,22,,Cincinnati,0,
63,64,3,"Sep 28, 1963",Sat,Auburn,23,@,Tennessee,19,
64,65,3,"Sep 28, 1963",Sat,Baylor,27,,Houston,0,
65,66,3,"Sep 28, 1963",Sat,Boston College,22,,Wichita State,16,
66,67,3,"Sep 28, 1963",Sat,Bowling Green State,31,@,Southern Illinois,6,
67,68,3,"Sep 28, 1963",Sat,Buffalo,6,,Holy Cross,6,
68,69,3,"Sep 28, 1963",Sat,Central Michigan,30,,Western Michigan,14,
69,70,3,"Sep 28, 1963",Sat,Citadel,28,@,Davidson,6,
70,71,3,"Sep 28, 1963",Sat,Colgate,21,@,Cornell,17,
71,72,3,"Sep 28, 1963",Sat,Columbia,41,@,Brown,14,
72,73,3,"Sep 28, 1963",Sat,Dartmouth,20,,Bucknell,18,
73,74,3,"Sep 28, 1963",Sat,Delaware,30,,Lehigh,0,
74,75,3,"Sep 28, 1963",Sat,Duke,30,@,Virginia,8,
75,76,3,"Sep 28, 1963",Sat,Furman,29,,George Washington,14,
76,77,3,"Sep 28, 1963",Sat,Georgia,20,,Vanderbilt,0,
77,78,3,"Sep 28, 1963",Sat,Georgia Tech,27,,Clemson,0,
78,79,3,"Sep 28, 1963",Sat,Idaho,10,,Utah,9,"Boise, ID"
79,80,3,"Sep 28, 1963",Sat,Illinois,10,,California,0,
80,81,3,"Sep 28, 1963",Sat,Iowa State,21,,Virginia Military Institute,6,
81,82,3,"Sep 28, 1963",Sat,Kansas,10,,Syracuse,0,
82,83,3,"Sep 28, 1963",Sat,Kent State,7,,Xavier,7,
83,84,3,"Sep 28, 1963",Sat,Marshall,14,,Miami (OH),14,
84,85,3,"Sep 28, 1963",Sat,Massachusetts,0,,Harvard,0,
85,86,3,"Sep 28, 1963",Sat,Miami (FL),3,,Purdue,0,
86,87,3,"Sep 28, 1963",Sat,Michigan,27,,Southern Methodist,16,
87,88,3,"Sep 28, 1963",Sat,Michigan State,31,,North Carolina,0,
88,89,3,"Sep 28, 1963",Sat,Mississippi,31,@,Kentucky,7,
89,90,3,"Sep 28, 1963",Sat,Mississippi State,9,,Florida,9,
90,91,3,"Sep 28, 1963",Sat,Missouri,7,@,Arkansas,6,"Little Rock, AR"
91,92,3,"Sep 28, 1963",Sat,Navy,28,,William & Mary,0,
92,93,3,"Sep 28, 1963",Sat,Nebraska,14,@,Minnesota,7,
93,94,3,"Sep 28, 1963",Sat,New Mexico,23,,Texas-El Paso,7,
94,95,3,"Sep 28, 1963",Sat,North Carolina State,14,@,Southern Mississippi,0,
95,96,3,"Sep 28, 1963",Sat,North Texas,26,,Louisville,6,
96,97,3,"Sep 28, 1963",Sat,Northwestern,34,,Indiana,21,
97,98,3,"Sep 28, 1963",Sat,Ohio,13,@,Dayton,6,
98,99,3,"Sep 28, 1963",Sat,Ohio State,17,,Texas A&M;,0,
99,100,3,"Sep 28, 1963",Sat,Oklahoma,17,@,Southern California,12,
100,101,3,"Sep 28, 1963",Sat,Oregon,36,@,Stanford,7,
101,102,3,"Sep 28, 1963",Sat,Oregon State,41,,Colorado,6,"Portland, OR"
102,103,3,"Sep 28, 1963",Sat,Penn State,17,,UCLA,14,
103,104,3,"Sep 28, 1963",Sat,Pennsylvania,47,,Lafayette,0,
104,105,3,"Sep 28, 1963",Sat,Pittsburgh,13,,Washington,6,
105,106,3,"Sep 28, 1963",Sat,Princeton,24,,Rutgers,0,
106,107,3,"Sep 28, 1963",Sat,Rice,21,,Louisiana State,12,
107,108,3,"Sep 28, 1963",Sat,San Jose State,16,,Kansas State,0,
108,109,3,"Sep 28, 1963",Sat,South Carolina,21,,Maryland,13,
109,110,3,"Sep 28, 1963",Sat,Texas,49,,Texas Tech,7,
110,111,3,"Sep 28, 1963",Sat,Texas Christian,13,@,Florida State,0,
111,112,3,"Sep 28, 1963",Sat,Villanova,18,@,Toledo,14,
112,113,3,"Sep 28, 1963",Sat,Virginia Tech,27,@,Wake Forest,0,
113,114,3,"Sep 28, 1963",Sat,Washington State,14,,Iowa,14,
114,115,3,"Sep 28, 1963",Sat,West Texas A&M;,32,,Pacific,8,
115,116,3,"Sep 28, 1963",Sat,West Virginia,34,@,Boston University,0,
116,117,3,"Sep 28, 1963",Sat,Wisconsin,14,@,Notre Dame,9,
117,118,3,"Sep 28, 1963",Sat,Wyoming,21,,Utah State,14,
118,119,3,"Sep 28, 1963",Sat,Yale,3,,Connecticut,0,
119,120,4,"Oct 3, 1963",Thu,Oregon State,22,,Baylor,15,"Portland, OR"
120,121,4,"Oct 4, 1963",Fri,Boston College,20,@,Detroit Mercy,12,
121,122,4,"Oct 4, 1963",Fri,Miami (FL),10,@,Tulane,0,
122,123,4,"Oct 4, 1963",Fri,Southern California,13,,Michigan State,10,
