,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 29, 1998",Sat,Colorado State,23,@,Michigan State,16,"BCA Classic (East Lansing, MI)"
1,2,1,"Aug 29, 1998",Sat,Nebraska,56,,Louisiana Tech,27,"Eddie Robinson Classic (Lincoln, NE)"
2,3,1,"Aug 30, 1998",Sun,Southern California,27,,Purdue,17,"Pigskin Classic (Los Angeles, CA)"
3,4,1,"Aug 31, 1998",Mon,Florida State,23,,Texas A&M;,14,"Kick-off Classic (East Rutherford, NJ)"
4,5,2,"Sep 3, 1998",Thu,Arizona,27,@,Hawaii,6,
5,6,2,"Sep 3, 1998",Thu,North Carolina State,34,,Ohio,31,
6,7,2,"Sep 3, 1998",Thu,Northern Iowa,13,@,Eastern Michigan,10,
7,8,2,"Sep 3, 1998",Thu,Virginia,19,@,Auburn,0,
8,9,2,"Sep 3, 1998",Thu,Western Michigan,37,,Northern Illinois,23,
9,10,2,"Sep 5, 1998",Sat,Air Force,42,,Wake Forest,0,
10,11,2,"Sep 5, 1998",Sat,Alabama,38,,Brigham Young,31,
11,12,2,"Sep 5, 1998",Sat,Arkansas,38,,Louisiana-Lafayette,17,
12,13,2,"Sep 5, 1998",Sat,Boise State,26,,Cal State Northridge,13,
13,14,2,"Sep 5, 1998",Sat,Boston College,41,@,Georgia Tech,31,
14,15,2,"Sep 5, 1998",Sat,California,14,,Houston,10,
15,16,2,"Sep 5, 1998",Sat,Central Florida,64,@,Louisiana Tech,30,
16,17,2,"Sep 5, 1998",Sat,Clemson,33,,Furman,0,
17,18,2,"Sep 5, 1998",Sat,Colorado,42,,Colorado State,14,"Denver, CO"
18,19,2,"Sep 5, 1998",Sat,Duke,24,,Western Carolina,10,
19,20,2,"Sep 5, 1998",Sat,Florida,49,,Citadel,10,
20,21,2,"Sep 5, 1998",Sat,Georgia,56,,Kent State,3,
21,22,2,"Sep 5, 1998",Sat,Idaho,31,,Eastern Washington,14,
22,23,2,"Sep 5, 1998",Sat,Iowa,38,,Central Michigan,0,
23,24,2,"Sep 5, 1998",Sat,Kansas State,66,,Indiana State,0,
24,25,2,"Sep 5, 1998",Sat,Kentucky,68,@,Louisville,34,
25,26,2,"Sep 5, 1998",Sat,Louisiana-Monroe,44,,Nicholls State,10,
26,27,2,"Sep 5, 1998",Sat,Marshall,27,@,Akron,16,
27,28,2,"Sep 5, 1998",Sat,Maryland,23,,James Madison,15,
28,29,2,"Sep 5, 1998",Sat,Miami (FL),66,,East Tennessee State,17,
29,30,2,"Sep 5, 1998",Sat,Miami (OH),13,@,North Carolina,10,
30,31,2,"Sep 5, 1998",Sat,Minnesota,17,,Arkansas State,14,
31,32,2,"Sep 5, 1998",Sat,Mississippi,30,,Memphis,10,
32,33,2,"Sep 5, 1998",Sat,Mississippi State,42,,Vanderbilt,0,
33,34,2,"Sep 5, 1998",Sat,Missouri,37,,Bowling Green State,0,
34,35,2,"Sep 5, 1998",Sat,Nebraska,38,,Alabama-Birmingham,7,
35,36,2,"Sep 5, 1998",Sat,New Mexico,38,,Idaho State,9,
36,37,2,"Sep 5, 1998",Sat,Northwestern,41,,Nevada-Las Vegas,7,
37,38,2,"Sep 5, 1998",Sat,Notre Dame,36,,Michigan,20,
38,39,2,"Sep 5, 1998",Sat,Ohio State,34,@,West Virginia,17,
39,40,2,"Sep 5, 1998",Sat,Oklahoma,37,,North Texas,9,
40,41,2,"Sep 5, 1998",Sat,Oklahoma State,38,@,Kansas,28,
41,42,2,"Sep 5, 1998",Sat,Oregon,48,,Michigan State,14,
42,43,2,"Sep 5, 1998",Sat,Oregon State,48,,Nevada,6,
43,44,2,"Sep 5, 1998",Sat,Penn State,34,,Southern Mississippi,6,
44,45,2,"Sep 5, 1998",Sat,Pittsburgh,48,,Villanova,41,
45,46,2,"Sep 5, 1998",Sat,Rice,23,,Southern Methodist,17,
46,47,2,"Sep 5, 1998",Sat,Rutgers,7,,Richmond,6,
47,48,2,"Sep 5, 1998",Sat,San Jose State,35,@,Stanford,23,
48,49,2,"Sep 5, 1998",Sat,South Carolina,38,,Ball State,20,
49,50,2,"Sep 5, 1998",Sat,Tennessee,34,@,Syracuse,33,
50,51,2,"Sep 5, 1998",Sat,Texas,66,,New Mexico State,36,
51,52,2,"Sep 5, 1998",Sat,Texas Christian,31,@,Iowa State,21,
52,53,2,"Sep 5, 1998",Sat,Texas Tech,35,,Texas-El Paso,3,
53,54,2,"Sep 5, 1998",Sat,Toledo,24,,Temple,12,
54,55,2,"Sep 5, 1998",Sat,Tulane,52,@,Cincinnati,34,
55,56,2,"Sep 5, 1998",Sat,Tulsa,49,,Missouri State,14,
56,57,2,"Sep 5, 1998",Sat,Utah,20,@,Utah State,12,
57,58,2,"Sep 5, 1998",Sat,Virginia Tech,38,,East Carolina,3,
58,59,2,"Sep 5, 1998",Sat,Washington,42,@,Arizona State,38,
59,60,2,"Sep 5, 1998",Sat,Washington State,20,,Illinois,13,
60,61,2,"Sep 5, 1998",Sat,Wisconsin,26,@,San Diego State,14,
61,62,3,"Sep 10, 1998",Thu,Wake Forest,26,,Navy,14,
62,63,3,"Sep 12, 1998",Sat,Air Force,52,@,Nevada-Las Vegas,10,
63,64,3,"Sep 12, 1998",Sat,Akron,35,@,Temple,28,"Philadelphia, PA"
64,65,3,"Sep 12, 1998",Sat,Alabama,32,,Vanderbilt,7,"Birmingham, AL"
65,66,3,"Sep 12, 1998",Sat,Arizona,31,@,Stanford,14,
66,67,3,"Sep 12, 1998",Sat,Auburn,17,@,Mississippi,0,
67,68,3,"Sep 12, 1998",Sat,Boston College,41,,Rutgers,14,
68,69,3,"Sep 12, 1998",Sat,Brigham Young,26,,Arizona State,6,
69,70,3,"Sep 12, 1998",Sat,Central Florida,48,,Eastern Illinois,0,
70,71,3,"Sep 12, 1998",Sat,Central Michigan,35,,Western Illinois,14,
71,72,3,"Sep 12, 1998",Sat,Colorado,29,,Fresno State,21,
72,73,3,"Sep 12, 1998",Sat,Colorado State,26,@,Nevada,14,
73,74,3,"Sep 12, 1998",Sat,Duke,44,@,Northwestern,10,
74,75,3,"Sep 12, 1998",Sat,East Carolina,31,,Chattanooga,0,
75,76,3,"Sep 12, 1998",Sat,Eastern Michigan,13,@,Ball State,7,
76,77,3,"Sep 12, 1998",Sat,Florida,42,,Louisiana-Monroe,10,
77,78,3,"Sep 12, 1998",Sat,Georgia,17,@,South Carolina,3,
78,79,3,"Sep 12, 1998",Sat,Georgia Tech,42,,New Mexico State,7,
79,80,3,"Sep 12, 1998",Sat,Idaho,17,@,San Jose State,12,
80,81,3,"Sep 12, 1998",Sat,Illinois,48,,Middle Tennessee State,20,
81,82,3,"Sep 12, 1998",Sat,Indiana,45,,Western Michigan,30,
82,83,3,"Sep 12, 1998",Sat,Iowa State,27,@,Iowa,9,
83,84,3,"Sep 12, 1998",Sat,Kansas State,73,,Northern Illinois,7,
84,85,3,"Sep 12, 1998",Sat,Kentucky,52,,Eastern Kentucky,7,
85,86,3,"Sep 12, 1998",Sat,Louisiana State,42,,Arkansas State,6,
86,87,3,"Sep 12, 1998",Sat,Marshall,42,,Troy,12,
87,88,3,"Sep 12, 1998",Sat,Miami (FL),38,@,Cincinnati,12,
88,89,3,"Sep 12, 1998",Sat,Miami (OH),14,@,Army,13,
89,90,3,"Sep 12, 1998",Sat,Michigan State,45,,Notre Dame,23,
90,91,3,"Sep 12, 1998",Sat,Minnesota,14,@,Houston,7,
91,92,3,"Sep 12, 1998",Sat,Mississippi State,14,@,Memphis,6,
92,93,3,"Sep 12, 1998",Sat,Missouri,41,,Kansas,23,
93,94,3,"Sep 12, 1998",Sat,Nebraska,24,@,California,3,
94,95,3,"Sep 12, 1998",Sat,New Mexico,39,,Utah State,36,
95,96,3,"Sep 12, 1998",Sat,North Carolina State,24,,Florida State,7,
96,97,3,"Sep 12, 1998",Sat,Northwestern State,24,@,Louisiana-Lafayette,22,
97,98,3,"Sep 12, 1998",Sat,Ohio State,49,,Toledo,0,
98,99,3,"Sep 12, 1998",Sat,Oklahoma,10,@,Texas Christian,9,
99,100,3,"Sep 12, 1998",Sat,Oregon,33,@,Texas-El Paso,26,
100,101,3,"Sep 12, 1998",Sat,Oregon State,27,,Baylor,17,
101,102,3,"Sep 12, 1998",Sat,Penn State,48,,Bowling Green State,3,
102,103,3,"Sep 12, 1998",Sat,Purdue,21,,Rice,19,
103,104,3,"Sep 12, 1998",Sat,Southern California,35,,San Diego State,6,
104,105,3,"Sep 12, 1998",Sat,Syracuse,38,@,Michigan,28,
105,106,3,"Sep 12, 1998",Sat,Texas A&M;,28,,Louisiana Tech,7,
106,107,3,"Sep 12, 1998",Sat,Texas Tech,30,@,North Texas,0,"Irving, TX"
107,108,3,"Sep 12, 1998",Sat,Tulane,31,@,Southern Methodist,21,
108,109,3,"Sep 12, 1998",Sat,Tulsa,35,,Oklahoma State,20,
109,110,3,"Sep 12, 1998",Sat,UCLA,49,,Texas,31,
110,111,3,"Sep 12, 1998",Sat,Utah,45,,Louisville,22,
111,112,3,"Sep 12, 1998",Sat,Virginia,31,,Maryland,19,
112,113,3,"Sep 12, 1998",Sat,Virginia Tech,37,@,Clemson,0,
113,114,3,"Sep 12, 1998",Sat,Washington State,33,@,Boise State,21,
114,115,3,"Sep 12, 1998",Sat,Wisconsin,45,,Ohio,0,
115,116,3,"Sep 12, 1998",Sat,Wyoming,17,,Montana State,9,
116,117,3,"Sep 12, 1998",Sat,Youngstown State,24,@,Kent State,10,
117,118,4,"Sep 17, 1998",Thu,Air Force,30,,Colorado State,27,
118,119,4,"Sep 19, 1998",Sat,Alabama-Birmingham,38,,Tennessee Tech,6,
119,120,4,"Sep 19, 1998",Sat,Arizona,35,,Iowa,11,
120,121,4,"Sep 19, 1998",Sat,Arizona State,34,,North Texas,15,
121,122,4,"Sep 19, 1998",Sat,Arkansas,44,,Southern Methodist,17,"Little Rock, AR"
122,123,4,"Sep 19, 1998",Sat,Arkansas State,28,,Missouri State,24,
123,124,4,"Sep 19, 1998",Sat,Army,37,,Cincinnati,20,
124,125,4,"Sep 19, 1998",Sat,Baylor,33,,North Carolina State,30,
125,126,4,"Sep 19, 1998",Sat,Boise State,42,,Portland State,24,
126,127,4,"Sep 19, 1998",Sat,Boston College,31,,Temple,7,
127,128,4,"Sep 19, 1998",Sat,California,13,@,Oklahoma,12,
128,129,4,"Sep 19, 1998",Sat,Colorado,25,,Utah State,6,
129,130,4,"Sep 19, 1998",Sat,East Carolina,21,@,Ohio,14,
130,131,4,"Sep 19, 1998",Sat,Eastern Illinois,24,@,Northern Illinois,10,
131,132,4,"Sep 19, 1998",Sat,Florida State,62,,Duke,13,
132,133,4,"Sep 19, 1998",Sat,Georgia,16,,Wyoming,9,
133,134,4,"Sep 19, 1998",Sat,Iowa State,38,,Ball State,0,
134,135,4,"Sep 19, 1998",Sat,Kansas,63,,Illinois State,21,
135,136,4,"Sep 19, 1998",Sat,Kansas State,48,,Texas,7,
136,137,4,"Sep 19, 1998",Sat,Kentucky,31,,Indiana,27,
137,138,4,"Sep 19, 1998",Sat,Louisiana State,31,@,Auburn,19,
138,139,4,"Sep 19, 1998",Sat,Louisiana Tech,77,,Louisiana-Lafayette,14,
139,140,4,"Sep 19, 1998",Sat,Louisiana-Monroe,21,,Stephen F. Austin,10,
140,141,4,"Sep 19, 1998",Sat,Louisville,35,@,Illinois,9,
141,142,4,"Sep 19, 1998",Sat,Marshall,24,@,South Carolina,21,
142,143,4,"Sep 19, 1998",Sat,Michigan,59,,Eastern Michigan,20,
143,144,4,"Sep 19, 1998",Sat,Minnesota,41,,Memphis,14,
144,145,4,"Sep 19, 1998",Sat,Mississippi,30,@,Vanderbilt,6,
145,146,4,"Sep 19, 1998",Sat,Navy,38,,Kent State,24,
146,147,4,"Sep 19, 1998",Sat,New Mexico State,28,,New Mexico,27,
147,148,4,"Sep 19, 1998",Sat,Northwestern,23,@,Rice,14,
148,149,4,"Sep 19, 1998",Sat,Ohio State,35,,Missouri,14,
149,150,4,"Sep 19, 1998",Sat,Oklahoma State,42,,Mississippi State,23,
150,151,4,"Sep 19, 1998",Sat,Oregon,58,,San Jose State,3,
151,152,4,"Sep 19, 1998",Sat,Penn State,20,@,Pittsburgh,13,
152,153,4,"Sep 19, 1998",Sat,Purdue,35,,Central Florida,7,
153,154,4,"Sep 19, 1998",Sat,Southern California,40,,Oregon State,20,
154,155,4,"Sep 19, 1998",Sat,Stanford,37,,North Carolina,34,
155,156,4,"Sep 19, 1998",Sat,Syracuse,70,,Rutgers,14,
156,157,4,"Sep 19, 1998",Sat,Tennessee,20,,Florida,17,
157,158,4,"Sep 19, 1998",Sat,Texas A&M;,24,@,Southern Mississippi,6,
158,159,4,"Sep 19, 1998",Sat,Texas Tech,34,,Fresno State,28,
159,160,4,"Sep 19, 1998",Sat,Toledo,35,,Western Michigan,7,
160,161,4,"Sep 19, 1998",Sat,UCLA,42,@,Houston,24,
161,162,4,"Sep 19, 1998",Sat,Utah,30,,Hawaii,21,
162,163,4,"Sep 19, 1998",Sat,Virginia,20,,Clemson,18,
163,164,4,"Sep 19, 1998",Sat,Virginia Tech,27,@,Miami (FL),20,
164,165,4,"Sep 19, 1998",Sat,Washington,20,,Brigham Young,10,
165,166,4,"Sep 19, 1998",Sat,Washington State,24,,Idaho,16,
166,167,4,"Sep 19, 1998",Sat,West Virginia,42,,Maryland,20,
167,168,4,"Sep 19, 1998",Sat,Wisconsin,52,,Nevada-Las Vegas,7,
168,169,5,"Sep 24, 1998",Thu,Arizona,35,@,San Diego State,16,
169,170,5,"Sep 26, 1998",Sat,Akron,52,,Ball State,14,
170,171,5,"Sep 26, 1998",Sat,Arizona State,24,,Oregon State,3,
171,172,5,"Sep 26, 1998",Sat,Arkansas,42,,Alabama,6,
172,173,5,"Sep 26, 1998",Sat,Arkansas State,20,@,Hawaii,0,
173,174,5,"Sep 26, 1998",Sat,Boise State,31,@,Utah,28,
174,175,5,"Sep 26, 1998",Sat,Brigham Young,43,,Murray State,9,
175,176,5,"Sep 26, 1998",Sat,California,24,,Washington State,14,
176,177,5,"Sep 26, 1998",Sat,Central Florida,38,@,Bowling Green State,31,
177,178,5,"Sep 26, 1998",Sat,Central Michigan,46,,Kent State,7,
178,179,5,"Sep 26, 1998",Sat,Colorado,18,,Baylor,16,
179,180,5,"Sep 26, 1998",Sat,Colorado State,38,,Nevada-Las Vegas,16,
180,181,5,"Sep 26, 1998",Sat,Florida,51,,Kentucky,35,
181,182,5,"Sep 26, 1998",Sat,Florida State,30,,Southern California,10,
182,183,5,"Sep 26, 1998",Sat,Georgia Tech,43,@,North Carolina,21,
183,184,5,"Sep 26, 1998",Sat,Indiana,48,@,Cincinnati,14,
184,185,5,"Sep 26, 1998",Sat,Iowa,37,@,Illinois,14,
185,186,5,"Sep 26, 1998",Sat,Kansas,39,@,Alabama-Birmingham,37,
186,187,5,"Sep 26, 1998",Sat,Kansas State,62,,Louisiana-Monroe,7,
187,188,5,"Sep 26, 1998",Sat,Louisiana State,53,,Idaho,20,
188,189,5,"Sep 26, 1998",Sat,Louisville,52,,Boston College,28,
189,190,5,"Sep 26, 1998",Sat,Marshall,26,@,Eastern Michigan,23,
190,191,5,"Sep 26, 1998",Sat,Maryland,30,,Temple,20,
191,192,5,"Sep 26, 1998",Sat,Miami (OH),28,,Toledo,14,
192,193,5,"Sep 26, 1998",Sat,Michigan,29,,Michigan State,17,
193,194,5,"Sep 26, 1998",Sat,Mississippi,48,@,Southern Methodist,41,
194,195,5,"Sep 26, 1998",Sat,Mississippi State,38,@,South Carolina,0,
195,196,5,"Sep 26, 1998",Sat,Nebraska,55,,Washington,7,
196,197,5,"Sep 26, 1998",Sat,Nevada,27,@,Fresno State,24,
197,198,5,"Sep 26, 1998",Sat,New Mexico State,33,,Texas-El Paso,24,
198,199,5,"Sep 26, 1998",Sat,Notre Dame,31,,Purdue,30,
199,200,5,"Sep 26, 1998",Sat,Ohio,37,@,Western Michigan,35,
200,201,5,"Sep 26, 1998",Sat,Oregon,63,,Stanford,28,
201,202,5,"Sep 26, 1998",Sat,Rutgers,27,,Army,15,
202,203,5,"Sep 26, 1998",Sat,San Jose State,37,,New Mexico,20,
203,204,5,"Sep 26, 1998",Sat,Southern Mississippi,55,,Louisiana-Lafayette,0,
204,205,5,"Sep 26, 1998",Sat,Tennessee,42,,Houston,7,
205,206,5,"Sep 26, 1998",Sat,Texas,59,,Rice,21,
206,207,5,"Sep 26, 1998",Sat,Texas A&M;,28,,North Texas,9,
207,208,5,"Sep 26, 1998",Sat,Texas Christian,35,,Air Force,34,
208,209,5,"Sep 26, 1998",Sat,Texas Tech,31,@,Iowa State,24,
209,210,5,"Sep 26, 1998",Sat,Tulane,42,,Navy,24,
210,211,5,"Sep 26, 1998",Sat,Utah State,47,,Sam Houston State,17,
211,212,5,"Sep 26, 1998",Sat,Virginia,24,@,Duke,0,
212,213,5,"Sep 26, 1998",Sat,Virginia Tech,27,,Pittsburgh,7,
213,214,5,"Sep 26, 1998",Sat,Wake Forest,29,@,Clemson,19,
214,215,5,"Sep 26, 1998",Sat,West Virginia,44,,Tulsa,21,
215,216,5,"Sep 26, 1998",Sat,Wisconsin,38,,Northwestern,7,
216,217,5,"Sep 26, 1998",Sat,Wyoming,31,,Louisiana Tech,19,
217,218,6,"Oct 1, 1998",Thu,North Carolina State,38,,Syracuse,17,
218,219,6,"Oct 3, 1998",Sat,Air Force,56,,New Mexico,14,
219,220,6,"Oct 3, 1998",Sat,Alabama-Birmingham,24,,Louisiana-Lafayette,13,
220,221,6,"Oct 3, 1998",Sat,Appalachian State,30,@,Wake Forest,27,
221,222,6,"Oct 3, 1998",Sat,Arizona,31,@,Washington,28,
222,223,6,"Oct 3, 1998",Sat,Arkansas,27,,Kentucky,20,"Little Rock, AR"
223,224,6,"Oct 3, 1998",Sat,Arkansas State,34,,New Mexico State,31,
224,225,6,"Oct 3, 1998",Sat,Ball State,18,,Northern Illinois,13,
225,226,6,"Oct 3, 1998",Sat,Bowling Green State,35,,Ohio,7,
226,227,6,"Oct 3, 1998",Sat,Central Florida,31,@,Toledo,24,
227,228,6,"Oct 3, 1998",Sat,Colorado,27,@,Oklahoma,25,
228,229,6,"Oct 3, 1998",Sat,Colorado State,20,@,Texas-El Paso,17,
229,230,6,"Oct 3, 1998",Sat,East Carolina,30,,Army,25,
230,231,6,"Oct 3, 1998",Sat,Eastern Michigan,26,@,Kent State,17,
231,232,6,"Oct 3, 1998",Sat,Florida,16,@,Alabama,10,
232,233,6,"Oct 3, 1998",Sat,Florida State,24,@,Maryland,10,
233,234,6,"Oct 3, 1998",Sat,Fresno State,31,,Brigham Young,21,
234,235,6,"Oct 3, 1998",Sat,Georgia,28,@,Louisiana State,27,
235,236,6,"Oct 3, 1998",Sat,Georgia Tech,41,,Duke,13,
236,237,6,"Oct 3, 1998",Sat,Houston,35,,Memphis,14,
237,238,6,"Oct 3, 1998",Sat,Idaho,52,,Idaho State,3,
238,239,6,"Oct 3, 1998",Sat,Illinois,13,@,Northwestern,10,
239,240,6,"Oct 3, 1998",Sat,Louisiana Tech,63,,Boise State,28,
240,241,6,"Oct 3, 1998",Sat,Louisville,62,,Cincinnati,19,
241,242,6,"Oct 3, 1998",Sat,Marshall,31,,Miami (OH),17,
242,243,6,"Oct 3, 1998",Sat,Miami (FL),53,@,Rutgers,17,
243,244,6,"Oct 3, 1998",Sat,Michigan,12,@,Iowa,9,
244,245,6,"Oct 3, 1998",Sat,Michigan State,38,,Central Michigan,7,
245,246,6,"Oct 3, 1998",Sat,Mississippi,30,,South Carolina,28,
246,247,6,"Oct 3, 1998",Sat,Missouri,35,,Northwestern State,14,
247,248,6,"Oct 3, 1998",Sat,Nebraska,24,,Oklahoma State,17,"Kansas City, MO"
248,249,6,"Oct 3, 1998",Sat,Nevada,31,@,Nevada-Las Vegas,20,
249,250,6,"Oct 3, 1998",Sat,North Carolina,21,,Clemson,14,
250,251,6,"Oct 3, 1998",Sat,Notre Dame,35,,Stanford,17,
251,252,6,"Oct 3, 1998",Sat,Ohio State,28,,Penn State,9,
252,253,6,"Oct 3, 1998",Sat,Oregon State,20,@,Utah State,16,
253,254,6,"Oct 3, 1998",Sat,Pittsburgh,35,,Akron,0,
254,255,6,"Oct 3, 1998",Sat,Purdue,56,,Minnesota,21,
255,256,6,"Oct 3, 1998",Sat,San Diego State,24,@,Tulsa,14,
256,257,6,"Oct 3, 1998",Sat,Southern California,35,,Arizona State,24,
257,258,6,"Oct 3, 1998",Sat,Southern Methodist,28,@,Hawaii,0,
258,259,6,"Oct 3, 1998",Sat,Tennessee,17,@,Auburn,9,
259,260,6,"Oct 3, 1998",Sat,Texas,54,,Iowa State,33,
260,261,6,"Oct 3, 1998",Sat,Texas A&M;,24,@,Kansas,21,
261,262,6,"Oct 3, 1998",Sat,Texas Christian,19,,Vanderbilt,16,
262,263,6,"Oct 3, 1998",Sat,Texas Tech,31,,Baylor,29,
263,264,6,"Oct 3, 1998",Sat,Tulane,21,,Southern Mississippi,7,
264,265,6,"Oct 3, 1998",Sat,UCLA,49,,Washington State,17,
265,266,6,"Oct 3, 1998",Sat,Virginia,52,,San Jose State,14,
266,267,6,"Oct 3, 1998",Sat,West Virginia,45,@,Navy,24,
267,268,6,"Oct 3, 1998",Sat,Western Michigan,27,,Louisiana-Monroe,14,
268,269,6,"Oct 3, 1998",Sat,William & Mary,45,@,Temple,38,
269,270,6,"Oct 3, 1998",Sat,Wisconsin,24,@,Indiana,20,
270,271,6,"Oct 3, 1998",Sat,Wyoming,27,,Utah,24,
271,272,7,"Oct 8, 1998",Thu,Virginia Tech,17,@,Boston College,0,
272,273,7,"Oct 9, 1998",Fri,San Diego State,35,,Hawaii,13,
273,274,7,"Oct 10, 1998",Sat,Air Force,49,,Navy,7,
274,275,7,"Oct 10, 1998",Sat,Akron,45,@,Kent State,16,
275,276,7,"Oct 10, 1998",Sat,Alabama,20,,Mississippi,17,
276,277,7,"Oct 10, 1998",Sat,Arkansas,23,@,Memphis,9,
277,278,7,"Oct 10, 1998",Sat,Army,38,@,Houston,28,
278,279,7,"Oct 10, 1998",Sat,Baylor,31,,Kansas,24,
279,280,7,"Oct 10, 1998",Sat,Brigham Young,38,,Nevada-Las Vegas,14,
280,281,7,"Oct 10, 1998",Sat,California,32,@,Southern California,31,
281,282,7,"Oct 10, 1998",Sat,Central Florida,38,,Northern Illinois,17,
282,283,7,"Oct 10, 1998",Sat,Central Michigan,36,@,Eastern Michigan,23,
283,284,7,"Oct 10, 1998",Sat,Clemson,23,,Maryland,0,
284,285,7,"Oct 10, 1998",Sat,Colorado State,34,,Tulsa,7,
285,286,7,"Oct 10, 1998",Sat,Duke,19,@,Wake Forest,16,
286,287,7,"Oct 10, 1998",Sat,East Carolina,26,,Alabama-Birmingham,7,
287,288,7,"Oct 10, 1998",Sat,Florida,22,,Louisiana State,10,
