,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 1, 2011",Thu,Arizona State,48,,California-Davis,14,
1,2,1,"Sep 1, 2011",Thu,Bowling Green State,32,@,Idaho,15,
2,3,1,"Sep 1, 2011",Thu,Central Michigan,21,,South Carolina State,6,
3,4,1,"Sep 1, 2011",Thu,Florida International,41,,North Texas,16,
4,5,1,"Sep 1, 2011",Thu,Georgia Tech,63,,Western Carolina,21,
5,6,1,"Sep 1, 2011",Thu,Kentucky,14,,Western Kentucky,3,"Nashville, TN"
6,7,1,"Sep 1, 2011",Thu,Louisville,21,,Murray State,9,
7,8,1,"Sep 1, 2011",Thu,Mississippi State,59,@,Memphis,14,
8,9,1,"Sep 1, 2011",Thu,Rutgers,48,,North Carolina Central,0,
9,10,1,"Sep 1, 2011",Thu,Syracuse,36,,Wake Forest,29,
10,11,1,"Sep 1, 2011",Thu,Temple,42,,Villanova,7,
11,12,1,"Sep 1, 2011",Thu,Toledo,58,,New Hampshire,22,
12,13,1,"Sep 1, 2011",Thu,Utah,27,,Montana State,10,
13,14,1,"Sep 1, 2011",Thu,Wisconsin,51,,Nevada-Las Vegas,17,
14,15,1,"Sep 2, 2011",Fri,Baylor,50,,Texas Christian,48,
15,16,1,"Sep 2, 2011",Fri,Michigan State,28,,Youngstown State,6,
16,17,1,"Sep 3, 2011",Sat,Air Force,37,,South Dakota,20,
17,18,1,"Sep 3, 2011",Sat,Alabama,48,,Kent State,7,
18,19,1,"Sep 3, 2011",Sat,Arizona,41,,Northern Arizona,10,
19,20,1,"Sep 3, 2011",Sat,Arkansas,51,,Missouri State,7,
20,21,1,"Sep 3, 2011",Sat,Auburn,42,,Utah State,38,
21,22,1,"Sep 3, 2011",Sat,Ball State,27,,Indiana,20,"Indianapolis, IN"
22,23,1,"Sep 3, 2011",Sat,Boise State,35,@,Georgia,21,"Atlanta, GA"
23,24,1,"Sep 3, 2011",Sat,Brigham Young,14,@,Mississippi,13,
24,25,1,"Sep 3, 2011",Sat,California,36,,Fresno State,21,"San Francisco, CA"
25,26,1,"Sep 3, 2011",Sat,Central Florida,62,,Charleston Southern,0,
26,27,1,"Sep 3, 2011",Sat,Cincinnati,72,,Austin Peay,10,
27,28,1,"Sep 3, 2011",Sat,Clemson,43,,Troy,19,
28,29,1,"Sep 3, 2011",Sat,Colorado State,14,@,New Mexico,10,
29,30,1,"Sep 3, 2011",Sat,Connecticut,35,,Fordham,3,
30,31,1,"Sep 3, 2011",Sat,Florida,41,,Florida Atlantic,3,
31,32,1,"Sep 3, 2011",Sat,Florida State,34,,Louisiana-Monroe,0,
32,33,1,"Sep 3, 2011",Sat,Hawaii,34,,Colorado,17,
33,34,1,"Sep 3, 2011",Sat,Houston,38,,UCLA,34,
34,35,1,"Sep 3, 2011",Sat,Illinois,33,,Arkansas State,15,
35,36,1,"Sep 3, 2011",Sat,Iowa,34,,Tennessee Tech,7,
36,37,1,"Sep 3, 2011",Sat,Iowa State,20,,Northern Iowa,19,
37,38,1,"Sep 3, 2011",Sat,Kansas,42,,McNeese State,24,
