,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 12, 1959",Sat,New Mexico State,35,,Northern Arizona,0,
1,2,1,"Sep 12, 1959",Sat,North Dakota,27,@,Montana,19,
2,3,1,"Sep 13, 1959",Sun,Xavier,27,,St. Ambrose,7,
3,4,2,"Sep 18, 1959",Fri,Detroit Mercy,38,@,George Washington,6,
4,5,2,"Sep 18, 1959",Fri,Florida,30,@,Tulane,0,
5,6,2,"Sep 18, 1959",Fri,Purdue,0,,UCLA,0,
6,7,2,"Sep 18, 1959",Fri,San Jose State,14,@,Denver,13,
7,8,2,"Sep 19, 1959",Sat,Arizona State,43,,West Texas A&M;,22,
8,9,2,"Sep 19, 1959",Sat,Arkansas,28,,Tulsa,0,
9,10,2,"Sep 19, 1959",Sat,Brigham Young,18,@,Arizona,14,
10,11,2,"Sep 19, 1959",Sat,California,20,@,Washington State,6,"Spokane, WA"
11,12,2,"Sep 19, 1959",Sat,Cincinnati,22,@,Oklahoma State,9,
12,13,2,"Sep 19, 1959",Sat,Citadel,48,,Newberry,0,
13,14,2,"Sep 19, 1959",Sat,Clemson,20,@,North Carolina,18,
14,15,2,"Sep 19, 1959",Sat,Colorado State,9,@,Pacific,6,
15,16,2,"Sep 19, 1959",Sat,Davidson,42,,Catawba College,6,"Charlotte, NC"
16,17,2,"Sep 19, 1959",Sat,Dayton,6,,Richmond,3,
17,18,2,"Sep 19, 1959",Sat,Georgia,17,,Alabama,3,
18,19,2,"Sep 19, 1959",Sat,Georgia Tech,14,@,Kentucky,12,
19,20,2,"Sep 19, 1959",Sat,Iowa State,41,@,Drake,0,
20,21,2,"Sep 19, 1959",Sat,Louisiana State,26,,Rice,3,
21,22,2,"Sep 19, 1959",Sat,Maryland,27,,West Virginia,7,
22,23,2,"Sep 19, 1959",Sat,Mississippi,16,@,Houston,0,
23,24,2,"Sep 19, 1959",Sat,Navy,24,@,Boston College,8,
24,25,2,"Sep 19, 1959",Sat,New Mexico State,29,@,New Mexico,12,
25,26,2,"Sep 19, 1959",Sat,North Carolina State,15,,Virginia Tech,13,"Norfolk, VA"
26,27,2,"Sep 19, 1959",Sat,North Texas,46,@,Hardin-Simmons,24,
27,28,2,"Sep 19, 1959",Sat,Oregon,28,@,Stanford,27,
28,29,2,"Sep 19, 1959",Sat,Penn State,19,@,Missouri,8,
29,30,2,"Sep 19, 1959",Sat,Pittsburgh,21,@,Marquette,15,
30,31,2,"Sep 19, 1959",Sat,Presbyterian,24,@,Furman,23,
31,32,2,"Sep 19, 1959",Sat,South Carolina,12,,Duke,7,
32,33,2,"Sep 19, 1959",Sat,Southern California,27,@,Oregon State,6,"Portland, OR"
33,34,2,"Sep 19, 1959",Sat,Texas,20,@,Nebraska,0,
34,35,2,"Sep 19, 1959",Sat,Texas Christian,14,,Kansas,7,
35,36,2,"Sep 19, 1959",Sat,Texas Tech,20,,Texas A&M;,14,"Dallas, TX"
36,37,2,"Sep 19, 1959",Sat,Texas-El Paso,43,,University of Mexico,8,
37,38,2,"Sep 19, 1959",Sat,Utah State,14,,Idaho,0,
38,39,2,"Sep 19, 1959",Sat,Virginia Military Institute,46,@,Marshall,0,
39,40,2,"Sep 19, 1959",Sat,Wake Forest,22,@,Florida State,20,
40,41,2,"Sep 19, 1959",Sat,Washington,21,@,Colorado,12,
41,42,2,"Sep 19, 1959",Sat,West Chester,13,@,Villanova,7,
42,43,2,"Sep 19, 1959",Sat,Wichita State,19,@,Kansas State,0,
43,44,2,"Sep 19, 1959",Sat,William & Mary,37,@,Virginia,0,
44,45,2,"Sep 19, 1959",Sat,Wyoming,58,,Montana,0,"Billings, MT"
45,46,2,"Sep 19, 1959",Sat,Xavier,28,,Louisville,13,
46,47,3,"Sep 25, 1959",Fri,George Washington,18,@,Boston University,14,
47,48,3,"Sep 25, 1959",Fri,Iowa State,28,@,Denver,12,
