,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 28, 2004",Sat,Miami (OH),49,,Indiana State,0,
1,2,1,"Aug 28, 2004",Sat,Southern California,24,,Virginia Tech,13,"BCA Classic (Landover, MD)"
2,3,2,"Sep 2, 2004",Thu,Arizona State,41,,Texas-El Paso,9,
3,4,2,"Sep 2, 2004",Thu,Boston College,19,@,Ball State,11,
4,5,2,"Sep 2, 2004",Thu,Eastern Michigan,37,,Buffalo,34,
5,6,2,"Sep 2, 2004",Thu,Texas Christian,48,,Northwestern,45,
6,7,2,"Sep 2, 2004",Thu,Utah,41,,Texas A&M;,21,
7,8,2,"Sep 2, 2004",Thu,Western Michigan,42,,Tennessee-Martin,0,
8,9,2,"Sep 3, 2004",Fri,Washington State,21,@,New Mexico,17,
9,10,2,"Sep 4, 2004",Sat,Alabama,48,,Utah State,17,
10,11,2,"Sep 4, 2004",Sat,Alabama-Birmingham,56,,Baylor,14,
11,12,2,"Sep 4, 2004",Sat,Arizona,21,,Northern Arizona,3,
12,13,2,"Sep 4, 2004",Sat,Arkansas,63,,New Mexico State,13,
13,14,2,"Sep 4, 2004",Sat,Auburn,31,,Louisiana-Monroe,0,
14,15,2,"Sep 4, 2004",Sat,Boise State,65,,Idaho,7,
15,16,2,"Sep 4, 2004",Sat,Brigham Young,20,,Notre Dame,17,
16,17,2,"Sep 4, 2004",Sat,California,56,@,Air Force,14,
17,18,2,"Sep 4, 2004",Sat,Clemson,37,,Wake Forest,30,
18,19,2,"Sep 4, 2004",Sat,Colorado,27,,Colorado State,24,
19,20,2,"Sep 4, 2004",Sat,Connecticut,52,,Murray State,14,
20,21,2,"Sep 4, 2004",Sat,Florida Atlantic,35,@,Hawaii,28,
21,22,2,"Sep 4, 2004",Sat,Georgia,48,,Georgia Southern,28,
22,23,2,"Sep 4, 2004",Sat,Georgia Tech,28,,Samford,7,
23,24,2,"Sep 4, 2004",Sat,Illinois,52,,Florida A&M;,13,
24,25,2,"Sep 4, 2004",Sat,Indiana,41,,Central Michigan,10,
25,26,2,"Sep 4, 2004",Sat,Iowa,39,,Kent State,7,
26,27,2,"Sep 4, 2004",Sat,Iowa State,23,,Northern Iowa,0,
27,28,2,"Sep 4, 2004",Sat,Kansas,21,,Tulsa,3,
28,29,2,"Sep 4, 2004",Sat,Kansas State,27,,Western Kentucky,13,
29,30,2,"Sep 4, 2004",Sat,Louisiana State,22,,Oregon State,21,
30,31,2,"Sep 4, 2004",Sat,Louisiana-Lafayette,14,,Northwestern State,7,
31,32,2,"Sep 4, 2004",Sat,Maryland,23,,Northern Illinois,20,
32,33,2,"Sep 4, 2004",Sat,Memphis,20,@,Mississippi,13,
33,34,2,"Sep 4, 2004",Sat,Michigan,43,,Miami (OH),10,
34,35,2,"Sep 4, 2004",Sat,Minnesota,63,,Toledo,21,
35,36,2,"Sep 4, 2004",Sat,Mississippi State,28,,Tulane,7,
36,37,2,"Sep 4, 2004",Sat,Missouri,52,,Arkansas State,20,
37,38,2,"Sep 4, 2004",Sat,Navy,27,,Duke,12,
38,39,2,"Sep 4, 2004",Sat,Nebraska,56,,Western Illinois,17,
39,40,2,"Sep 4, 2004",Sat,North Carolina,49,,William & Mary,38,
40,41,2,"Sep 4, 2004",Sat,North Carolina State,42,,Richmond,0,
41,42,2,"Sep 4, 2004",Sat,Ohio,42,,Virginia Military Institute,14,
42,43,2,"Sep 4, 2004",Sat,Ohio State,27,,Cincinnati,6,
43,44,2,"Sep 4, 2004",Sat,Oklahoma,40,,Bowling Green State,24,
44,45,2,"Sep 4, 2004",Sat,Oklahoma State,31,@,UCLA,20,
45,46,2,"Sep 4, 2004",Sat,Penn State,48,,Akron,10,
46,47,2,"Sep 4, 2004",Sat,Rutgers,19,,Michigan State,14,
47,48,2,"Sep 4, 2004",Sat,San Diego State,38,,Idaho State,21,
48,49,2,"Sep 4, 2004",Sat,South Carolina,31,@,Vanderbilt,6,
49,50,2,"Sep 4, 2004",Sat,Stanford,43,,San Jose State,3,
50,51,2,"Sep 4, 2004",Sat,Texas,65,,North Texas,0,
51,52,2,"Sep 4, 2004",Sat,Texas Tech,27,@,Southern Methodist,13,
52,53,2,"Sep 4, 2004",Sat,Troy,17,@,Marshall,15,
53,54,2,"Sep 4, 2004",Sat,Virginia,44,@,Temple,14,
54,55,2,"Sep 4, 2004",Sat,West Virginia,56,,East Carolina,23,
55,56,2,"Sep 4, 2004",Sat,Wisconsin,34,,Central Florida,6,
56,57,2,"Sep 4, 2004",Sat,Wyoming,53,,Appalachian State,7,
