,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 30, 2012",Thu,Arizona State,63,,Northern Arizona,6,
1,2,1,"Aug 30, 2012",Thu,Ball State,37,,Eastern Michigan,26,
2,3,1,"Aug 30, 2012",Thu,Brigham Young,30,,Washington State,6,
3,4,1,"Aug 30, 2012",Thu,Central Florida,56,@,Akron,14,
4,5,1,"Aug 30, 2012",Thu,Central Michigan,38,,Southeast Missouri State,27,
5,6,1,"Aug 30, 2012",Thu,Connecticut,37,,Massachusetts,0,
6,7,1,"Aug 30, 2012",Thu,Eastern Washington,20,@,Idaho,3,
7,8,1,"Aug 30, 2012",Thu,Kent State,41,,Towson,21,
8,9,1,"Aug 30, 2012",Thu,McNeese State,27,@,Middle Tennessee State,21,
9,10,1,"Aug 30, 2012",Thu,Minnesota,30,@,Nevada-Las Vegas,27,
10,11,1,"Aug 30, 2012",Thu,New Mexico State,49,,Sacramento State,19,
11,12,1,"Aug 30, 2012",Thu,South Carolina,17,@,Vanderbilt,13,
12,13,1,"Aug 30, 2012",Thu,UCLA,49,@,Rice,24,
13,14,1,"Aug 30, 2012",Thu,Utah,41,,Northern Colorado,0,
14,15,1,"Aug 30, 2012",Thu,Utah State,34,,Southern Utah,3,
15,16,1,"Aug 31, 2012",Fri,Florida Atlantic,7,,Wagner,3,
16,17,1,"Aug 31, 2012",Fri,Michigan State,17,,Boise State,13,
17,18,1,"Aug 31, 2012",Fri,Stanford,20,,San Jose State,17,
18,19,1,"Aug 31, 2012",Fri,Temple,41,,Villanova,10,
19,20,1,"Aug 31, 2012",Fri,Tennessee,35,,North Carolina State,21,"Atlanta, GA"
20,21,1,"Sep 1, 2012",Sat,Air Force,49,,Idaho State,21,
21,22,1,"Sep 1, 2012",Sat,Alabama,41,,Michigan,14,"Arlington, TX"
22,23,1,"Sep 1, 2012",Sat,Arizona,24,,Toledo,17,
23,24,1,"Sep 1, 2012",Sat,Arkansas,49,,Jacksonville State,24,
24,25,1,"Sep 1, 2012",Sat,Clemson,26,,Auburn,19,"Atlanta, GA"
25,26,1,"Sep 1, 2012",Sat,Colorado State,22,,Colorado,17,"Denver, CO"
26,27,1,"Sep 1, 2012",Sat,Duke,46,,Florida International,26,
27,28,1,"Sep 1, 2012",Sat,East Carolina,35,,Appalachian State,13,
28,29,1,"Sep 1, 2012",Sat,Florida,27,,Bowling Green State,14,
29,30,1,"Sep 1, 2012",Sat,Florida State,69,,Murray State,3,
30,31,1,"Sep 1, 2012",Sat,Fresno State,37,,Weber State,10,
31,32,1,"Sep 1, 2012",Sat,Georgia,45,,Buffalo,23,
32,33,1,"Sep 1, 2012",Sat,Illinois,24,,Western Michigan,7,
33,34,1,"Sep 1, 2012",Sat,Indiana,24,,Indiana State,17,
34,35,1,"Sep 1, 2012",Sat,Iowa,18,@,Northern Illinois,17,"Chicago, IL"
35,36,1,"Sep 1, 2012",Sat,Iowa State,38,,Tulsa,23,
36,37,1,"Sep 1, 2012",Sat,Kansas,31,,South Dakota State,17,
37,38,1,"Sep 1, 2012",Sat,Kansas State,51,,Missouri State,9,
38,39,1,"Sep 1, 2012",Sat,Louisiana State,41,,North Texas,14,
39,40,1,"Sep 1, 2012",Sat,Louisiana-Lafayette,40,,Lamar,0,
40,41,1,"Sep 1, 2012",Sat,Maryland,7,,William & Mary,6,
41,42,1,"Sep 1, 2012",Sat,Miami (FL),41,@,Boston College,32,
42,43,1,"Sep 1, 2012",Sat,Mississippi,49,,Central Arkansas,27,
43,44,1,"Sep 1, 2012",Sat,Mississippi State,56,,Jackson State,9,
44,45,1,"Sep 1, 2012",Sat,Missouri,62,,Southeastern Louisiana,10,
45,46,1,"Sep 1, 2012",Sat,Nebraska,49,,Southern Mississippi,20,
46,47,1,"Sep 1, 2012",Sat,Nevada,31,@,California,24,
47,48,1,"Sep 1, 2012",Sat,New Mexico,66,,Southern,21,
48,49,1,"Sep 1, 2012",Sat,North Carolina,62,,Elon,0,
49,50,1,"Sep 1, 2012",Sat,Northwestern,42,@,Syracuse,41,
50,51,1,"Sep 1, 2012",Sat,Notre Dame,50,,Navy,10,"Dublin, Ireland"
51,52,1,"Sep 1, 2012",Sat,Ohio,24,@,Penn State,14,
52,53,1,"Sep 1, 2012",Sat,Ohio State,56,,Miami (OH),10,
53,54,1,"Sep 1, 2012",Sat,Oklahoma,24,@,Texas-El Paso,7,
54,55,1,"Sep 1, 2012",Sat,Oklahoma State,84,,Savannah State,0,
55,56,1,"Sep 1, 2012",Sat,Oregon,57,,Arkansas State,34,
56,57,1,"Sep 1, 2012",Sat,Purdue,48,,Eastern Kentucky,6,
57,58,1,"Sep 1, 2012",Sat,Rutgers,24,@,Tulane,12,
58,59,1,"Sep 1, 2012",Sat,South Florida,34,,Chattanooga,13,
59,60,1,"Sep 1, 2012",Sat,Southern California,49,,Hawaii,10,
60,61,1,"Sep 1, 2012",Sat,Tennessee-Martin,20,@,Memphis,17,
61,62,1,"Sep 1, 2012",Sat,Texas,37,,Wyoming,17,
62,63,1,"Sep 1, 2012",Sat,Texas State,30,@,Houston,13,
63,64,1,"Sep 1, 2012",Sat,Texas Tech,44,,Northwestern State,6,
64,65,1,"Sep 1, 2012",Sat,Texas-San Antonio,33,@,South Alabama,31,
65,66,1,"Sep 1, 2012",Sat,Troy,39,@,Alabama-Birmingham,29,
66,67,1,"Sep 1, 2012",Sat,Virginia,43,,Richmond,19,
67,68,1,"Sep 1, 2012",Sat,Wake Forest,20,,Liberty,17,
68,69,1,"Sep 1, 2012",Sat,Washington,21,,San Diego State,12,
69,70,1,"Sep 1, 2012",Sat,West Virginia,69,,Marshall,34,
70,71,1,"Sep 1, 2012",Sat,Western Kentucky,49,,Austin Peay,10,
71,72,1,"Sep 1, 2012",Sat,Wisconsin,26,,Northern Iowa,21,
72,73,1,"Sep 1, 2012",Sat,Youngstown State,31,@,Pittsburgh,17,
73,74,1,"Sep 2, 2012",Sun,Baylor,59,,Southern Methodist,24,
74,75,1,"Sep 2, 2012",Sun,Louisville,32,,Kentucky,14,
75,76,1,"Sep 3, 2012",Mon,Virginia Tech,20,,Georgia Tech,17,
76,77,2,"Sep 6, 2012",Thu,Cincinnati,34,,Pittsburgh,10,
77,78,2,"Sep 7, 2012",Fri,Utah State,27,,Utah,20,
78,79,2,"Sep 8, 2012",Sat,Alabama,35,,Western Kentucky,0,
79,80,2,"Sep 8, 2012",Sat,Arizona,59,,Oklahoma State,38,
80,81,2,"Sep 8, 2012",Sat,Arizona State,45,,Illinois,14,
81,82,2,"Sep 8, 2012",Sat,Arkansas State,33,,Memphis,28,
82,83,2,"Sep 8, 2012",Sat,Boston College,34,,Maine,3,
83,84,2,"Sep 8, 2012",Sat,Bowling Green State,21,,Idaho,13,
