,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 28, 1994",Sun,Nebraska,31,,West Virginia,0,"Kick-off Classic (East Rutherford, NJ)"
1,2,1,"Aug 29, 1994",Mon,Ohio State,34,,Fresno State,10,"Pigskin Classic (Anaheim, CA)"
2,3,2,"Sep 1, 1994",Thu,Arizona,19,@,Georgia Tech,14,
3,4,2,"Sep 1, 1994",Thu,Kansas,35,@,Houston,13,
4,5,2,"Sep 1, 1994",Thu,North Carolina State,20,,Bowling Green State,15,
5,6,2,"Sep 1, 1994",Thu,Oklahoma State,31,@,Northern Illinois,14,
6,7,2,"Sep 1, 1994",Thu,Washington State,10,@,Illinois,9,"Chicago, IL"
7,8,2,"Sep 3, 1994",Sat,Alabama,42,,Chattanooga,13,"Birmingham, AL"
8,9,2,"Sep 3, 1994",Sat,Arizona State,22,,Oregon State,16,
9,10,2,"Sep 3, 1994",Sat,Arkansas,34,,Southern Methodist,14,"Little Rock, AR"
10,11,2,"Sep 3, 1994",Sat,Auburn,22,@,Mississippi,17,
11,12,2,"Sep 3, 1994",Sat,Baylor,44,,Louisiana Tech,3,
12,13,2,"Sep 3, 1994",Sat,Brigham Young,13,@,Hawaii,12,
13,14,2,"Sep 3, 1994",Sat,Clemson,27,,Furman,6,
14,15,2,"Sep 3, 1994",Sat,Colorado,48,,Louisiana-Monroe,13,
15,16,2,"Sep 3, 1994",Sat,Colorado State,34,@,Air Force,21,
16,17,2,"Sep 3, 1994",Sat,Duke,49,,Maryland,16,
17,18,2,"Sep 3, 1994",Sat,Florida,70,,New Mexico State,21,
18,19,2,"Sep 3, 1994",Sat,Florida State,41,,Virginia,17,
19,20,2,"Sep 3, 1994",Sat,Fresno State,45,,San Jose State,13,
20,21,2,"Sep 3, 1994",Sat,Georgia,24,@,South Carolina,21,
21,22,2,"Sep 3, 1994",Sat,Indiana,28,,Cincinnati,3,
22,23,2,"Sep 3, 1994",Sat,Iowa,52,,Central Michigan,21,
23,24,2,"Sep 3, 1994",Sat,Kansas State,34,,Louisiana-Lafayette,6,
24,25,2,"Sep 3, 1994",Sat,Kentucky,20,,Louisville,14,
25,26,2,"Sep 3, 1994",Sat,Miami (FL),56,,Georgia Southern,0,
26,27,2,"Sep 3, 1994",Sat,Michigan,34,,Boston College,26,
27,28,2,"Sep 3, 1994",Sat,Mississippi State,17,@,Memphis,6,
28,29,2,"Sep 3, 1994",Sat,Nevada,30,,Northern Arizona,27,
29,30,2,"Sep 3, 1994",Sat,Nevada-Las Vegas,17,,Eastern Michigan,3,
30,31,2,"Sep 3, 1994",Sat,North Carolina,27,,Texas Christian,17,
31,32,2,"Sep 3, 1994",Sat,Northern Iowa,28,@,Iowa State,14,
32,33,2,"Sep 3, 1994",Sat,Notre Dame,42,@,Northwestern,15,"Chicago, IL"
33,34,2,"Sep 3, 1994",Sat,Oklahoma,30,@,Syracuse,29,
34,35,2,"Sep 3, 1994",Sat,Oregon,58,,Portland State,16,
35,36,2,"Sep 3, 1994",Sat,Pacific,24,,California-Davis,7,
36,37,2,"Sep 3, 1994",Sat,Penn State,56,@,Minnesota,3,
37,38,2,"Sep 3, 1994",Sat,Rutgers,28,,Kent State,6,
38,39,2,"Sep 3, 1994",Sat,San Diego State,56,,Navy,14,
39,40,2,"Sep 3, 1994",Sat,Southern California,24,,Washington,17,
40,41,2,"Sep 3, 1994",Sat,Southern Mississippi,25,@,Tulane,10,
41,42,2,"Sep 3, 1994",Sat,Temple,32,@,Akron,7,
42,43,2,"Sep 3, 1994",Sat,Texas,30,@,Pittsburgh,28,
43,44,2,"Sep 3, 1994",Sat,Texas A&M;,18,@,Louisiana State,13,
44,45,2,"Sep 3, 1994",Sat,Texas Tech,37,,New Mexico,31,
45,46,2,"Sep 3, 1994",Sat,Toledo,20,,Indiana State,17,
46,47,2,"Sep 3, 1994",Sat,Tulsa,20,@,Missouri,17,
47,48,2,"Sep 3, 1994",Sat,UCLA,25,,Tennessee,23,
48,49,2,"Sep 3, 1994",Sat,Utah,32,@,Utah State,17,
49,50,2,"Sep 3, 1994",Sat,Vanderbilt,35,,Wake Forest,14,
50,51,2,"Sep 3, 1994",Sat,Virginia Tech,34,,Arkansas State,7,
51,52,2,"Sep 3, 1994",Sat,West Virginia,16,,Ball State,14,
52,53,2,"Sep 3, 1994",Sat,Western Michigan,28,@,Miami (OH),25,
53,54,2,"Sep 3, 1994",Sat,Wyoming,36,,Texas-El Paso,13,
54,55,3,"Sep 8, 1994",Thu,Nebraska,42,@,Texas Tech,16,
55,56,3,"Sep 8, 1994",Thu,Western Michigan,43,,Western Illinois,7,
56,57,3,"Sep 10, 1994",Sat,Alabama,17,,Vanderbilt,7,
57,58,3,"Sep 10, 1994",Sat,Arizona,44,,New Mexico State,0,
58,59,3,"Sep 10, 1994",Sat,Army,49,,Holy Cross,3,
59,60,3,"Sep 10, 1994",Sat,Auburn,44,,Louisiana-Monroe,12,
60,61,3,"Sep 10, 1994",Sat,Baylor,54,@,San Jose State,20,
61,62,3,"Sep 10, 1994",Sat,Bowling Green State,45,@,Akron,0,
62,63,3,"Sep 10, 1994",Sat,Brigham Young,45,@,Air Force,21,
63,64,3,"Sep 10, 1994",Sat,Central Michigan,35,,Nevada-Las Vegas,23,
64,65,3,"Sep 10, 1994",Sat,Colorado State,41,,Utah State,16,
65,66,3,"Sep 10, 1994",Sat,Duke,13,,East Carolina,10,
66,67,3,"Sep 10, 1994",Sat,Florida,73,,Kentucky,7,
67,68,3,"Sep 10, 1994",Sat,Florida State,52,@,Maryland,20,
68,69,3,"Sep 10, 1994",Sat,Georgia Tech,45,,Western Carolina,26,
69,70,3,"Sep 10, 1994",Sat,Hawaii,36,,Oregon,16,
70,71,3,"Sep 10, 1994",Sat,Illinois,42,,Missouri,0,
71,72,3,"Sep 10, 1994",Sat,Indiana,35,,Miami (OH),14,
72,73,3,"Sep 10, 1994",Sat,Iowa,37,,Iowa State,9,
73,74,3,"Sep 10, 1994",Sat,Kansas,17,,Michigan State,10,
74,75,3,"Sep 10, 1994",Sat,Louisiana State,44,,Mississippi State,24,
75,76,3,"Sep 10, 1994",Sat,Louisiana Tech,32,,Houston,7,
76,77,3,"Sep 10, 1994",Sat,Louisiana-Lafayette,29,,Northern Illinois,9,
77,78,3,"Sep 10, 1994",Sat,Memphis,42,@,Tulsa,18,
78,79,3,"Sep 10, 1994",Sat,Miami (FL),47,@,Arizona State,10,
79,80,3,"Sep 10, 1994",Sat,Michigan,26,@,Notre Dame,24,
80,81,3,"Sep 10, 1994",Sat,Minnesota,33,,Pacific,7,
81,82,3,"Sep 10, 1994",Sat,Mississippi,59,,Southern Illinois,3,
82,83,3,"Sep 10, 1994",Sat,Nevada,18,,Arkansas State,0,
83,84,3,"Sep 10, 1994",Sat,North Carolina State,29,@,Clemson,12,
84,85,3,"Sep 10, 1994",Sat,Oregon State,44,,Wyoming,31,
85,86,3,"Sep 10, 1994",Sat,Penn State,38,,Southern California,14,
86,87,3,"Sep 10, 1994",Sat,Pittsburgh,30,,Ohio,16,
87,88,3,"Sep 10, 1994",Sat,Purdue,51,,Toledo,17,
88,89,3,"Sep 10, 1994",Sat,Rutgers,17,,West Virginia,12,
89,90,3,"Sep 10, 1994",Sat,San Diego State,22,,California,20,
90,91,3,"Sep 10, 1994",Sat,South Carolina,14,,Arkansas,0,
