,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 13, 1969",Sat,Air Force,26,@,Southern Methodist,22,
1,2,1,"Sep 13, 1969",Sat,Ball State,10,,Buffalo,7,
2,3,1,"Sep 13, 1969",Sat,Kent State,24,,Dayton,14,
3,4,1,"Sep 13, 1969",Sat,Louisville,24,,Drake,24,
4,5,1,"Sep 13, 1969",Sat,Miami (OH),35,,Xavier,7,
5,6,1,"Sep 13, 1969",Sat,North Dakota State,28,,Northern Illinois,0,
6,7,1,"Sep 13, 1969",Sat,Texas-El Paso,14,,Pacific,10,
7,8,1,"Sep 13, 1969",Sat,UCLA,37,,Oregon State,0,
8,9,1,"Sep 13, 1969",Sat,Villanova,41,,West Chester,14,
9,10,1,"Sep 13, 1969",Sat,Wake Forest,22,@,North Carolina State,21,
10,11,1,"Sep 13, 1969",Sat,West Virginia,57,,Cincinnati,11,
11,12,1,"Sep 13, 1969",Sat,Western Michigan,24,,Central Michigan,0,
12,13,1,"Sep 13, 1969",Sat,Wichita State,17,,Utah State,7,
13,14,2,"Sep 20, 1969",Sat,Alabama,17,@,Virginia Tech,13,
14,15,2,"Sep 20, 1969",Sat,Arizona State,48,,Minnesota,26,
15,16,2,"Sep 20, 1969",Sat,Arkansas,39,,Oklahoma State,0,"Little Rock, AR"
16,17,2,"Sep 20, 1969",Sat,Army,31,,New Mexico,14,
17,18,2,"Sep 20, 1969",Sat,Auburn,57,,Wake Forest,0,
18,19,2,"Sep 20, 1969",Sat,Boston University,20,@,Colgate,0,
19,20,2,"Sep 20, 1969",Sat,Brigham Young,22,,Colorado State,20,
20,21,2,"Sep 20, 1969",Sat,Buffalo,17,,Xavier,0,
21,22,2,"Sep 20, 1969",Sat,Cincinnati,26,,William & Mary,18,
22,23,2,"Sep 20, 1969",Sat,Citadel,41,@,Lehigh,16,
23,24,2,"Sep 20, 1969",Sat,Clemson,21,@,Virginia,14,
24,25,2,"Sep 20, 1969",Sat,Colorado,35,,Tulsa,14,
25,26,2,"Sep 20, 1969",Sat,Davidson,21,@,Guilford,8,
26,27,2,"Sep 20, 1969",Sat,East Tennessee State,7,,East Carolina,0,
27,28,2,"Sep 20, 1969",Sat,Florida,59,,Houston,34,
28,29,2,"Sep 20, 1969",Sat,Florida State,24,,Wichita State,0,
29,30,2,"Sep 20, 1969",Sat,Fresno State,27,,Cal Poly-Pomona,7,
30,31,2,"Sep 20, 1969",Sat,Furman,14,@,Presbyterian,12,
31,32,2,"Sep 20, 1969",Sat,Georgia,35,,Tulane,0,
32,33,2,"Sep 20, 1969",Sat,Georgia Tech,24,,Southern Methodist,21,
33,34,2,"Sep 20, 1969",Sat,Indiana,58,@,Kentucky,30,
34,35,2,"Sep 20, 1969",Sat,Kansas State,45,@,Baylor,15,
35,36,2,"Sep 20, 1969",Sat,Long Beach State,32,@,California-Santa Barbara,16,
36,37,2,"Sep 20, 1969",Sat,Louisiana State,35,,Texas A&M;,6,
37,38,2,"Sep 20, 1969",Sat,Louisville,17,,Southern Illinois,13,
38,39,2,"Sep 20, 1969",Sat,Miami (OH),19,@,Dayton,9,
39,40,2,"Sep 20, 1969",Sat,Michigan,42,,Vanderbilt,14,
40,41,2,"Sep 20, 1969",Sat,Michigan State,27,,Washington,11,
