,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 16, 1961",Sat,Cincinnati,16,,Dayton,12,
1,2,1,"Sep 16, 1961",Sat,Davidson,21,,Catawba College,15,"Charlotte, NC"
2,3,1,"Sep 16, 1961",Sat,Florida State,15,,George Washington,7,
3,4,1,"Sep 16, 1961",Sat,Furman,27,,Presbyterian,6,
4,5,1,"Sep 16, 1961",Sat,Iowa State,21,@,Drake,0,
5,6,1,"Sep 16, 1961",Sat,Memphis,40,,Citadel,0,
6,7,1,"Sep 16, 1961",Sat,New Mexico State,56,,Northern Arizona,6,
7,8,1,"Sep 16, 1961",Sat,Pacific,12,,Long Beach State,7,
8,9,1,"Sep 16, 1961",Sat,Pittsburgh,10,@,Miami (FL),7,
9,10,1,"Sep 16, 1961",Sat,Richmond,35,@,West Virginia,26,
10,11,1,"Sep 16, 1961",Sat,San Jose State,14,@,Brigham Young,13,
11,12,1,"Sep 16, 1961",Sat,Tulsa,27,,Hardin-Simmons,0,
12,13,1,"Sep 16, 1961",Sat,Utah,40,,Colorado State,0,
13,14,1,"Sep 16, 1961",Sat,Utah State,21,,Texas-El Paso,6,
14,15,1,"Sep 16, 1961",Sat,Villanova,33,@,Miami (OH),0,
15,16,1,"Sep 16, 1961",Sat,Virginia Military Institute,33,,Marshall,6,
16,17,1,"Sep 16, 1961",Sat,Virginia Tech,20,,William & Mary,6,"Roanoke, VA"
17,18,1,"Sep 16, 1961",Sat,Wichita State,12,@,Toledo,7,
18,19,1,"Sep 16, 1961",Sat,Wyoming,29,@,Montana,0,
19,20,1,"Sep 16, 1961",Sat,Xavier,16,,Kent State,8,
20,21,2,"Sep 22, 1961",Fri,Detroit Mercy,21,,Western Michigan,14,
21,22,2,"Sep 22, 1961",Fri,Georgia Tech,27,@,Southern California,7,
22,23,2,"Sep 22, 1961",Fri,San Jose State,16,,Pacific,0,
23,24,2,"Sep 23, 1961",Sat,Alabama,32,@,Georgia,6,
24,25,2,"Sep 23, 1961",Sat,Arizona,28,,Colorado State,6,
25,26,2,"Sep 23, 1961",Sat,Arizona State,21,,Wichita State,7,
26,27,2,"Sep 23, 1961",Sat,Army,24,,Richmond,6,
27,28,2,"Sep 23, 1961",Sat,Baylor,31,,Wake Forest,0,
28,29,2,"Sep 23, 1961",Sat,Boston College,23,,Cincinnati,0,
29,30,2,"Sep 23, 1961",Sat,Buffalo,24,@,Boston University,12,
30,31,2,"Sep 23, 1961",Sat,Duke,7,@,South Carolina,6,
31,32,2,"Sep 23, 1961",Sat,Florida,21,,Clemson,17,
32,33,2,"Sep 23, 1961",Sat,Furman,45,,Davidson,19,
33,34,2,"Sep 23, 1961",Sat,George Washington,17,@,Citadel,13,
34,35,2,"Sep 23, 1961",Sat,Houston,7,,Texas A&M;,7,
35,36,2,"Sep 23, 1961",Sat,Iowa State,14,,Oklahoma State,7,
36,37,2,"Sep 23, 1961",Sat,Kansas State,14,,Indiana,8,
37,38,2,"Sep 23, 1961",Sat,Kent State,38,,Dayton,14,
38,39,2,"Sep 23, 1961",Sat,Maryland,14,@,Southern Methodist,6,
39,40,2,"Sep 23, 1961",Sat,Memphis,48,@,Tulsa,12,
40,41,2,"Sep 23, 1961",Sat,Miami (FL),14,@,Kentucky,7,
41,42,2,"Sep 23, 1961",Sat,Miami (OH),3,,Xavier,0,
42,43,2,"Sep 23, 1961",Sat,Mississippi,16,,Arkansas,0,"Jackson, MS"
43,44,2,"Sep 23, 1961",Sat,Mississippi State,6,,Texas Tech,0,"Jackson, MS"
44,45,2,"Sep 23, 1961",Sat,Missouri,28,,Washington State,6,
45,46,2,"Sep 23, 1961",Sat,Nebraska,33,,North Dakota,0,
46,47,2,"Sep 23, 1961",Sat,New Mexico,41,,New Mexico State,7,
47,48,2,"Sep 23, 1961",Sat,North Texas,9,@,Hardin-Simmons,7,
48,49,2,"Sep 23, 1961",Sat,Oregon,51,,Idaho,0,
49,50,2,"Sep 23, 1961",Sat,Penn State,20,,Navy,10,
50,51,2,"Sep 23, 1961",Sat,Purdue,13,@,Washington,6,
51,52,2,"Sep 23, 1961",Sat,Rice,16,,Louisiana State,3,
52,53,2,"Sep 23, 1961",Sat,Stanford,9,,Tulane,7,
53,54,2,"Sep 23, 1961",Sat,Syracuse,19,@,Oregon State,8,"Portland, OR"
54,55,2,"Sep 23, 1961",Sat,Texas,28,@,California,3,
55,56,2,"Sep 23, 1961",Sat,Texas Christian,17,,Kansas,16,
56,57,2,"Sep 23, 1961",Sat,UCLA,19,@,Air Force,6,"Denver, CO"
57,58,2,"Sep 23, 1961",Sat,Utah State,54,,Montana,6,
58,59,2,"Sep 23, 1961",Sat,Vanderbilt,16,,West Virginia,6,
59,60,2,"Sep 23, 1961",Sat,Villanova,22,,Virginia Military Institute,0,
60,61,2,"Sep 23, 1961",Sat,Virginia,21,,William & Mary,6,
61,62,2,"Sep 23, 1961",Sat,West Texas A&M;,55,,Brigham Young,8,
62,63,2,"Sep 23, 1961",Sat,Wisconsin,7,,Utah,0,
