,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 23, 2001",Thu,Louisville,45,,New Mexico State,24,"John Thompson Classic (Louisville, KY)"
1,2,1,"Aug 25, 2001",Sat,Brigham Young,70,,Tulane,35,"BCA Classic (Provo, UT)"
2,3,1,"Aug 25, 2001",Sat,Nebraska,21,,Texas Christian,7,"Pigskin Classic (Lincoln, NE)"
3,4,1,"Aug 25, 2001",Sat,Oklahoma,41,,North Carolina,27,"Hispanic Coaches Classic (Norman, OK)"
4,5,1,"Aug 25, 2001",Sat,Wisconsin,26,,Virginia,17,"Eddie Robinson Classic (Madison, WI)"
5,6,1,"Aug 26, 2001",Sun,Fresno State,24,@,Colorado,22,"Jim Thorpe Classic (Boulder, CO)"
6,7,1,"Aug 26, 2001",Sun,Georgia Tech,13,,Syracuse,7,"Kick-off Classic (East Rutherford, NJ)"
7,8,2,"Aug 30, 2001",Thu,Akron,31,,Ohio,29,
8,9,2,"Aug 30, 2001",Thu,Alabama-Birmingham,41,,Montana State,13,
9,10,2,"Aug 30, 2001",Thu,Arizona,23,@,San Diego State,10,
10,11,2,"Aug 30, 2001",Thu,Arkansas,14,,Nevada-Las Vegas,10,"Little Rock, AR"
11,12,2,"Aug 30, 2001",Thu,Central Michigan,42,,Eastern Kentucky,28,
12,13,2,"Aug 30, 2001",Thu,Middle Tennessee State,37,@,Vanderbilt,28,
13,14,2,"Aug 30, 2001",Thu,Northern Illinois,20,,South Florida,17,
14,15,2,"Aug 30, 2001",Thu,Rutgers,31,@,Buffalo,15,
15,16,2,"Aug 30, 2001",Thu,Temple,45,,Navy,26,
16,17,2,"Aug 30, 2001",Thu,Toledo,38,,Minnesota,7,
17,18,2,"Aug 30, 2001",Thu,Tulsa,51,,Indiana State,0,
18,19,2,"Aug 30, 2001",Thu,Washington State,36,,Idaho,7,
19,20,2,"Aug 30, 2001",Thu,Western Michigan,48,,Illinois State,7,
20,21,2,"Sep 1, 2001",Sat,Auburn,30,,Ball State,0,
21,22,2,"Sep 1, 2001",Sat,Boston College,34,,West Virginia,10,
22,23,2,"Sep 1, 2001",Sat,Bowling Green State,20,@,Missouri,13,
23,24,2,"Sep 1, 2001",Sat,Brigham Young,52,,Nevada,7,
24,25,2,"Sep 1, 2001",Sat,Clemson,21,,Central Florida,13,
25,26,2,"Sep 1, 2001",Sat,Colorado,41,,Colorado State,14,"Denver, CO"
26,27,2,"Sep 1, 2001",Sat,Eastern Michigan,16,,Southeast Missouri State,12,
27,28,2,"Sep 1, 2001",Sat,Florida,49,,Marshall,14,
28,29,2,"Sep 1, 2001",Sat,Florida State,55,@,Duke,13,
29,30,2,"Sep 1, 2001",Sat,Georgia,45,,Arkansas State,17,
30,31,2,"Sep 1, 2001",Sat,Georgia Tech,35,,Citadel,7,
31,32,2,"Sep 1, 2001",Sat,Illinois,44,@,California,17,
32,33,2,"Sep 1, 2001",Sat,Iowa,51,,Kent State,0,
33,34,2,"Sep 1, 2001",Sat,Kansas,24,,Missouri State,10,
34,35,2,"Sep 1, 2001",Sat,Louisiana State,48,,Tulane,17,
35,36,2,"Sep 1, 2001",Sat,Louisiana Tech,36,,Southern Methodist,6,"Shreveport, LA"
36,37,2,"Sep 1, 2001",Sat,Louisiana-Lafayette,20,,Nicholls State,0,
37,38,2,"Sep 1, 2001",Sat,Louisville,36,@,Kentucky,10,
38,39,2,"Sep 1, 2001",Sat,Maryland,23,,North Carolina,7,
39,40,2,"Sep 1, 2001",Sat,Miami (FL),33,@,Penn State,7,
40,41,2,"Sep 1, 2001",Sat,Michigan,31,,Miami (OH),13,
41,42,2,"Sep 1, 2001",Sat,Mississippi,49,,Murray State,14,
42,43,2,"Sep 1, 2001",Sat,Nebraska,42,,Troy,14,
43,44,2,"Sep 1, 2001",Sat,New Mexico,26,,Texas-El Paso,6,
44,45,2,"Sep 1, 2001",Sat,Oklahoma,44,@,Air Force,3,
45,46,2,"Sep 1, 2001",Sat,Oregon,31,,Wisconsin,28,
46,47,2,"Sep 1, 2001",Sat,Pittsburgh,31,,East Tennessee State,0,
47,48,2,"Sep 1, 2001",Sat,Rice,21,@,Houston,14,
48,49,2,"Sep 1, 2001",Sat,Sam Houston State,20,@,Louisiana-Monroe,9,
49,50,2,"Sep 1, 2001",Sat,South Carolina,32,,Boise State,13,
50,51,2,"Sep 1, 2001",Sat,Southern California,21,,San Jose State,10,
51,52,2,"Sep 1, 2001",Sat,Southern Mississippi,17,,Oklahoma State,9,
52,53,2,"Sep 1, 2001",Sat,Tennessee,33,,Syracuse,9,
53,54,2,"Sep 1, 2001",Sat,Texas,41,,New Mexico State,7,
54,55,2,"Sep 1, 2001",Sat,Texas A&M;,38,,McNeese State,24,
55,56,2,"Sep 1, 2001",Sat,Texas Christian,19,@,North Texas,5,
56,57,2,"Sep 1, 2001",Sat,UCLA,20,@,Alabama,17,
57,58,2,"Sep 1, 2001",Sat,Utah,23,,Utah State,19,
58,59,2,"Sep 1, 2001",Sat,Virginia,17,,Richmond,16,
59,60,2,"Sep 1, 2001",Sat,Virginia Tech,52,,Connecticut,10,
60,61,2,"Sep 1, 2001",Sat,Wake Forest,21,@,East Carolina,19,
61,62,2,"Sep 1, 2001",Sat,Wyoming,20,,Furman,14,
62,63,2,"Sep 2, 2001",Sun,Fresno State,44,,Oregon State,24,
63,64,2,"Sep 2, 2001",Sun,Purdue,19,@,Cincinnati,14,
64,65,2,"Sep 3, 2001",Mon,Mississippi State,30,,Memphis,10,
65,66,3,"Sep 6, 2001",Thu,North Carolina State,35,,Indiana,14,
66,67,3,"Sep 6, 2001",Thu,Texas A&M;,28,@,Wyoming,20,
67,68,3,"Sep 7, 2001",Fri,Northwestern,37,@,Nevada-Las Vegas,28,
68,69,3,"Sep 8, 2001",Sat,Air Force,42,,Tennessee Tech,0,
69,70,3,"Sep 8, 2001",Sat,Alabama,12,@,Vanderbilt,9,
70,71,3,"Sep 8, 2001",Sat,Arizona,36,,Idaho,29,
71,72,3,"Sep 8, 2001",Sat,Arizona State,38,,San Diego State,7,
72,73,3,"Sep 8, 2001",Sat,Auburn,27,,Mississippi,21,
73,74,3,"Sep 8, 2001",Sat,Baylor,24,,Arkansas State,3,
74,75,3,"Sep 8, 2001",Sat,Bowling Green State,35,,Buffalo,0,
75,76,3,"Sep 8, 2001",Sat,Brigham Young,44,@,California,16,
76,77,3,"Sep 8, 2001",Sat,Cincinnati,24,@,Army,21,
77,78,3,"Sep 8, 2001",Sat,Clemson,38,,Wofford,14,
78,79,3,"Sep 8, 2001",Sat,Colorado,51,,San Jose State,15,
79,80,3,"Sep 8, 2001",Sat,Colorado State,35,,Nevada,18,
80,81,3,"Sep 8, 2001",Sat,East Carolina,51,@,Tulane,24,
81,82,3,"Sep 8, 2001",Sat,Eastern Washington,35,@,Connecticut,17,
82,83,3,"Sep 8, 2001",Sat,Florida,55,,Louisiana-Monroe,6,
83,84,3,"Sep 8, 2001",Sat,Florida State,29,,Alabama-Birmingham,7,
84,85,3,"Sep 8, 2001",Sat,Fresno State,32,@,Wisconsin,20,
85,86,3,"Sep 8, 2001",Sat,Georgia Tech,70,@,Navy,7,
86,87,3,"Sep 8, 2001",Sat,Hawaii,30,,Montana,12,"Wailuku, HI"
87,88,3,"Sep 8, 2001",Sat,Illinois,17,,Northern Illinois,12,
88,89,3,"Sep 8, 2001",Sat,Iowa,44,,Miami (OH),19,
89,90,3,"Sep 8, 2001",Sat,Iowa State,45,,Northern Iowa,0,
90,91,3,"Sep 8, 2001",Sat,Kansas State,10,@,Southern California,6,
91,92,3,"Sep 8, 2001",Sat,Kent State,38,,Bucknell,17,
92,93,3,"Sep 8, 2001",Sat,Kentucky,28,,Ball State,20,
93,94,3,"Sep 8, 2001",Sat,Louisiana State,31,,Utah State,14,
94,95,3,"Sep 8, 2001",Sat,Louisville,31,,Western Carolina,7,
95,96,3,"Sep 8, 2001",Sat,Marshall,49,,Massachusetts,20,
96,97,3,"Sep 8, 2001",Sat,Maryland,50,,Eastern Michigan,3,
