,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 27, 1986",Wed,Alabama,16,,Ohio State,10,"Kick-off Classic (East Rutherford, NJ)"
1,2,1,"Aug 30, 1986",Sat,Air Force,24,,Hawaii,17,
2,3,1,"Aug 30, 1986",Sat,Angelo State,20,@,New Mexico State,14,
3,4,1,"Aug 30, 1986",Sat,Ball State,20,@,Northern Illinois,10,
4,5,1,"Aug 30, 1986",Sat,Florida,38,,Georgia Southern,14,
5,6,1,"Aug 30, 1986",Sat,Florida State,24,,Toledo,0,
6,7,1,"Aug 30, 1986",Sat,Kansas State,35,,Western Illinois,7,
7,8,1,"Aug 30, 1986",Sat,Louisiana Tech,22,@,Tulsa,17,
8,9,1,"Aug 30, 1986",Sat,Miami (FL),34,@,South Carolina,14,
9,10,1,"Aug 30, 1986",Sat,Nevada,49,,Cal State Fullerton,3,
10,11,1,"Aug 30, 1986",Sat,Texas-El Paso,64,,Northern Michigan,29,
11,12,1,"Sep 1, 1986",Mon,Maryland,10,@,Pittsburgh,7,
12,13,2,"Sep 6, 1986",Sat,Air Force,23,@,Texas-El Paso,21,
13,14,2,"Sep 6, 1986",Sat,Alabama,42,,Vanderbilt,10,
14,15,2,"Sep 6, 1986",Sat,Arizona,37,,Houston,3,
15,16,2,"Sep 6, 1986",Sat,Auburn,42,,Chattanooga,14,
16,17,2,"Sep 6, 1986",Sat,Baylor,31,@,Wyoming,28,
17,18,2,"Sep 6, 1986",Sat,Bowling Green State,21,,Ohio,16,
18,19,2,"Sep 6, 1986",Sat,Brigham Young,52,,Utah State,0,
19,20,2,"Sep 6, 1986",Sat,Cincinnati,24,@,Virginia Tech,20,
20,21,2,"Sep 6, 1986",Sat,Colorado State,23,@,Colorado,7,
21,22,2,"Sep 6, 1986",Sat,Duke,17,@,Northwestern,6,
22,23,2,"Sep 6, 1986",Sat,Eastern Michigan,21,,Western Michigan,14,
23,24,2,"Sep 6, 1986",Sat,Fresno State,55,,Montana State,2,
24,25,2,"Sep 6, 1986",Sat,Hawaii,20,,Wisconsin,17,
25,26,2,"Sep 6, 1986",Sat,Illinois,23,,Louisville,0,
26,27,2,"Sep 6, 1986",Sat,Kent State,18,,Toledo,16,
