,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 2, 2010",Thu,Ball State,27,,Southeast Missouri State,10,
1,2,1,"Sep 2, 2010",Thu,Buffalo,31,,Rhode Island,0,
2,3,1,"Sep 2, 2010",Thu,Central Michigan,33,,Hampton,0,
3,4,1,"Sep 2, 2010",Thu,Florida Atlantic,32,@,Alabama-Birmingham,31,
4,5,1,"Sep 2, 2010",Thu,Idaho,45,,North Dakota,0,
5,6,1,"Sep 2, 2010",Thu,Indiana,51,,Towson,17,
6,7,1,"Sep 2, 2010",Thu,Iowa State,27,,Northern Illinois,10,
7,8,1,"Sep 2, 2010",Thu,Kent State,41,,Murray State,10,
8,9,1,"Sep 2, 2010",Thu,Miami (FL),45,,Florida A&M;,0,
9,10,1,"Sep 2, 2010",Thu,Minnesota,24,@,Middle Tennessee State,17,
10,11,1,"Sep 2, 2010",Thu,Nevada,49,,Eastern Washington,24,
11,12,1,"Sep 2, 2010",Thu,Ohio State,45,,Marshall,7,
12,13,1,"Sep 2, 2010",Thu,Rutgers,31,,Norfolk State,0,
13,14,1,"Sep 2, 2010",Thu,South Carolina,41,,Southern Mississippi,13,
14,15,1,"Sep 2, 2010",Thu,Southern California,49,@,Hawaii,36,
15,16,1,"Sep 2, 2010",Thu,Tulane,27,,Southeastern Louisiana,21,
16,17,1,"Sep 2, 2010",Thu,Utah,27,,Pittsburgh,24,
17,18,1,"Sep 2, 2010",Thu,Wake Forest,53,,Presbyterian,13,
18,19,1,"Sep 3, 2010",Fri,Arizona,41,@,Toledo,2,
19,20,1,"Sep 3, 2010",Fri,Temple,31,,Villanova,24,
20,21,1,"Sep 4, 2010",Sat,Air Force,65,,Northwestern State,21,
21,22,1,"Sep 4, 2010",Sat,Alabama,48,,San Jose State,3,
22,23,1,"Sep 4, 2010",Sat,Arizona State,54,,Portland State,9,
23,24,1,"Sep 4, 2010",Sat,Arkansas,44,,Tennessee Tech,3,
24,25,1,"Sep 4, 2010",Sat,Army,31,@,Eastern Michigan,27,
25,26,1,"Sep 4, 2010",Sat,Auburn,52,,Arkansas State,26,
26,27,1,"Sep 4, 2010",Sat,Baylor,34,,Sam Houston State,3,
27,28,1,"Sep 4, 2010",Sat,Boston College,38,,Weber State,20,
28,29,1,"Sep 4, 2010",Sat,Brigham Young,23,,Washington,17,
29,30,1,"Sep 4, 2010",Sat,California,52,,California-Davis,3,
30,31,1,"Sep 4, 2010",Sat,Central Florida,38,,South Dakota,7,
31,32,1,"Sep 4, 2010",Sat,Clemson,35,,North Texas,10,
32,33,1,"Sep 4, 2010",Sat,Colorado,24,,Colorado State,3,"Denver, CO"
33,34,1,"Sep 4, 2010",Sat,Duke,41,,Elon,27,
34,35,1,"Sep 4, 2010",Sat,Florida,34,,Miami (OH),12,
35,36,1,"Sep 4, 2010",Sat,Florida State,59,,Samford,6,
36,37,1,"Sep 4, 2010",Sat,Fresno State,28,,Cincinnati,14,
37,38,1,"Sep 4, 2010",Sat,Georgia,55,,Louisiana-Lafayette,7,
38,39,1,"Sep 4, 2010",Sat,Georgia Tech,41,,South Carolina State,10,
39,40,1,"Sep 4, 2010",Sat,Houston,68,,Texas State,28,
40,41,1,"Sep 4, 2010",Sat,Iowa,37,,Eastern Illinois,7,
41,42,1,"Sep 4, 2010",Sat,Jacksonville State,49,@,Mississippi,48,
42,43,1,"Sep 4, 2010",Sat,Kansas State,31,,UCLA,22,
43,44,1,"Sep 4, 2010",Sat,Kentucky,23,@,Louisville,16,
44,45,1,"Sep 4, 2010",Sat,Louisiana State,30,,North Carolina,24,"Atlanta, GA"
45,46,1,"Sep 4, 2010",Sat,Louisiana Tech,20,,Grambling State,6,
46,47,1,"Sep 4, 2010",Sat,Michigan,30,,Connecticut,10,
47,48,1,"Sep 4, 2010",Sat,Michigan State,38,,Western Michigan,14,
48,49,1,"Sep 4, 2010",Sat,Mississippi State,49,,Memphis,7,
49,50,1,"Sep 4, 2010",Sat,Missouri,23,,Illinois,13,"St. Louis, MO"
50,51,1,"Sep 4, 2010",Sat,Nebraska,49,,Western Kentucky,10,
51,52,1,"Sep 4, 2010",Sat,North Carolina State,48,,Western Carolina,7,
52,53,1,"Sep 4, 2010",Sat,North Dakota State,6,@,Kansas,3,
53,54,1,"Sep 4, 2010",Sat,Northwestern,23,@,Vanderbilt,21,
54,55,1,"Sep 4, 2010",Sat,Notre Dame,23,,Purdue,12,
55,56,1,"Sep 4, 2010",Sat,Ohio,33,,Wofford,10,
56,57,1,"Sep 4, 2010",Sat,Oklahoma,31,,Utah State,24,
57,58,1,"Sep 4, 2010",Sat,Oklahoma State,65,,Washington State,17,
58,59,1,"Sep 4, 2010",Sat,Oregon,72,,New Mexico,0,
59,60,1,"Sep 4, 2010",Sat,Penn State,44,,Youngstown State,14,
60,61,1,"Sep 4, 2010",Sat,San Diego State,47,,Nicholls State,0,
61,62,1,"Sep 4, 2010",Sat,South Florida,59,,Stony Brook,14,
62,63,1,"Sep 4, 2010",Sat,Stanford,52,,Sacramento State,17,
63,64,1,"Sep 4, 2010",Sat,Syracuse,29,@,Akron,3,
64,65,1,"Sep 4, 2010",Sat,Tennessee,50,,Tennessee-Martin,0,
65,66,1,"Sep 4, 2010",Sat,Texas,34,@,Rice,17,"Houston, TX"
66,67,1,"Sep 4, 2010",Sat,Texas A&M;,48,,Stephen F. Austin,7,
67,68,1,"Sep 4, 2010",Sat,Texas Christian,30,,Oregon State,21,"Arlington, TX"
68,69,1,"Sep 4, 2010",Sat,Texas-El Paso,31,,Arkansas-Pine Bluff,10,
69,70,1,"Sep 4, 2010",Sat,Troy,30,,Bowling Green State,27,
70,71,1,"Sep 4, 2010",Sat,Virginia,34,,Richmond,13,
71,72,1,"Sep 4, 2010",Sat,West Virginia,31,,Coastal Carolina,0,
72,73,1,"Sep 4, 2010",Sat,Wisconsin,41,@,Nevada-Las Vegas,21,
73,74,1,"Sep 4, 2010",Sat,Wyoming,28,,Southern Utah,20,
74,75,1,"Sep 5, 2010",Sun,East Carolina,51,,Tulsa,49,
75,76,1,"Sep 5, 2010",Sun,Texas Tech,35,,Southern Methodist,27,
76,77,1,"Sep 6, 2010",Mon,Boise State,33,@,Virginia Tech,30,"Landover, MD"
77,78,1,"Sep 6, 2010",Mon,Maryland,17,,Navy,14,"Baltimore, MD"
78,79,2,"Sep 9, 2010",Thu,Auburn,17,@,Mississippi State,14,
79,80,2,"Sep 9, 2010",Thu,Temple,13,,Central Michigan,10,
80,81,2,"Sep 10, 2010",Fri,Houston,54,,Texas-El Paso,24,
81,82,2,"Sep 10, 2010",Fri,West Virginia,24,@,Marshall,21,
82,83,2,"Sep 11, 2010",Sat,Air Force,35,,Brigham Young,14,
83,84,2,"Sep 11, 2010",Sat,Alabama,24,,Penn State,3,
84,85,2,"Sep 11, 2010",Sat,Arizona,52,,Citadel,6,
85,86,2,"Sep 11, 2010",Sat,Arizona State,41,,Northern Arizona,20,
86,87,2,"Sep 11, 2010",Sat,Arkansas,31,,Louisiana-Monroe,7,"Little Rock, AR"
87,88,2,"Sep 11, 2010",Sat,Baylor,34,,Buffalo,6,
88,89,2,"Sep 11, 2010",Sat,Boston College,26,,Kent State,13,
89,90,2,"Sep 11, 2010",Sat,California,52,,Colorado,7,
90,91,2,"Sep 11, 2010",Sat,Cincinnati,40,,Indiana State,7,
91,92,2,"Sep 11, 2010",Sat,Clemson,58,,Presbyterian,21,
92,93,2,"Sep 11, 2010",Sat,Connecticut,62,,Texas Southern,3,
93,94,2,"Sep 11, 2010",Sat,East Carolina,49,,Memphis,27,
94,95,2,"Sep 11, 2010",Sat,Florida,38,,South Florida,14,
95,96,2,"Sep 11, 2010",Sat,Gardner-Webb,38,@,Akron,37,
96,97,2,"Sep 11, 2010",Sat,Hawaii,31,@,Army,28,
97,98,2,"Sep 11, 2010",Sat,Illinois,35,,Southern Illinois,3,
98,99,2,"Sep 11, 2010",Sat,Iowa,35,,Iowa State,7,
99,100,2,"Sep 11, 2010",Sat,James Madison,21,@,Virginia Tech,16,
100,101,2,"Sep 11, 2010",Sat,Kansas,28,,Georgia Tech,25,
101,102,2,"Sep 11, 2010",Sat,Kansas State,48,,Missouri State,24,
102,103,2,"Sep 11, 2010",Sat,Kentucky,63,,Western Kentucky,28,
103,104,2,"Sep 11, 2010",Sat,Liberty,27,@,Ball State,23,
104,105,2,"Sep 11, 2010",Sat,Louisiana State,27,@,Vanderbilt,3,
105,106,2,"Sep 11, 2010",Sat,Louisiana-Lafayette,31,,Arkansas State,24,
106,107,2,"Sep 11, 2010",Sat,Louisville,23,,Eastern Kentucky,13,
107,108,2,"Sep 11, 2010",Sat,Maryland,62,,Morgan State,3,
108,109,2,"Sep 11, 2010",Sat,Miami (OH),28,,Eastern Michigan,21,
109,110,2,"Sep 11, 2010",Sat,Michigan,28,@,Notre Dame,24,
110,111,2,"Sep 11, 2010",Sat,Michigan State,30,,Florida Atlantic,17,"Detroit, MI"
111,112,2,"Sep 11, 2010",Sat,Middle Tennessee State,56,,Austin Peay,33,
112,113,2,"Sep 11, 2010",Sat,Mississippi,27,@,Tulane,13,
113,114,2,"Sep 11, 2010",Sat,Missouri,50,,McNeese State,6,
