,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 15, 1955",Thu,Newberry,14,@,Furman,0,
1,2,1,"Sep 16, 1955",Fri,Davidson,26,,Catawba College,0,"Charlotte, NC"
2,3,1,"Sep 16, 1955",Fri,Drake,21,,North Dakota State,6,
3,4,1,"Sep 16, 1955",Fri,San Jose State,13,@,Utah State,0,
4,5,1,"Sep 16, 1955",Fri,UCLA,21,,Texas A&M;,0,
5,6,1,"Sep 17, 1955",Sat,Arizona,20,,Colorado State,7,
6,7,1,"Sep 17, 1955",Sat,Arizona State,20,,Wichita State,20,
7,8,1,"Sep 17, 1955",Sat,Arkansas,21,,Tulsa,6,
8,9,1,"Sep 17, 1955",Sat,Baylor,35,,Hardin-Simmons,7,
9,10,1,"Sep 17, 1955",Sat,Clemson,33,,Presbyterian,0,
10,11,1,"Sep 17, 1955",Sat,Denver,19,@,Iowa State,7,
11,12,1,"Sep 17, 1955",Sat,Florida,20,,Mississippi State,14,
12,13,1,"Sep 17, 1955",Sat,Florida State,7,,North Carolina State,0,
13,14,1,"Sep 17, 1955",Sat,Georgia Tech,14,,Miami (FL),6,
14,15,1,"Sep 17, 1955",Sat,Hawaii,6,@,Nebraska,0,
15,16,1,"Sep 17, 1955",Sat,Houston,54,,Montana,12,
16,17,1,"Sep 17, 1955",Sat,Louisiana State,19,,Kentucky,7,
17,18,1,"Sep 17, 1955",Sat,Maryland,13,@,Missouri,12,
18,19,1,"Sep 17, 1955",Sat,Mississippi,26,@,Georgia,13,"Atlanta, GA"
19,20,1,"Sep 17, 1955",Sat,New Mexico,14,,New Mexico State,7,
20,21,1,"Sep 17, 1955",Sat,Oregon,14,@,Utah,13,
21,22,1,"Sep 17, 1955",Sat,Oregon State,33,,Brigham Young,0,
22,23,1,"Sep 17, 1955",Sat,Pittsburgh,27,,California,7,
23,24,1,"Sep 17, 1955",Sat,Richmond,33,,Randolph-Macon,6,
24,25,1,"Sep 17, 1955",Sat,South Carolina,26,,Wofford,7,
25,26,1,"Sep 17, 1955",Sat,Southern California,50,,Washington State,12,
26,27,1,"Sep 17, 1955",Sat,Stanford,33,,Pacific,14,
27,28,1,"Sep 17, 1955",Sat,Texas Christian,47,,Kansas,14,
28,29,1,"Sep 17, 1955",Sat,Texas Tech,20,@,Texas,14,
29,30,1,"Sep 17, 1955",Sat,Tulane,20,,Virginia Military Institute,7,
30,31,1,"Sep 17, 1955",Sat,Wake Forest,13,,Virginia Tech,0,
31,32,1,"Sep 17, 1955",Sat,Washington,14,,Idaho,7,
32,33,1,"Sep 17, 1955",Sat,West Texas A&M;,46,,Texas A&M-Corpus; Christi,0,
33,34,1,"Sep 17, 1955",Sat,Wyoming,38,@,Kansas State,20,
34,35,2,"Sep 23, 1955",Fri,Denver,33,,Drake,7,
35,36,2,"Sep 23, 1955",Fri,San Jose State,34,,Hawaii,0,
36,37,2,"Sep 23, 1955",Fri,Southern California,42,,Oregon,15,
37,38,2,"Sep 23, 1955",Fri,Toledo,12,@,Detroit Mercy,7,
38,39,2,"Sep 24, 1955",Sat,Arizona State,28,,Midwestern Texas State,7,
39,40,2,"Sep 24, 1955",Sat,Arkansas,21,,Oklahoma State,0,"Little Rock, AR"
40,41,2,"Sep 24, 1955",Sat,Army,81,,Furman,0,
41,42,2,"Sep 24, 1955",Sat,Auburn,15,,Chattanooga,6,
42,43,2,"Sep 24, 1955",Sat,Baylor,19,@,Villanova,2,"Philadelphia, PA"
43,44,2,"Sep 24, 1955",Sat,Boston College,27,,Brandeis,0,
44,45,2,"Sep 24, 1955",Sat,Brigham Young,33,,Cal State Los Angeles,0,
45,46,2,"Sep 24, 1955",Sat,Citadel,26,,Elon,18,
46,47,2,"Sep 24, 1955",Sat,Clemson,20,@,Virginia,7,
47,48,2,"Sep 24, 1955",Sat,Colgate,21,,Dartmouth,20,
48,49,2,"Sep 24, 1955",Sat,Colorado,14,,Arizona,0,
49,50,2,"Sep 24, 1955",Sat,Colorado State,25,,New Mexico,0,
50,51,2,"Sep 24, 1955",Sat,Columbia,14,,Brown,12,
51,52,2,"Sep 24, 1955",Sat,Cornell,14,,Lehigh,6,
52,53,2,"Sep 24, 1955",Sat,Dayton,15,@,Cincinnati,14,
53,54,2,"Sep 24, 1955",Sat,Duke,33,@,North Carolina State,7,
54,55,2,"Sep 24, 1955",Sat,George Washington,25,@,Virginia Military Institute,6,"Roanoke, VA"
55,56,2,"Sep 24, 1955",Sat,Georgia,14,,Vanderbilt,13,
56,57,2,"Sep 24, 1955",Sat,Georgia Tech,14,@,Florida,7,
57,58,2,"Sep 24, 1955",Sat,Holy Cross,42,,Temple,7,
58,59,2,"Sep 24, 1955",Sat,Illinois,20,@,California,13,
59,60,2,"Sep 24, 1955",Sat,Iowa,28,,Kansas State,7,
60,61,2,"Sep 24, 1955",Sat,Kansas,13,,Washington State,0,
61,62,2,"Sep 24, 1955",Sat,Kentucky,21,,Mississippi,14,
62,63,2,"Sep 24, 1955",Sat,Maryland,7,,UCLA,0,
63,64,2,"Sep 24, 1955",Sat,Miami (OH),25,@,Northwestern,14,
64,65,2,"Sep 24, 1955",Sat,Michigan,42,,Missouri,7,
65,66,2,"Sep 24, 1955",Sat,Michigan State,20,@,Indiana,13,
66,67,2,"Sep 24, 1955",Sat,Mississippi State,13,@,Tennessee,7,
67,68,2,"Sep 24, 1955",Sat,Navy,7,,William & Mary,0,
68,69,2,"Sep 24, 1955",Sat,New Mexico Highlands,19,@,New Mexico State,12,
69,70,2,"Sep 24, 1955",Sat,North Texas,7,,Texas-El Paso,7,
70,71,2,"Sep 24, 1955",Sat,Notre Dame,17,,Southern Methodist,0,
71,72,2,"Sep 24, 1955",Sat,Ohio State,28,,Nebraska,20,
72,73,2,"Sep 24, 1955",Sat,Oklahoma,13,@,North Carolina,6,
73,74,2,"Sep 24, 1955",Sat,Oregon State,10,,Stanford,0,"Portland, OR"
74,75,2,"Sep 24, 1955",Sat,Penn State,35,,Boston University,0,
75,76,2,"Sep 24, 1955",Sat,Pittsburgh,22,@,Syracuse,12,
76,77,2,"Sep 24, 1955",Sat,Princeton,41,,Rutgers,7,
77,78,2,"Sep 24, 1955",Sat,Purdue,14,,Pacific,7,
78,79,2,"Sep 24, 1955",Sat,Rice,20,,Alabama,0,
79,80,2,"Sep 24, 1955",Sat,Texas,35,,Tulane,21,
80,81,2,"Sep 24, 1955",Sat,Texas A&M;,28,,Louisiana State,0,"Dallas, TX"
81,82,2,"Sep 24, 1955",Sat,Texas Christian,32,@,Texas Tech,0,
82,83,2,"Sep 24, 1955",Sat,Tulsa,41,,Hardin-Simmons,19,
83,84,2,"Sep 24, 1955",Sat,Utah,20,@,Idaho,13,"Boise, ID"
84,85,2,"Sep 24, 1955",Sat,Virginia Tech,33,@,Pennsylvania,0,
85,86,2,"Sep 24, 1955",Sat,Wake Forest,34,,South Carolina,19,"Winston-Salem, NC"
86,87,2,"Sep 24, 1955",Sat,Washington,30,@,Minnesota,0,
87,88,2,"Sep 24, 1955",Sat,West Texas A&M;,6,,McMurry,0,
88,89,2,"Sep 24, 1955",Sat,West Virginia,33,,Richmond,12,
89,90,2,"Sep 24, 1955",Sat,Wichita State,19,,Utah State,0,
90,91,2,"Sep 24, 1955",Sat,Wisconsin,28,,Marquette,14,
91,92,2,"Sep 24, 1955",Sat,Wyoming,35,,Montana,6,"Billings, MT"
92,93,2,"Sep 24, 1955",Sat,Yale,14,,Connecticut,0,
93,94,3,"Sep 30, 1955",Fri,Detroit Mercy,41,,Wichita State,0,
94,95,3,"Sep 30, 1955",Fri,Miami (FL),34,,Florida State,0,
95,96,3,"Sep 30, 1955",Fri,Northern Iowa,21,@,Drake,14,
96,97,3,"Sep 30, 1955",Fri,Southern California,19,,Texas,7,
97,98,3,"Oct 1, 1955",Sat,Arizona,47,,Idaho,14,
98,99,3,"Oct 1, 1955",Sat,Arizona State,42,,San Diego Navy,0,
99,100,3,"Oct 1, 1955",Sat,Army,35,,Penn State,6,
100,101,3,"Oct 1, 1955",Sat,Auburn,13,,Florida,0,
101,102,3,"Oct 1, 1955",Sat,California,27,,Pennsylvania,7,
102,103,3,"Oct 1, 1955",Sat,Clemson,26,,Georgia,7,
103,104,3,"Oct 1, 1955",Sat,Colgate,21,@,Cornell,6,
104,105,3,"Oct 1, 1955",Sat,Colorado,12,,Kansas,0,
105,106,3,"Oct 1, 1955",Sat,Colorado State,20,,Denver,19,
106,107,3,"Oct 1, 1955",Sat,Connecticut,10,@,Boston University,7,
107,108,3,"Oct 1, 1955",Sat,Davidson,6,,Citadel,2,
108,109,3,"Oct 1, 1955",Sat,Duke,21,@,Tennessee,0,
109,110,3,"Oct 1, 1955",Sat,George Washington,13,@,Virginia,0,
110,111,3,"Oct 1, 1955",Sat,Georgia Tech,20,,Southern Methodist,7,
111,112,3,"Oct 1, 1955",Sat,Hardin-Simmons,39,,New Mexico State,0,
112,113,3,"Oct 1, 1955",Sat,Harvard,60,,Massachusetts,6,
113,114,3,"Oct 1, 1955",Sat,Holy Cross,29,@,Dartmouth,21,
114,115,3,"Oct 1, 1955",Sat,Illinois,40,,Iowa State,0,
115,116,3,"Oct 1, 1955",Sat,Kentucky,28,,Villanova,0,
116,117,3,"Oct 1, 1955",Sat,Louisiana State,20,,Rice,20,
117,118,3,"Oct 1, 1955",Sat,Marquette,13,,Tulsa,0,
118,119,3,"Oct 1, 1955",Sat,Maryland,20,@,Baylor,6,
119,120,3,"Oct 1, 1955",Sat,Michigan,14,,Michigan State,7,
120,121,3,"Oct 1, 1955",Sat,Mississippi,33,,North Texas,0,
121,122,3,"Oct 1, 1955",Sat,Mississippi State,33,,Memphis,0,
122,123,3,"Oct 1, 1955",Sat,Montana,27,,Brigham Young,13,
123,124,3,"Oct 1, 1955",Sat,Navy,26,@,South Carolina,0,
124,125,3,"Oct 1, 1955",Sat,Nebraska,16,@,Kansas State,0,
125,126,3,"Oct 1, 1955",Sat,North Carolina,25,@,North Carolina State,18,
126,127,3,"Oct 1, 1955",Sat,Notre Dame,19,,Indiana,0,
127,128,3,"Oct 1, 1955",Sat,Oklahoma,26,,Pittsburgh,14,
128,129,3,"Oct 1, 1955",Sat,Pacific,27,,Cincinnati,13,
129,130,3,"Oct 1, 1955",Sat,Princeton,20,,Columbia,7,
130,131,3,"Oct 1, 1955",Sat,Purdue,7,@,Minnesota,6,
131,132,3,"Oct 1, 1955",Sat,Richmond,21,@,Virginia Military Institute,0,
132,133,3,"Oct 1, 1955",Sat,Stanford,6,,Ohio State,0,
133,134,3,"Oct 1, 1955",Sat,Texas A&M;,21,,Houston,3,
134,135,3,"Oct 1, 1955",Sat,Texas Christian,26,@,Arkansas,0,
135,136,3,"Oct 1, 1955",Sat,Texas Tech,24,@,Oklahoma State,6,
136,137,3,"Oct 1, 1955",Sat,Texas-El Paso,34,@,New Mexico,0,
137,138,3,"Oct 1, 1955",Sat,Tulane,21,,Northwestern,0,
138,139,3,"Oct 1, 1955",Sat,UCLA,55,@,Washington State,0,
139,140,3,"Oct 1, 1955",Sat,Utah,20,@,Missouri,14,
140,141,3,"Oct 1, 1955",Sat,Vanderbilt,21,,Alabama,6,
141,142,3,"Oct 1, 1955",Sat,Virginia Tech,14,@,William & Mary,7,
142,143,3,"Oct 1, 1955",Sat,Washington,19,@,Oregon,7,"Portland, OR"
143,144,3,"Oct 1, 1955",Sat,West Texas A&M;,34,,Midwestern Texas State,0,
144,145,3,"Oct 1, 1955",Sat,West Virginia,46,,Wake Forest,0,
145,146,3,"Oct 1, 1955",Sat,Wisconsin,37,,Iowa,14,
146,147,3,"Oct 1, 1955",Sat,Wofford,27,,Furman,6,
147,148,3,"Oct 1, 1955",Sat,Wyoming,21,,Utah State,13,
148,149,3,"Oct 1, 1955",Sat,Yale,27,,Brown,20,
149,150,4,"Oct 7, 1955",Fri,Citadel,14,@,Richmond,12,
150,151,4,"Oct 7, 1955",Fri,Houston,7,@,Detroit Mercy,0,
151,152,4,"Oct 7, 1955",Fri,Notre Dame,14,@,Miami (FL),0,
152,153,4,"Oct 7, 1955",Fri,Southern Methodist,13,,Missouri,6,
153,154,4,"Oct 7, 1955",Fri,UCLA,38,,Oregon State,0,
154,155,4,"Oct 8, 1955",Sat,Baylor,25,,Arkansas,20,
155,156,4,"Oct 8, 1955",Sat,Boston College,28,,Villanova,14,
156,157,4,"Oct 8, 1955",Sat,Brown,7,,Dartmouth,0,
157,158,4,"Oct 8, 1955",Sat,Colorado,13,@,Oregon,6,
158,159,4,"Oct 8, 1955",Sat,Colorado State,14,@,Wyoming,13,
159,160,4,"Oct 8, 1955",Sat,Cornell,20,@,Harvard,7,
160,161,4,"Oct 8, 1955",Sat,Denver,61,@,Montana,13,
161,162,4,"Oct 8, 1955",Sat,Drake,39,@,Washington (MO),19,
162,163,4,"Oct 8, 1955",Sat,Duke,47,,William & Mary,7,
163,164,4,"Oct 8, 1955",Sat,Florida,28,,George Washington,0,"Jacksonville, FL"
164,165,4,"Oct 8, 1955",Sat,Georgia,28,,North Carolina,7,
165,166,4,"Oct 8, 1955",Sat,Georgia Tech,7,@,Louisiana State,0,
166,167,4,"Oct 8, 1955",Sat,Holy Cross,15,@,Colgate,14,
167,168,4,"Oct 8, 1955",Sat,Howard Payne,34,,New Mexico State,12,
168,169,4,"Oct 8, 1955",Sat,Iowa,20,,Indiana,6,
169,170,4,"Oct 8, 1955",Sat,Iowa State,7,,Kansas,7,
170,171,4,"Oct 8, 1955",Sat,Kansas State,42,@,Marquette,0,
171,172,4,"Oct 8, 1955",Sat,Kentucky,14,,Auburn,14,"Birmingham, AL"
172,173,4,"Oct 8, 1955",Sat,Maryland,28,,Wake Forest,7,
173,174,4,"Oct 8, 1955",Sat,Michigan,26,,Army,2,
174,175,4,"Oct 8, 1955",Sat,Michigan State,38,,Stanford,14,
175,176,4,"Oct 8, 1955",Sat,Minnesota,18,@,Northwestern,7,
176,177,4,"Oct 8, 1955",Sat,Mississippi,13,,Vanderbilt,0,"Memphis, TN"
177,178,4,"Oct 8, 1955",Sat,Mississippi State,14,,Tulane,0,
178,179,4,"Oct 8, 1955",Sat,Navy,21,,Pittsburgh,0,"Baltimore, MD"
179,180,4,"Oct 8, 1955",Sat,Ohio State,27,,Illinois,12,
180,181,4,"Oct 8, 1955",Sat,Oklahoma,20,,Texas,0,"Dallas, TX"
181,182,4,"Oct 8, 1955",Sat,Pacific,20,@,Idaho,0,
182,183,4,"Oct 8, 1955",Sat,Penn State,26,@,Virginia,7,"Richmond, VA"
183,184,4,"Oct 8, 1955",Sat,Presbyterian,16,@,Davidson,7,
184,185,4,"Oct 8, 1955",Sat,Princeton,7,@,Pennsylvania,0,
185,186,4,"Oct 8, 1955",Sat,Rice,21,,Clemson,7,
186,187,4,"Oct 8, 1955",Sat,Rutgers,21,,Muhlenberg,0,
187,188,4,"Oct 8, 1955",Sat,San Jose State,27,,Arizona State,20,
188,189,4,"Oct 8, 1955",Sat,South Carolina,19,,Furman,0,
189,190,4,"Oct 8, 1955",Sat,Southern Mississippi,26,,North Texas,0,
190,191,4,"Oct 8, 1955",Sat,Syracuse,27,,Boston University,12,
191,192,4,"Oct 8, 1955",Sat,Tennessee,13,,Chattanooga,0,
192,193,4,"Oct 8, 1955",Sat,Texas A&M;,27,@,Nebraska,0,
193,194,4,"Oct 8, 1955",Sat,Texas Christian,21,@,Alabama,0,
194,195,4,"Oct 8, 1955",Sat,Texas Tech,27,,Texas-El Paso,27,
195,196,4,"Oct 8, 1955",Sat,Utah,41,,Brigham Young,9,
196,197,4,"Oct 8, 1955",Sat,Utah State,18,,New Mexico,0,
197,198,4,"Oct 8, 1955",Sat,Virginia Tech,24,@,Florida State,20,
198,199,4,"Oct 8, 1955",Sat,Washington,7,,Southern California,0,
199,200,4,"Oct 8, 1955",Sat,Washington State,20,,California,20,
200,201,4,"Oct 8, 1955",Sat,West Texas A&M;,20,,Arizona,20,
201,202,4,"Oct 8, 1955",Sat,West Virginia,47,,Virginia Military Institute,12,"Bluefield, WV"
202,203,4,"Oct 8, 1955",Sat,Wichita State,14,@,Oklahoma State,7,
203,204,4,"Oct 8, 1955",Sat,Wisconsin,9,@,Purdue,0,
204,205,4,"Oct 8, 1955",Sat,Xavier,37,@,Cincinnati,0,
205,206,4,"Oct 8, 1955",Sat,Yale,46,,Columbia,14,
206,207,5,"Oct 14, 1955",Fri,Southern California,33,,Wisconsin,21,
207,208,5,"Oct 14, 1955",Fri,Utah,27,@,Denver,7,
208,209,5,"Oct 14, 1955",Fri,Vanderbilt,12,@,Chattanooga,0,
209,210,5,"Oct 15, 1955",Sat,Arizona State,46,@,San Diego State,0,
210,211,5,"Oct 15, 1955",Sat,Arkansas,27,,Texas,20,"Little Rock, AR"
211,212,5,"Oct 15, 1955",Sat,Auburn,14,@,Georgia Tech,12,
212,213,5,"Oct 15, 1955",Sat,Baylor,13,@,Washington,7,
213,214,5,"Oct 15, 1955",Sat,Boston College,23,,Detroit Mercy,0,
214,215,5,"Oct 15, 1955",Sat,Boston University,32,,Drake,2,
215,216,5,"Oct 15, 1955",Sat,Cincinnati,13,,Marquette,12,
216,217,5,"Oct 15, 1955",Sat,Citadel,25,,Furman,19,
217,218,5,"Oct 15, 1955",Sat,Colgate,15,@,Princeton,6,
218,219,5,"Oct 15, 1955",Sat,Colorado,34,@,Kansas State,13,
219,220,5,"Oct 15, 1955",Sat,Davidson,54,,Washington & Lee,0,
220,221,5,"Oct 15, 1955",Sat,Duke,20,@,Ohio State,14,
221,222,5,"Oct 15, 1955",Sat,Florida,18,,Louisiana State,14,
222,223,5,"Oct 15, 1955",Sat,George Washington,25,@,Pennsylvania,6,
223,224,5,"Oct 15, 1955",Sat,Georgia,47,@,Florida State,14,
224,225,5,"Oct 15, 1955",Sat,Harvard,21,@,Columbia,7,
225,226,5,"Oct 15, 1955",Sat,Houston,21,,Oklahoma State,13,
226,227,5,"Oct 15, 1955",Sat,Illinois,21,,Minnesota,13,
227,228,5,"Oct 15, 1955",Sat,Indiana,14,,Villanova,7,
228,229,5,"Oct 15, 1955",Sat,Iowa State,20,,Missouri,14,
229,230,5,"Oct 15, 1955",Sat,Lafayette,21,@,Dartmouth,13,
230,231,5,"Oct 15, 1955",Sat,Maryland,25,@,North Carolina,7,
231,232,5,"Oct 15, 1955",Sat,Michigan,14,,Northwestern,2,
232,233,5,"Oct 15, 1955",Sat,Michigan State,21,,Notre Dame,7,
233,234,5,"Oct 15, 1955",Sat,Mississippi,27,@,Tulane,13,
234,235,5,"Oct 15, 1955",Sat,Mississippi State,20,@,Kentucky,14,
235,236,5,"Oct 15, 1955",Sat,Navy,34,@,Penn State,14,
236,237,5,"Oct 15, 1955",Sat,North Texas,30,,Hardin-Simmons,19,"Odessa, TX"
237,238,5,"Oct 15, 1955",Sat,Oklahoma,44,,Kansas,6,
238,239,5,"Oct 15, 1955",Sat,Oregon,21,,California,0,"Portland, OR"
239,240,5,"Oct 15, 1955",Sat,Pacific,13,,Oregon State,7,
240,241,5,"Oct 15, 1955",Sat,Pittsburgh,21,,Nebraska,7,
241,242,5,"Oct 15, 1955",Sat,Purdue,20,,Iowa,20,
242,243,5,"Oct 15, 1955",Sat,Richmond,7,,Virginia Tech,7,
243,244,5,"Oct 15, 1955",Sat,Rutgers,14,@,Brown,12,
244,245,5,"Oct 15, 1955",Sat,San Jose State,14,@,New Mexico,0,
245,246,5,"Oct 15, 1955",Sat,Southern Methodist,20,,Rice,0,
246,247,5,"Oct 15, 1955",Sat,Syracuse,13,@,Army,0,
247,248,5,"Oct 15, 1955",Sat,Tennessee,20,@,Alabama,0,"Birmingham, AL"
248,249,5,"Oct 15, 1955",Sat,Texas A&M;,19,@,Texas Christian,16,
249,250,5,"Oct 15, 1955",Sat,Texas-El Paso,29,@,Arizona,0,
250,251,5,"Oct 15, 1955",Sat,UCLA,21,@,Stanford,13,
251,252,5,"Oct 15, 1955",Sat,Utah State,32,,Montana,6,
252,253,5,"Oct 15, 1955",Sat,Virginia,20,,Virginia Military Institute,13,
253,254,5,"Oct 15, 1955",Sat,Wake Forest,13,,North Carolina State,13,
254,255,5,"Oct 15, 1955",Sat,Washington State,9,@,Idaho,0,
255,256,5,"Oct 15, 1955",Sat,West Texas A&M;,32,@,New Mexico State,6,
256,257,5,"Oct 15, 1955",Sat,West Virginia,39,,William & Mary,13,
257,258,5,"Oct 15, 1955",Sat,Wichita State,33,@,South Dakota State,7,
258,259,5,"Oct 15, 1955",Sat,Wyoming,23,,Tulsa,19,
259,260,5,"Oct 15, 1955",Sat,Yale,34,,Cornell,6,
260,261,5,"Oct 16, 1955",Sun,Holy Cross,7,,Quantico Marines,0,
261,262,6,"Oct 20, 1955",Thu,Clemson,28,@,South Carolina,14,
262,263,6,"Oct 21, 1955",Fri,Denver,33,,Brigham Young,0,
263,264,6,"Oct 21, 1955",Fri,Detroit Mercy,7,,Oklahoma State,0,
264,265,6,"Oct 21, 1955",Fri,Marquette,13,,Boston College,13,
265,266,6,"Oct 21, 1955",Fri,Texas Christian,21,@,Miami (FL),19,
266,267,6,"Oct 21, 1955",Fri,UCLA,33,,Iowa,13,
267,268,6,"Oct 22, 1955",Sat,Army,45,,Columbia,0,
268,269,6,"Oct 22, 1955",Sat,Auburn,52,,Furman,0,
269,270,6,"Oct 22, 1955",Sat,Cincinnati,21,,Tulsa,21,
270,271,6,"Oct 22, 1955",Sat,Citadel,14,,Presbyterian,13,
271,272,6,"Oct 22, 1955",Sat,Colgate,7,@,Yale,0,
272,273,6,"Oct 22, 1955",Sat,Colorado State,26,,Utah State,9,
273,274,6,"Oct 22, 1955",Sat,Dartmouth,14,,Harvard,9,
274,275,6,"Oct 22, 1955",Sat,Davidson,21,@,Virginia Military Institute,7,
275,276,6,"Oct 22, 1955",Sat,Drake,40,@,Bradley,7,
276,277,6,"Oct 22, 1955",Sat,George Washington,16,@,William & Mary,0,
277,278,6,"Oct 22, 1955",Sat,Georgia Tech,34,,Florida State,0,
278,279,6,"Oct 22, 1955",Sat,Hardin-Simmons,19,@,West Texas A&M;,18,
279,280,6,"Oct 22, 1955",Sat,Holy Cross,20,,Boston University,12,
280,281,6,"Oct 22, 1955",Sat,Houston,7,,Texas Tech,0,
281,282,6,"Oct 22, 1955",Sat,Indiana,20,@,Northwestern,14,
