,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 17, 1954",Fri,Furman,19,,Newberry,6,
1,2,1,"Sep 17, 1954",Fri,Mississippi,35,,North Texas,12,"Memphis, TN"
2,3,1,"Sep 17, 1954",Fri,Southern California,39,,Washington State,0,
3,4,1,"Sep 17, 1954",Fri,Southern Mississippi,7,@,Alabama,2,"Montgomery, AL"
4,5,1,"Sep 17, 1954",Fri,Stanford,13,@,Pacific,12,
5,6,1,"Sep 18, 1954",Sat,Arizona,58,,New Mexico State,0,
6,7,1,"Sep 18, 1954",Sat,Arizona State,28,,Hawaii,14,
7,8,1,"Sep 18, 1954",Sat,Baylor,53,,Houston,13,
8,9,1,"Sep 18, 1954",Sat,Cincinnati,21,@,Detroit Mercy,13,
9,10,1,"Sep 18, 1954",Sat,Clemson,33,,Presbyterian,0,
10,11,1,"Sep 18, 1954",Sat,Colorado,61,,Drake,0,
11,12,1,"Sep 18, 1954",Sat,Davidson,19,@,Virginia Military Institute,0,
12,13,1,"Sep 18, 1954",Sat,Denver,72,@,Colorado College,0,
13,14,1,"Sep 18, 1954",Sat,Georgia,14,@,Florida State,0,
14,15,1,"Sep 18, 1954",Sat,Georgia Tech,28,,Tulane,0,
15,16,1,"Sep 18, 1954",Sat,Hardin-Simmons,21,@,Tulsa,14,
16,17,1,"Sep 18, 1954",Sat,Iowa State,34,,South Dakota State,6,
17,18,1,"Sep 18, 1954",Sat,Kansas State,29,,Colorado State,0,
18,19,1,"Sep 18, 1954",Sat,Maryland,20,@,Kentucky,0,
19,20,1,"Sep 18, 1954",Sat,McMurry,19,@,West Texas A&M;,18,
20,21,1,"Sep 18, 1954",Sat,Mississippi State,27,,Memphis,7,
21,22,1,"Sep 18, 1954",Sat,New Mexico,21,@,Brigham Young,12,
22,23,1,"Sep 18, 1954",Sat,Oklahoma,27,@,California,13,
23,24,1,"Sep 18, 1954",Sat,Oklahoma State,14,@,Wyoming,6,
24,25,1,"Sep 18, 1954",Sat,Oregon,41,@,Idaho,0,
25,26,1,"Sep 18, 1954",Sat,Rice,34,,Florida,14,
26,27,1,"Sep 18, 1954",Sat,Richmond,46,,Randolph-Macon,0,
27,28,1,"Sep 18, 1954",Sat,San Jose State,20,,Utah State,0,
28,29,1,"Sep 18, 1954",Sat,Texas,20,,Louisiana State,6,
29,30,1,"Sep 18, 1954",Sat,Texas Christian,27,@,Kansas,6,
30,31,1,"Sep 18, 1954",Sat,Texas Tech,41,@,Texas A&M;,9,
31,32,1,"Sep 18, 1954",Sat,Texas-El Paso,35,,Sul Ross State,14,
32,33,1,"Sep 18, 1954",Sat,UCLA,67,,San Diego Navy,0,
33,34,1,"Sep 18, 1954",Sat,Virginia Tech,30,,North Carolina State,21,
34,35,1,"Sep 18, 1954",Sat,Wake Forest,14,,George Washington,0,
35,36,1,"Sep 18, 1954",Sat,Washington,7,,Utah,6,
36,37,1,"Sep 18, 1954",Sat,Wichita State,69,,Emporia State,7,
37,38,1,"Sep 19, 1954",Sun,San Jose State,28,,Fresno State,0,
38,39,2,"Sep 24, 1954",Fri,Arizona State,28,@,Brigham Young,19,
39,40,2,"Sep 24, 1954",Fri,Miami (FL),51,,Furman,13,
40,41,2,"Sep 24, 1954",Fri,Richmond,40,,Hampden-Sydney,0,
41,42,2,"Sep 24, 1954",Fri,Southern California,27,,Pittsburgh,7,
42,43,2,"Sep 25, 1954",Sat,Abilene Christian,13,@,Florida State,0,
43,44,2,"Sep 25, 1954",Sat,Alabama,12,@,Louisiana State,0,
44,45,2,"Sep 25, 1954",Sat,Arizona,54,@,Utah,20,
45,46,2,"Sep 25, 1954",Sat,Arkansas,41,,Tulsa,0,
46,47,2,"Sep 25, 1954",Sat,Auburn,45,,Chattanooga,0,
47,48,2,"Sep 25, 1954",Sat,Baylor,25,@,Vanderbilt,19,
48,49,2,"Sep 25, 1954",Sat,Boston College,12,@,Detroit Mercy,7,
49,50,2,"Sep 25, 1954",Sat,Boston University,33,,Brandeis,0,
50,51,2,"Sep 25, 1954",Sat,Brown,18,,Columbia,7,
51,52,2,"Sep 25, 1954",Sat,California,45,,San Jose State,0,
52,53,2,"Sep 25, 1954",Sat,Cincinnati,42,,Dayton,13,
53,54,2,"Sep 25, 1954",Sat,Citadel,21,,Elon,13,
54,55,2,"Sep 25, 1954",Sat,Colgate,19,@,Cornell,14,
55,56,2,"Sep 25, 1954",Sat,Colorado,46,,Colorado State,0,
56,57,2,"Sep 25, 1954",Sat,Dartmouth,27,,Holy Cross,26,
57,58,2,"Sep 25, 1954",Sat,Davidson,19,,Stetson,13,
58,59,2,"Sep 25, 1954",Sat,Denver,33,@,Drake,13,
59,60,2,"Sep 25, 1954",Sat,Duke,52,@,Pennsylvania,0,
60,61,2,"Sep 25, 1954",Sat,Florida,13,@,Georgia Tech,12,
61,62,2,"Sep 25, 1954",Sat,Georgia,14,,Clemson,7,
62,63,2,"Sep 25, 1954",Sat,Hardin-Simmons,27,@,New Mexico State,0,
63,64,2,"Sep 25, 1954",Sat,Iowa,14,,Michigan State,10,
64,65,2,"Sep 25, 1954",Sat,Kansas State,21,@,Wyoming,13,
65,66,2,"Sep 25, 1954",Sat,Memphis,13,,Tulane,13,
66,67,2,"Sep 25, 1954",Sat,Michigan,14,@,Washington,0,
67,68,2,"Sep 25, 1954",Sat,Minnesota,19,,Nebraska,7,
68,69,2,"Sep 25, 1954",Sat,Mississippi,28,,Kentucky,9,"Memphis, TN"
69,70,2,"Sep 25, 1954",Sat,Montana,31,,Fort Lewis College,7,
70,71,2,"Sep 25, 1954",Sat,Navy,27,,William & Mary,0,
71,72,2,"Sep 25, 1954",Sat,New Mexico,28,@,San Diego State,7,
72,73,2,"Sep 25, 1954",Sat,North Carolina,20,,North Carolina State,6,
73,74,2,"Sep 25, 1954",Sat,Northwestern,27,,Iowa State,14,
74,75,2,"Sep 25, 1954",Sat,Notre Dame,21,,Texas,0,
75,76,2,"Sep 25, 1954",Sat,Ohio State,28,,Indiana,0,
76,77,2,"Sep 25, 1954",Sat,Oklahoma,21,,Texas Christian,16,
77,78,2,"Sep 25, 1954",Sat,Oklahoma State,14,@,Texas A&M;,6,"Dallas, TX"
78,79,2,"Sep 25, 1954",Sat,Oregon State,13,,Idaho,0,
79,80,2,"Sep 25, 1954",Sat,Penn State,14,@,Illinois,12,
80,81,2,"Sep 25, 1954",Sat,Princeton,10,,Rutgers,8,
81,82,2,"Sep 25, 1954",Sat,Purdue,31,,Missouri,0,
82,83,2,"Sep 25, 1954",Sat,South Carolina,34,@,Army,20,
83,84,2,"Sep 25, 1954",Sat,Stanford,18,@,Oregon,13,"Portland, OR"
84,85,2,"Sep 25, 1954",Sat,Syracuse,28,,Villanova,6,
85,86,2,"Sep 25, 1954",Sat,Tennessee,19,,Mississippi State,7,"Memphis, TN"
86,87,2,"Sep 25, 1954",Sat,Texas Tech,33,,West Texas A&M;,7,
87,88,2,"Sep 25, 1954",Sat,Texas-El Paso,27,,McMurry,6,
88,89,2,"Sep 25, 1954",Sat,UCLA,32,@,Kansas,7,
89,90,2,"Sep 25, 1954",Sat,Virginia,27,,Lehigh,21,
90,91,2,"Sep 25, 1954",Sat,Virginia Military Institute,16,@,George Washington,14,
91,92,2,"Sep 25, 1954",Sat,Virginia Tech,32,,Wake Forest,0,"Richmond, VA"
92,93,2,"Sep 25, 1954",Sat,Washington State,18,,Pacific,0,"Spokane, WA"
93,94,2,"Sep 25, 1954",Sat,Wichita State,32,,Utah State,7,
94,95,2,"Sep 25, 1954",Sat,Wisconsin,52,,Marquette,14,
95,96,2,"Sep 25, 1954",Sat,Yale,27,,Connecticut,0,
96,97,3,"Oct 1, 1954",Fri,Furman,27,,Presbyterian,0,
97,98,3,"Oct 1, 1954",Fri,Miami (FL),19,,Baylor,13,
98,99,3,"Oct 1, 1954",Fri,Quantico Marines,20,@,Detroit Mercy,0,
99,100,3,"Oct 1, 1954",Fri,UCLA,12,,Maryland,7,
100,101,3,"Oct 1, 1954",Fri,Wichita State,54,@,Drake,6,
101,102,3,"Oct 2, 1954",Sat,Alabama,28,,Vanderbilt,14,"Mobile, AL"
102,103,3,"Oct 2, 1954",Sat,Arizona State,34,,Texas-El Paso,27,
103,104,3,"Oct 2, 1954",Sat,Arkansas,20,@,Texas Christian,13,
104,105,3,"Oct 2, 1954",Sat,Army,26,@,Michigan,7,
105,106,3,"Oct 2, 1954",Sat,Boston College,12,@,Temple,9,
106,107,3,"Oct 2, 1954",Sat,Boston University,41,@,Connecticut,13,
107,108,3,"Oct 2, 1954",Sat,Cincinnati,40,,Tulsa,7,
108,109,3,"Oct 2, 1954",Sat,Colgate,18,@,Holy Cross,0,
109,110,3,"Oct 2, 1954",Sat,Colorado,27,@,Kansas,0,
110,111,3,"Oct 2, 1954",Sat,Colorado State,14,,Brigham Young,13,
111,112,3,"Oct 2, 1954",Sat,Davidson,13,@,Citadel,0,
112,113,3,"Oct 2, 1954",Sat,Duke,7,,Tennessee,6,
113,114,3,"Oct 2, 1954",Sat,Florida,19,,Auburn,13,
114,115,3,"Oct 2, 1954",Sat,Florida State,47,@,Louisville,6,
115,116,3,"Oct 2, 1954",Sat,Fordham,13,@,Rutgers,7,
