,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 27, 1988",Sat,Nebraska,23,,Texas A&M;,14,"Kick-off Classic (East Rutherford, NJ)"
1,2,2,"Sep 1, 1988",Thu,Southern California,34,@,Boston College,7,
2,3,2,"Sep 1, 1988",Thu,Wyoming,24,,Brigham Young,14,
3,4,2,"Sep 3, 1988",Sat,Air Force,29,@,Colorado State,23,
4,5,2,"Sep 3, 1988",Sat,Arizona,24,@,Oregon State,13,
5,6,2,"Sep 3, 1988",Sat,Arkansas,63,,Pacific,14,"Little Rock, AR"
6,7,2,"Sep 3, 1988",Sat,Ball State,13,,Toledo,3,
7,8,2,"Sep 3, 1988",Sat,Baylor,27,,Nevada-Las Vegas,3,
8,9,2,"Sep 3, 1988",Sat,Boise State,29,@,Long Beach State,10,
9,10,2,"Sep 3, 1988",Sat,Clemson,40,,Virginia Tech,7,
10,11,2,"Sep 3, 1988",Sat,Duke,31,@,Northwestern,21,
11,12,2,"Sep 3, 1988",Sat,East Carolina,52,,Tennessee Tech,13,
12,13,2,"Sep 3, 1988",Sat,Eastern Michigan,24,,Miami (OH),17,
13,14,2,"Sep 3, 1988",Sat,Florida,69,,Montana State,0,
14,15,2,"Sep 3, 1988",Sat,Fresno State,68,@,New Mexico,21,
15,16,2,"Sep 3, 1988",Sat,Georgia,28,,Tennessee,17,
16,17,2,"Sep 3, 1988",Sat,Hawaii,27,,Iowa,24,
17,18,2,"Sep 3, 1988",Sat,Kent State,34,,Youngstown State,3,
18,19,2,"Sep 3, 1988",Sat,Kentucky,18,,Central Michigan,7,
19,20,2,"Sep 3, 1988",Sat,Louisiana State,27,,Texas A&M;,0,
20,21,2,"Sep 3, 1988",Sat,Louisiana-Lafayette,24,,Cal State Fullerton,9,
21,22,2,"Sep 3, 1988",Sat,Maryland,27,,Louisville,16,
22,23,2,"Sep 3, 1988",Sat,Miami (FL),31,,Florida State,0,
23,24,2,"Sep 3, 1988",Sat,Mississippi,24,,Memphis,6,"Jackson, MS"
24,25,2,"Sep 3, 1988",Sat,Mississippi State,21,,Louisiana Tech,14,
25,26,2,"Sep 3, 1988",Sat,Navy,27,,James Madison,14,
26,27,2,"Sep 3, 1988",Sat,Nebraska,63,,Utah State,13,
27,28,2,"Sep 3, 1988",Sat,North Carolina State,45,,Western Carolina,6,
28,29,2,"Sep 3, 1988",Sat,North Texas,29,@,Texas Tech,24,
29,30,2,"Sep 3, 1988",Sat,Northern Illinois,7,,Akron,6,
30,31,2,"Sep 3, 1988",Sat,Pittsburgh,59,,Northern Iowa,10,
31,32,2,"Sep 3, 1988",Sat,San Jose State,51,@,New Mexico State,0,
32,33,2,"Sep 3, 1988",Sat,South Carolina,31,,North Carolina,10,
33,34,2,"Sep 3, 1988",Sat,Southern Mississippi,21,,Stephen F. Austin,7,
34,35,2,"Sep 3, 1988",Sat,Syracuse,31,,Temple,21,
35,36,2,"Sep 3, 1988",Sat,Texas-El Paso,37,,Mankato State,3,
36,37,2,"Sep 3, 1988",Sat,Tulane,33,,Chattanooga,19,
37,38,2,"Sep 3, 1988",Sat,Tulsa,35,,Kansas State,9,
