,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 7, 1974",Sat,Appalachian State,16,@,East Tennessee State,7,
1,2,1,"Sep 7, 1974",Sat,Arizona State,30,,Houston,9,
2,3,1,"Sep 7, 1974",Sat,Cal Poly-Pomona,13,@,Fresno State,12,
3,4,1,"Sep 7, 1974",Sat,Dayton,21,@,Drake,7,
4,5,1,"Sep 7, 1974",Sat,Kent State,21,@,Central Michigan,14,
5,6,1,"Sep 7, 1974",Sat,McNeese State,19,,Northern Illinois,16,
6,7,1,"Sep 7, 1974",Sat,Memphis,16,@,Louisville,10,
7,8,1,"Sep 7, 1974",Sat,Miami (OH),39,,Eastern Michigan,0,
8,9,1,"Sep 7, 1974",Sat,Mississippi State,49,,William & Mary,7,"Jackson, MS"
9,10,1,"Sep 7, 1974",Sat,New Mexico State,13,@,Wichita State,12,
10,11,1,"Sep 7, 1974",Sat,North Carolina State,33,@,Wake Forest,15,
11,12,1,"Sep 7, 1974",Sat,Pacific,21,,Sacramento State,0,
12,13,1,"Sep 7, 1974",Sat,Richmond,14,,Villanova,13,
13,14,1,"Sep 7, 1974",Sat,San Jose State,47,,Santa Clara,10,
14,15,1,"Sep 7, 1974",Sat,Syracuse,23,,Oregon State,15,
15,16,1,"Sep 7, 1974",Sat,Tampa,28,@,Chattanooga,0,
16,17,1,"Sep 7, 1974",Sat,UCLA,17,,Tennessee,17,
17,18,1,"Sep 7, 1974",Sat,Western Michigan,33,,Texas-Arlington,6,
18,19,1,"Sep 9, 1974",Mon,Notre Dame,31,@,Georgia Tech,7,
19,20,2,"Sep 14, 1974",Sat,Air Force,37,,Idaho,0,
20,21,2,"Sep 14, 1974",Sat,Alabama,21,@,Maryland,16,
21,22,2,"Sep 14, 1974",Sat,Appalachian State,18,,Middle Tennessee State,7,
22,23,2,"Sep 14, 1974",Sat,Arizona,17,,San Diego State,10,
23,24,2,"Sep 14, 1974",Sat,Arkansas,22,,Southern California,7,"Little Rock, AR"
24,25,2,"Sep 14, 1974",Sat,Army,14,,Lafayette,7,
25,26,2,"Sep 14, 1974",Sat,Auburn,16,,Louisville,3,"Birmingham, AL"
26,27,2,"Sep 14, 1974",Sat,Citadel,6,,Presbyterian,0,
27,28,2,"Sep 14, 1974",Sat,Dayton,23,@,Eastern Kentucky,17,
28,29,2,"Sep 14, 1974",Sat,East Carolina,24,,Bowling Green State,6,
29,30,2,"Sep 14, 1974",Sat,Eastern Michigan,20,,Western Michigan,19,
30,31,2,"Sep 14, 1974",Sat,Florida,21,,California,17,
31,32,2,"Sep 14, 1974",Sat,Georgia,48,,Oregon State,35,
32,33,2,"Sep 14, 1974",Sat,Georgia Tech,35,,South Carolina,20,
33,34,2,"Sep 14, 1974",Sat,Hawaii,15,,Brigham Young,13,
34,35,2,"Sep 14, 1974",Sat,Houston,21,@,Rice,0,
35,36,2,"Sep 14, 1974",Sat,Illinois,16,,Indiana,0,
36,37,2,"Sep 14, 1974",Sat,Kansas,14,@,Washington State,7,"Spokane, WA"
37,38,2,"Sep 14, 1974",Sat,Kansas State,31,,Tulsa,14,
38,39,2,"Sep 14, 1974",Sat,Kent State,20,@,Syracuse,14,
39,40,2,"Sep 14, 1974",Sat,Kentucky,38,@,Virginia Tech,7,
40,41,2,"Sep 14, 1974",Sat,Louisiana State,42,,Colorado,14,
41,42,2,"Sep 14, 1974",Sat,Michigan,24,,Iowa,7,
42,43,2,"Sep 14, 1974",Sat,Michigan State,41,,Northwestern,7,
43,44,2,"Sep 14, 1974",Sat,Mississippi,10,,Missouri,0,"Jackson, MS"
44,45,2,"Sep 14, 1974",Sat,Morehead State,14,,Marshall,12,
45,46,2,"Sep 14, 1974",Sat,Navy,35,,Virginia,28,
46,47,2,"Sep 14, 1974",Sat,Nebraska,61,,Oregon,7,
47,48,2,"Sep 14, 1974",Sat,New Mexico,32,,Colorado State,23,
48,49,2,"Sep 14, 1974",Sat,New Mexico State,28,,Southern Illinois,9,
49,50,2,"Sep 14, 1974",Sat,North Carolina,42,,Ohio,7,
50,51,2,"Sep 14, 1974",Sat,North Carolina State,35,,Duke,21,
51,52,2,"Sep 14, 1974",Sat,Northern Illinois,16,,Long Beach State,14,
52,53,2,"Sep 14, 1974",Sat,Ohio State,34,@,Minnesota,19,
53,54,2,"Sep 14, 1974",Sat,Oklahoma,28,,Baylor,11,
54,55,2,"Sep 14, 1974",Sat,Oklahoma State,59,,Wichita State,0,
55,56,2,"Sep 14, 1974",Sat,Pacific,17,@,Texas-El Paso,14,
56,57,2,"Sep 14, 1974",Sat,Penn State,24,,Stanford,20,
57,58,2,"Sep 14, 1974",Sat,Pittsburgh,9,@,Florida State,6,
58,59,2,"Sep 14, 1974",Sat,Richmond,29,@,West Virginia,25,
59,60,2,"Sep 14, 1974",Sat,San Jose State,28,,Fresno State,7,
60,61,2,"Sep 14, 1974",Sat,Southern Methodist,7,,North Texas,6,"Irving, TX"
61,62,2,"Sep 14, 1974",Sat,Southern Mississippi,6,@,Memphis,0,
62,63,2,"Sep 14, 1974",Sat,Tampa,47,,Toledo,13,
63,64,2,"Sep 14, 1974",Sat,Temple,38,,Rhode Island,7,
64,65,2,"Sep 14, 1974",Sat,Texas,42,@,Boston College,19,
65,66,2,"Sep 14, 1974",Sat,Texas A&M;,24,,Clemson,0,
66,67,2,"Sep 14, 1974",Sat,Texas Christian,12,,Texas-Arlington,3,
67,68,2,"Sep 14, 1974",Sat,Texas Tech,24,,Iowa State,3,
68,69,2,"Sep 14, 1974",Sat,Tulane,17,,Louisiana-Lafayette,16,
69,70,2,"Sep 14, 1974",Sat,Utah State,17,@,Wyoming,7,
70,71,2,"Sep 14, 1974",Sat,Vanderbilt,28,,Chattanooga,6,
71,72,2,"Sep 14, 1974",Sat,Villanova,17,,Massachusetts,13,
72,73,2,"Sep 14, 1974",Sat,Virginia Military Institute,7,,Furman,0,
73,74,2,"Sep 14, 1974",Sat,Washington,21,,Cincinnati,17,
74,75,2,"Sep 14, 1974",Sat,West Texas A&M;,37,@,Drake,17,
75,76,2,"Sep 14, 1974",Sat,William & Mary,17,@,Wake Forest,6,
76,77,2,"Sep 14, 1974",Sat,Wisconsin,28,@,Purdue,14,
77,78,3,"Sep 21, 1974",Sat,Alabama,52,,Southern Mississippi,0,"Birmingham, AL"
78,79,3,"Sep 21, 1974",Sat,Appalachian State,30,@,Davidson,0,
79,80,3,"Sep 21, 1974",Sat,Arizona,35,@,Indiana,20,
80,81,3,"Sep 21, 1974",Sat,Arizona State,37,,Texas Christian,7,
81,82,3,"Sep 21, 1974",Sat,Auburn,52,,Chattanooga,0,
82,83,3,"Sep 21, 1974",Sat,Bowling Green State,41,,Dayton,21,
83,84,3,"Sep 21, 1974",Sat,California,17,,San Jose State,16,
84,85,3,"Sep 21, 1974",Sat,Cincinnati,28,@,Rice,21,
85,86,3,"Sep 21, 1974",Sat,Colorado State,14,@,Florida State,7,
86,87,3,"Sep 21, 1974",Sat,Delaware,48,,Citadel,12,
87,88,3,"Sep 21, 1974",Sat,Duke,20,@,South Carolina,14,
88,89,3,"Sep 21, 1974",Sat,East Carolina,24,,East Tennessee State,8,
89,90,3,"Sep 21, 1974",Sat,Florida,17,,Maryland,10,"Tampa, FL"
90,91,3,"Sep 21, 1974",Sat,Furman,22,,Presbyterian,19,
91,92,3,"Sep 21, 1974",Sat,Hawaii,35,,Humboldt State,9,
92,93,3,"Sep 21, 1974",Sat,Holy Cross,45,,Brown,10,
93,94,3,"Sep 21, 1974",Sat,Illinois,41,@,Stanford,7,
94,95,3,"Sep 21, 1974",Sat,Indiana State,10,,Southern Illinois,8,
95,96,3,"Sep 21, 1974",Sat,Iowa,21,,UCLA,10,
96,97,3,"Sep 21, 1974",Sat,Kansas State,17,,Wichita State,0,
97,98,3,"Sep 21, 1974",Sat,Lamar,18,,Drake,6,
98,99,3,"Sep 21, 1974",Sat,Lehigh,33,@,Colgate,12,
99,100,3,"Sep 21, 1974",Sat,Louisiana Tech,42,@,Texas-Arlington,15,
100,101,3,"Sep 21, 1974",Sat,Marshall,17,,Akron,7,
101,102,3,"Sep 21, 1974",Sat,McNeese State,38,,Louisiana-Lafayette,0,
102,103,3,"Sep 21, 1974",Sat,Memphis,15,,Mississippi,7,
103,104,3,"Sep 21, 1974",Sat,Miami (FL),20,@,Houston,3,
104,105,3,"Sep 21, 1974",Sat,Miami (OH),7,,Purdue,7,
105,106,3,"Sep 21, 1974",Sat,Michigan,31,,Colorado,0,
106,107,3,"Sep 21, 1974",Sat,Michigan State,19,,Syracuse,0,
107,108,3,"Sep 21, 1974",Sat,Minnesota,42,,North Dakota,30,
108,109,3,"Sep 21, 1974",Sat,Mississippi State,38,,Georgia,14,"Jackson, MS"
109,110,3,"Sep 21, 1974",Sat,Missouri,28,,Baylor,21,
110,111,3,"Sep 21, 1974",Sat,Montana State,14,@,Fresno State,7,
111,112,3,"Sep 21, 1974",Sat,Navy,7,@,Penn State,6,
112,113,3,"Sep 21, 1974",Sat,New Mexico State,41,@,West Texas A&M;,0,
113,114,3,"Sep 21, 1974",Sat,North Carolina,31,@,Wake Forest,0,
114,115,3,"Sep 21, 1974",Sat,North Carolina State,31,,Clemson,10,
115,116,3,"Sep 21, 1974",Sat,Notre Dame,49,@,Northwestern,3,
116,117,3,"Sep 21, 1974",Sat,Ohio,20,@,Kent State,0,
117,118,3,"Sep 21, 1974",Sat,Ohio State,51,,Oregon State,10,
118,119,3,"Sep 21, 1974",Sat,Oklahoma State,26,@,Arkansas,7,"Little Rock, AR"
119,120,3,"Sep 21, 1974",Sat,Oregon,27,,Air Force,23,
120,121,3,"Sep 21, 1974",Sat,Pacific,38,,Long Beach State,6,
121,122,3,"Sep 21, 1974",Sat,Pittsburgh,27,@,Georgia Tech,17,
122,123,3,"Sep 21, 1974",Sat,Rutgers,16,@,Bucknell,14,
123,124,3,"Sep 21, 1974",Sat,San Diego State,28,,Tampa,25,
124,125,3,"Sep 21, 1974",Sat,Southern Methodist,28,,Virginia Tech,25,
125,126,3,"Sep 21, 1974",Sat,Tennessee,17,,Kansas,3,
126,127,3,"Sep 21, 1974",Sat,Texas,34,,Wyoming,7,
127,128,3,"Sep 21, 1974",Sat,Texas A&M;,21,@,Louisiana State,14,
128,129,3,"Sep 21, 1974",Sat,Texas Tech,21,,New Mexico,21,
129,130,3,"Sep 21, 1974",Sat,Texas-El Paso,34,,Utah,7,
130,131,3,"Sep 21, 1974",Sat,Tulane,31,@,Army,14,
131,132,3,"Sep 21, 1974",Sat,Tulsa,31,,North Texas,6,
132,133,3,"Sep 21, 1974",Sat,Utah State,9,@,Brigham Young,6,
133,134,3,"Sep 21, 1974",Sat,Vanderbilt,45,,Virginia Military Institute,7,
134,135,3,"Sep 21, 1974",Sat,Villanova,7,@,Toledo,0,
135,136,3,"Sep 21, 1974",Sat,Virginia,38,,William & Mary,28,
136,137,3,"Sep 21, 1974",Sat,Washington,31,,Iowa State,28,
137,138,3,"Sep 21, 1974",Sat,Washington State,17,,Idaho,10,
138,139,3,"Sep 21, 1974",Sat,West Virginia,16,,Kentucky,3,
139,140,3,"Sep 21, 1974",Sat,Western Michigan,30,@,Northern Illinois,13,
140,141,3,"Sep 21, 1974",Sat,Wisconsin,21,,Nebraska,20,
141,142,4,"Sep 27, 1974",Fri,Pennsylvania,28,,Lehigh,18,
142,143,4,"Sep 28, 1974",Sat,Alabama,23,,Vanderbilt,10,
143,144,4,"Sep 28, 1974",Sat,Arizona,15,@,New Mexico,10,
144,145,4,"Sep 28, 1974",Sat,Arkansas,60,,Tulsa,0,
145,146,4,"Sep 28, 1974",Sat,Auburn,21,,Tennessee,0,
146,147,4,"Sep 28, 1974",Sat,Baylor,31,,Oklahoma State,14,
147,148,4,"Sep 28, 1974",Sat,Bowling Green State,21,@,Western Michigan,13,
148,149,4,"Sep 28, 1974",Sat,Brown,45,,Rhode Island,15,
149,150,4,"Sep 28, 1974",Sat,Cal Poly,17,@,Fresno State,13,
150,151,4,"Sep 28, 1974",Sat,California,27,,Army,14,
151,152,4,"Sep 28, 1974",Sat,Central Michigan,42,,Dayton,8,
152,153,4,"Sep 28, 1974",Sat,Cincinnati,7,,Louisville,6,
153,154,4,"Sep 28, 1974",Sat,Clemson,21,,Georgia Tech,17,
154,155,4,"Sep 28, 1974",Sat,Colorado,24,,Wisconsin,21,
155,156,4,"Sep 28, 1974",Sat,Cornell,40,,Colgate,21,
156,157,4,"Sep 28, 1974",Sat,Duke,27,,Virginia,7,
157,158,4,"Sep 28, 1974",Sat,East Carolina,17,,Southern Illinois,16,
158,159,4,"Sep 28, 1974",Sat,Florida,29,,Mississippi State,13,
159,160,4,"Sep 28, 1974",Sat,Furman,10,,William & Mary,0,
160,161,4,"Sep 28, 1974",Sat,Georgia,52,,South Carolina,14,
161,162,4,"Sep 28, 1974",Sat,Harvard,24,,Holy Cross,14,
162,163,4,"Sep 28, 1974",Sat,Houston,49,@,Virginia Tech,12,
163,164,4,"Sep 28, 1974",Sat,Illinois,21,,Washington State,19,
164,165,4,"Sep 28, 1974",Sat,Indiana State,23,@,Northern Illinois,14,
165,166,4,"Sep 28, 1974",Sat,Iowa State,34,,Brigham Young,7,
166,167,4,"Sep 28, 1974",Sat,Kansas,40,,Florida State,9,
167,168,4,"Sep 28, 1974",Sat,Kansas State,38,,Pacific,7,
168,169,4,"Sep 28, 1974",Sat,Kent State,13,@,Eastern Michigan,0,
169,170,4,"Sep 28, 1974",Sat,Kentucky,28,,Indiana,22,
170,171,4,"Sep 28, 1974",Sat,Lafayette,15,@,Columbia,0,
171,172,4,"Sep 28, 1974",Sat,Lamar,27,@,North Texas,7,
172,173,4,"Sep 28, 1974",Sat,Long Beach State,20,,Drake,13,
173,174,4,"Sep 28, 1974",Sat,Louisiana State,10,,Rice,10,
174,175,4,"Sep 28, 1974",Sat,Louisiana Tech,20,@,Arkansas State,7,
175,176,4,"Sep 28, 1974",Sat,Maryland,24,,North Carolina,12,
176,177,4,"Sep 28, 1974",Sat,Massachusetts,14,@,Dartmouth,0,
177,178,4,"Sep 28, 1974",Sat,Memphis,20,@,Colorado State,18,
178,179,4,"Sep 28, 1974",Sat,Miami (FL),28,@,Tampa,26,
179,180,4,"Sep 28, 1974",Sat,Miami (OH),42,@,Marshall,0,
180,181,4,"Sep 28, 1974",Sat,Michigan,52,,Navy,0,
181,182,4,"Sep 28, 1974",Sat,Minnesota,9,,Texas Christian,7,
182,183,4,"Sep 28, 1974",Sat,Mississippi,20,,Southern Mississippi,14,
183,184,4,"Sep 28, 1974",Sat,Missouri,9,,Arizona State,0,
184,185,4,"Sep 28, 1974",Sat,Nebraska,49,,Northwestern,7,
185,186,4,"Sep 28, 1974",Sat,New Mexico State,42,,Texas-Arlington,14,
186,187,4,"Sep 28, 1974",Sat,North Carolina State,28,@,Syracuse,22,
187,188,4,"Sep 28, 1974",Sat,Ohio State,28,,Southern Methodist,9,
188,189,4,"Sep 28, 1974",Sat,Oklahoma,72,,Utah State,3,
189,190,4,"Sep 28, 1974",Sat,Oregon,23,@,Utah,16,
190,191,4,"Sep 28, 1974",Sat,Penn State,27,@,Iowa,0,
191,192,4,"Sep 28, 1974",Sat,Purdue,31,@,Notre Dame,20,
192,193,4,"Sep 28, 1974",Sat,Richmond,27,@,Citadel,24,
193,194,4,"Sep 28, 1974",Sat,Rutgers,6,,Princeton,6,
194,195,4,"Sep 28, 1974",Sat,San Diego State,26,@,Texas-El Paso,12,
195,196,4,"Sep 28, 1974",Sat,San Jose State,21,,Stanford,21,
196,197,4,"Sep 28, 1974",Sat,Southern California,16,@,Pittsburgh,7,
197,198,4,"Sep 28, 1974",Sat,Temple,34,,Boston College,7,
198,199,4,"Sep 28, 1974",Sat,Texas A&M;,28,@,Washington,15,
199,200,4,"Sep 28, 1974",Sat,Texas Tech,26,,Texas,3,
200,201,4,"Sep 28, 1974",Sat,Toledo,19,@,Ohio,16,
201,202,4,"Sep 28, 1974",Sat,Tulane,17,,West Virginia,14,
202,203,4,"Sep 28, 1974",Sat,UCLA,56,,Michigan State,14,
203,204,4,"Sep 28, 1974",Sat,Villanova,15,,Idaho,7,
204,205,4,"Sep 28, 1974",Sat,Virginia Military Institute,43,@,Davidson,7,
205,206,4,"Sep 28, 1974",Sat,West Texas A&M;,41,,Wichita State,7,
206,207,4,"Sep 28, 1974",Sat,Western Carolina,21,@,Appalachian State,17,
207,208,4,"Sep 28, 1974",Sat,Wyoming,20,,Air Force,16,
208,209,4,"Sep 28, 1974",Sat,Yale,20,,Connecticut,7,
209,210,5,"Oct 4, 1974",Fri,Auburn,3,@,Miami (FL),0,
210,211,5,"Oct 5, 1974",Sat,Alabama,35,@,Mississippi,21,"Jackson, MS"
211,212,5,"Oct 5, 1974",Sat,Arizona,42,,Texas-El Paso,13,
212,213,5,"Oct 5, 1974",Sat,Arizona State,16,@,Wyoming,10,
213,214,5,"Oct 5, 1974",Sat,Arkansas,49,@,Texas Christian,0,
214,215,5,"Oct 5, 1974",Sat,Arkansas State,14,,Eastern Michigan,7,
215,216,5,"Oct 5, 1974",Sat,Baylor,21,@,Florida State,17,
216,217,5,"Oct 5, 1974",Sat,Boston College,37,@,Navy,0,
217,218,5,"Oct 5, 1974",Sat,Brigham Young,33,,Colorado State,33,
218,219,5,"Oct 5, 1974",Sat,California,31,@,Illinois,14,
219,220,5,"Oct 5, 1974",Sat,Chattanooga,24,@,Middle Tennessee State,7,
220,221,5,"Oct 5, 1974",Sat,Clemson,28,,Georgia,24,
221,222,5,"Oct 5, 1974",Sat,Colorado,28,@,Air Force,27,
222,223,5,"Oct 5, 1974",Sat,Cornell,24,,Bucknell,0,
223,224,5,"Oct 5, 1974",Sat,Duke,16,,Purdue,14,
224,225,5,"Oct 5, 1974",Sat,Florida,24,,Louisiana State,14,
225,226,5,"Oct 5, 1974",Sat,Fresno State,9,@,New Mexico State,7,
226,227,5,"Oct 5, 1974",Sat,Furman,24,@,Richmond,14,
227,228,5,"Oct 5, 1974",Sat,Georgia Tech,28,,Virginia,24,
228,229,5,"Oct 5, 1974",Sat,Hawaii,23,@,Pacific,14,
229,230,5,"Oct 5, 1974",Sat,Holy Cross,14,,Dartmouth,3,
230,231,5,"Oct 5, 1974",Sat,Houston,24,@,South Carolina,14,
231,232,5,"Oct 5, 1974",Sat,Idaho,28,@,Idaho State,9,
232,233,5,"Oct 5, 1974",Sat,Iowa State,27,,New Mexico,3,
233,234,5,"Oct 5, 1974",Sat,Kansas,28,,Texas A&M;,10,
234,235,5,"Oct 5, 1974",Sat,Kent State,28,,Western Michigan,6,
235,236,5,"Oct 5, 1974",Sat,Lamar,38,@,Louisiana-Lafayette,13,
236,237,5,"Oct 5, 1974",Sat,Louisville,14,@,Wichita State,7,
237,238,5,"Oct 5, 1974",Sat,Maryland,31,@,Syracuse,0,
238,239,5,"Oct 5, 1974",Sat,Miami (OH),14,@,Kentucky,10,
239,240,5,"Oct 5, 1974",Sat,Michigan,27,@,Stanford,16,
240,241,5,"Oct 5, 1974",Sat,Mississippi State,21,,Kansas State,16,
241,242,5,"Oct 5, 1974",Sat,Nebraska,54,,Minnesota,0,
242,243,5,"Oct 5, 1974",Sat,North Carolina,45,,Pittsburgh,29,
243,244,5,"Oct 5, 1974",Sat,North Carolina State,24,,East Carolina,20,
244,245,5,"Oct 5, 1974",Sat,North Texas,24,,Drake,24,
245,246,5,"Oct 5, 1974",Sat,Northwestern,14,,Oregon,10,
