,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 31, 1989",Thu,Notre Dame,36,,Virginia,13,"Kick-off Classic (East Rutherford, NJ)"
1,2,1,"Sep 2, 1989",Sat,Air Force,52,,San Diego State,36,
2,3,1,"Sep 2, 1989",Sat,Arizona,19,,Stanford,3,
3,4,1,"Sep 2, 1989",Sat,Brigham Young,24,@,New Mexico,3,
4,5,1,"Sep 2, 1989",Sat,Clemson,30,,Furman,0,
5,6,1,"Sep 2, 1989",Sat,Eastern Michigan,30,,Kent State,7,
6,7,1,"Sep 2, 1989",Sat,Fresno State,52,,Utah,22,
7,8,1,"Sep 2, 1989",Sat,Hawaii,31,,Tulane,26,
8,9,1,"Sep 2, 1989",Sat,Houston,69,@,Nevada-Las Vegas,0,
9,10,1,"Sep 2, 1989",Sat,Kansas,41,,Montana State,17,
10,11,1,"Sep 2, 1989",Sat,Long Beach State,28,,Cal State Northridge,9,
11,12,1,"Sep 2, 1989",Sat,Louisiana Tech,40,@,Louisiana-Lafayette,14,
12,13,1,"Sep 2, 1989",Sat,Louisville,28,@,Wyoming,21,
13,14,1,"Sep 2, 1989",Sat,Mississippi,20,@,Memphis,13,
14,15,1,"Sep 2, 1989",Sat,Mississippi State,42,,Vanderbilt,7,
15,16,1,"Sep 2, 1989",Sat,North Carolina State,10,,Maryland,6,
16,17,1,"Sep 2, 1989",Sat,Northern Illinois,26,,Cal State Fullerton,17,
17,18,1,"Sep 2, 1989",Sat,Oklahoma,73,,New Mexico State,3,
18,19,1,"Sep 2, 1989",Sat,Pittsburgh,38,,Pacific,3,
19,20,1,"Sep 2, 1989",Sat,Rice,35,@,Southern Methodist,6,
20,21,1,"Sep 2, 1989",Sat,Rutgers,17,,Cincinnati,17,
21,22,1,"Sep 2, 1989",Sat,South Carolina,27,,Duke,21,
22,23,1,"Sep 2, 1989",Sat,Southern Mississippi,30,,Florida State,26,"Jacksonville, FL"
23,24,1,"Sep 2, 1989",Sat,Tennessee,17,,Colorado State,14,
