,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 26, 1990",Sun,Tennessee,31,,Colorado,31,"Pigskin Classic (Anaheim, CA)"
1,2,2,"Aug 31, 1990",Fri,Southern California,34,,Syracuse,16,"Kick-off Classic (East Rutherford, NJ)"
2,3,2,"Sep 1, 1990",Sat,Akron,17,,Illinois State,7,
3,4,2,"Sep 1, 1990",Sat,Arkansas State,24,,Memphis,24,
4,5,2,"Sep 1, 1990",Sat,Brigham Young,30,@,Texas-El Paso,10,
5,6,2,"Sep 1, 1990",Sat,Cal State Fullerton,38,,Sonoma State,24,
6,7,2,"Sep 1, 1990",Sat,Clemson,59,,Long Beach State,0,
7,8,2,"Sep 1, 1990",Sat,Colorado State,35,@,Air Force,33,
8,9,2,"Sep 1, 1990",Sat,East Carolina,27,,Louisiana Tech,17,
9,10,2,"Sep 1, 1990",Sat,Fresno State,41,,Eastern Michigan,10,
10,11,2,"Sep 1, 1990",Sat,Kentucky,20,,Central Michigan,17,
11,12,2,"Sep 1, 1990",Sat,Louisiana-Lafayette,48,@,Tulane,6,
12,13,2,"Sep 1, 1990",Sat,Louisville,10,,San Jose State,10,
13,14,2,"Sep 1, 1990",Sat,Maryland,20,,Virginia Tech,13,
14,15,2,"Sep 1, 1990",Sat,Missouri State,31,@,Nevada-Las Vegas,24,
15,16,2,"Sep 1, 1990",Sat,Montana,22,@,Oregon State,15,
16,17,2,"Sep 1, 1990",Sat,Nebraska,13,,Baylor,0,
17,18,2,"Sep 1, 1990",Sat,New Mexico,29,@,New Mexico State,12,
18,19,2,"Sep 1, 1990",Sat,North Carolina,34,,Miami (OH),0,
19,20,2,"Sep 1, 1990",Sat,North Carolina State,67,,Western Carolina,0,
20,21,2,"Sep 1, 1990",Sat,Northern Illinois,28,,Eastern Illinois,17,
21,22,2,"Sep 1, 1990",Sat,Oklahoma State,10,,Tulsa,3,
22,23,2,"Sep 1, 1990",Sat,Pittsburgh,35,,Ohio,3,
23,24,2,"Sep 1, 1990",Sat,Rice,33,,Wake Forest,17,
24,25,2,"Sep 1, 1990",Sat,South Carolina,21,,Duke,10,
25,26,2,"Sep 1, 1990",Sat,Southern Mississippi,12,,Delta State,0,
26,27,2,"Sep 1, 1990",Sat,Tennessee,55,,Pacific,7,
27,28,2,"Sep 1, 1990",Sat,Texas A&M;,28,@,Hawaii,13,
28,29,2,"Sep 1, 1990",Sat,Utah,19,@,Utah State,0,
29,30,2,"Sep 1, 1990",Sat,Virginia,59,@,Kansas,10,
30,31,2,"Sep 1, 1990",Sat,Washington State,21,@,Texas Christian,3,
31,32,2,"Sep 1, 1990",Sat,West Virginia,35,,Kent State,24,
32,33,2,"Sep 1, 1990",Sat,Wyoming,38,,Temple,23,
33,34,2,"Sep 2, 1990",Sun,Bowling Green State,34,@,Cincinnati,20,"Cincinnati, OH"
34,35,3,"Sep 6, 1990",Thu,Colorado,21,,Stanford,17,
35,36,3,"Sep 8, 1990",Sat,Air Force,27,,Hawaii,3,
36,37,3,"Sep 8, 1990",Sat,Akron,38,@,Kent State,10,
37,38,3,"Sep 8, 1990",Sat,Arizona,28,,Illinois,16,
38,39,3,"Sep 8, 1990",Sat,Arizona State,34,,Baylor,13,
39,40,3,"Sep 8, 1990",Sat,Arkansas State,23,,Louisiana-Monroe,18,
40,41,3,"Sep 8, 1990",Sat,Auburn,38,,Cal State Fullerton,17,
41,42,3,"Sep 8, 1990",Sat,Ball State,13,@,Illinois State,3,
42,43,3,"Sep 8, 1990",Sat,Brigham Young,28,,Miami (FL),21,
43,44,3,"Sep 8, 1990",Sat,California,28,@,Wisconsin,12,
44,45,3,"Sep 8, 1990",Sat,Central Michigan,34,,Cincinnati,0,
45,46,3,"Sep 8, 1990",Sat,Colorado State,41,,Montana State,5,
46,47,3,"Sep 8, 1990",Sat,Duke,27,@,Northwestern,24,
47,48,3,"Sep 8, 1990",Sat,Eastern Michigan,27,,Western Michigan,24,
48,49,3,"Sep 8, 1990",Sat,Florida,50,,Oklahoma State,7,
49,50,3,"Sep 8, 1990",Sat,Florida State,45,,East Carolina,24,
50,51,3,"Sep 8, 1990",Sat,Fresno State,24,,New Mexico,17,
51,52,3,"Sep 8, 1990",Sat,Georgia Tech,21,,North Carolina State,13,
52,53,3,"Sep 8, 1990",Sat,Houston,37,,Nevada-Las Vegas,9,
53,54,3,"Sep 8, 1990",Sat,Iowa State,35,,Northern Iowa,6,
54,55,3,"Sep 8, 1990",Sat,Kansas,38,,Oregon State,12,
55,56,3,"Sep 8, 1990",Sat,Kansas State,27,,Western Illinois,6,
56,57,3,"Sep 8, 1990",Sat,Louisiana State,18,,Georgia,13,
57,58,3,"Sep 8, 1990",Sat,Louisiana Tech,51,@,McNeese State,3,
58,59,3,"Sep 8, 1990",Sat,Louisiana-Lafayette,24,,Nicholls State,21,
59,60,3,"Sep 8, 1990",Sat,Louisville,68,,Murray State,0,
60,61,3,"Sep 8, 1990",Sat,Maryland,14,@,West Virginia,10,
61,62,3,"Sep 8, 1990",Sat,Mississippi,23,,Memphis,21,
62,63,3,"Sep 8, 1990",Sat,Navy,28,,Richmond,17,
63,64,3,"Sep 8, 1990",Sat,Nebraska,60,,Northern Illinois,14,
64,65,3,"Sep 8, 1990",Sat,Ohio State,17,,Texas Tech,10,
65,66,3,"Sep 8, 1990",Sat,Oklahoma,34,@,UCLA,14,
66,67,3,"Sep 8, 1990",Sat,Oregon,42,,San Diego State,21,
67,68,3,"Sep 8, 1990",Sat,Pacific,41,,Sacramento State,33,
68,69,3,"Sep 8, 1990",Sat,Pittsburgh,29,,Boston College,6,
69,70,3,"Sep 8, 1990",Sat,Rutgers,24,,Kentucky,8,"East Rutherford, NJ"
70,71,3,"Sep 8, 1990",Sat,South Carolina,27,,North Carolina,5,
71,72,3,"Sep 8, 1990",Sat,Southern Methodist,44,,Vanderbilt,7,
72,73,3,"Sep 8, 1990",Sat,Southern Mississippi,27,@,Alabama,24,"Birmingham, AL"
73,74,3,"Sep 8, 1990",Sat,Syracuse,19,,Temple,9,
74,75,3,"Sep 8, 1990",Sat,Tennessee,40,@,Mississippi State,7,
75,76,3,"Sep 8, 1990",Sat,Texas,17,@,Penn State,13,
76,77,3,"Sep 8, 1990",Sat,Texas Christian,20,@,Missouri,19,
77,78,3,"Sep 8, 1990",Sat,Texas-El Paso,27,,New Mexico State,24,
78,79,3,"Sep 8, 1990",Sat,Toledo,20,@,Miami (OH),14,
79,80,3,"Sep 8, 1990",Sat,Tulane,21,@,Rice,10,
80,81,3,"Sep 8, 1990",Sat,Tulsa,41,,Missouri State,28,
81,82,3,"Sep 8, 1990",Sat,Utah,35,@,Minnesota,29,
82,83,3,"Sep 8, 1990",Sat,Utah State,27,,Long Beach State,13,
83,84,3,"Sep 8, 1990",Sat,Virginia,20,,Clemson,7,
84,85,3,"Sep 8, 1990",Sat,Virginia Tech,21,,Bowling Green State,7,
85,86,3,"Sep 8, 1990",Sat,Wake Forest,23,,Appalachian State,12,
86,87,3,"Sep 8, 1990",Sat,Washington,20,,San Jose State,17,
87,88,3,"Sep 8, 1990",Sat,Wyoming,34,@,Washington State,13,
88,89,4,"Sep 13, 1990",Thu,Houston,51,@,Texas Tech,35,
89,90,4,"Sep 15, 1990",Sat,Air Force,10,,Citadel,7,
90,91,4,"Sep 15, 1990",Sat,Arizona,25,@,New Mexico,10,
91,92,4,"Sep 15, 1990",Sat,Arizona State,31,,Colorado State,20,
92,93,4,"Sep 15, 1990",Sat,Arkansas,28,,Tulsa,3,
93,94,4,"Sep 15, 1990",Sat,Army,24,,Holy Cross,7,
94,95,4,"Sep 15, 1990",Sat,Auburn,24,@,Mississippi,10,"Jackson, MS"
95,96,4,"Sep 15, 1990",Sat,Brigham Young,50,,Washington State,36,
96,97,4,"Sep 15, 1990",Sat,Central Michigan,14,,Akron,14,
97,98,4,"Sep 15, 1990",Sat,Clemson,18,@,Maryland,17,"Baltimore, MD"
98,99,4,"Sep 15, 1990",Sat,Eastern Michigan,21,,Ohio,18,
99,100,4,"Sep 15, 1990",Sat,Florida,17,@,Alabama,13,
100,101,4,"Sep 15, 1990",Sat,Florida State,48,,Georgia Southern,6,
101,102,4,"Sep 15, 1990",Sat,Fresno State,31,@,Utah,7,
102,103,4,"Sep 15, 1990",Sat,Georgia,18,,Southern Mississippi,17,
103,104,4,"Sep 15, 1990",Sat,Illinois,23,,Colorado,22,
104,105,4,"Sep 15, 1990",Sat,Indiana,45,@,Kentucky,24,
105,106,4,"Sep 15, 1990",Sat,Iowa,63,,Cincinnati,10,
106,107,4,"Sep 15, 1990",Sat,Kansas State,52,,New Mexico State,7,
107,108,4,"Sep 15, 1990",Sat,Louisiana State,35,,Miami (OH),7,
108,109,4,"Sep 15, 1990",Sat,Louisville,28,,Kansas,16,
109,110,4,"Sep 15, 1990",Sat,Miami (FL),52,@,California,24,
110,111,4,"Sep 15, 1990",Sat,Michigan State,23,,Syracuse,23,
111,112,4,"Sep 15, 1990",Sat,Minnesota,20,,Iowa State,16,
112,113,4,"Sep 15, 1990",Sat,Mississippi State,27,,Cal State Fullerton,13,
113,114,4,"Sep 15, 1990",Sat,Missouri,45,,Utah State,10,
114,115,4,"Sep 15, 1990",Sat,Nevada-Las Vegas,45,@,Oregon State,20,
115,116,4,"Sep 15, 1990",Sat,North Carolina,48,,Connecticut,21,
116,117,4,"Sep 15, 1990",Sat,North Carolina State,20,,Wake Forest,15,
117,118,4,"Sep 15, 1990",Sat,Notre Dame,28,,Michigan,24,
118,119,4,"Sep 15, 1990",Sat,Ohio State,31,@,Boston College,10,
119,120,4,"Sep 15, 1990",Sat,Oklahoma,52,,Pittsburgh,10,
120,121,4,"Sep 15, 1990",Sat,Oklahoma State,33,,Northern Iowa,23,
121,122,4,"Sep 15, 1990",Sat,Oregon,55,,Idaho,23,
122,123,4,"Sep 15, 1990",Sat,Rutgers,28,,Colgate,17,
123,124,4,"Sep 15, 1990",Sat,San Diego State,38,,Long Beach State,20,
124,125,4,"Sep 15, 1990",Sat,San Jose State,28,@,Pacific,14,
125,126,4,"Sep 15, 1990",Sat,Southern California,19,,Penn State,14,
126,127,4,"Sep 15, 1990",Sat,Temple,28,,Austin Peay,0,
127,128,4,"Sep 15, 1990",Sat,Tennessee,56,,Texas-El Paso,0,
128,129,4,"Sep 15, 1990",Sat,Texas A&M;,63,,Louisiana-Lafayette,14,
129,130,4,"Sep 15, 1990",Sat,Toledo,23,,Northern Illinois,14,
130,131,4,"Sep 15, 1990",Sat,Tulane,43,,Southern Methodist,7,
131,132,4,"Sep 15, 1990",Sat,UCLA,32,,Stanford,31,
132,133,4,"Sep 15, 1990",Sat,Virginia,56,,Navy,14,
133,134,4,"Sep 15, 1990",Sat,Virginia Tech,24,@,East Carolina,23,
134,135,4,"Sep 15, 1990",Sat,Washington,20,@,Purdue,14,
135,136,4,"Sep 15, 1990",Sat,Western Michigan,27,,Louisiana Tech,21,
136,137,4,"Sep 15, 1990",Sat,Wisconsin,24,,Ball State,7,
137,138,4,"Sep 15, 1990",Sat,Wyoming,34,,Arkansas State,27,
138,139,5,"Sep 22, 1990",Sat,Akron,48,,Cal State Fullerton,17,
139,140,5,"Sep 22, 1990",Sat,Arizona,22,,Oregon,17,
140,141,5,"Sep 22, 1990",Sat,Army,41,,Virginia Military Institute,17,
141,142,5,"Sep 22, 1990",Sat,Baylor,13,,Sam Houston State,9,
142,143,5,"Sep 22, 1990",Sat,Brigham Young,62,,San Diego State,34,
143,144,5,"Sep 22, 1990",Sat,Central Michigan,17,,Bowling Green State,0,
144,145,5,"Sep 22, 1990",Sat,Clemson,48,,Appalachian State,0,
145,146,5,"Sep 22, 1990",Sat,Colorado,29,@,Texas,22,
146,147,5,"Sep 22, 1990",Sat,Colorado State,38,,Texas-El Paso,20,
147,148,5,"Sep 22, 1990",Sat,East Carolina,20,@,Louisiana-Lafayette,10,
148,149,5,"Sep 22, 1990",Sat,Florida,27,,Furman,3,
149,150,5,"Sep 22, 1990",Sat,Florida State,31,@,Tulane,13,
150,151,5,"Sep 22, 1990",Sat,Fresno State,42,,New Mexico State,3,
151,152,5,"Sep 22, 1990",Sat,Georgia,17,,Alabama,16,
152,153,5,"Sep 22, 1990",Sat,Georgia Tech,44,,Chattanooga,9,
153,154,5,"Sep 22, 1990",Sat,Hawaii,19,@,Utah,7,
154,155,5,"Sep 22, 1990",Sat,Illinois,56,,Southern Illinois,21,
155,156,5,"Sep 22, 1990",Sat,Indiana,58,,Missouri,7,
156,157,5,"Sep 22, 1990",Sat,Iowa,45,,Iowa State,35,
157,158,5,"Sep 22, 1990",Sat,Long Beach State,28,,Pacific,7,
158,159,5,"Sep 22, 1990",Sat,Louisiana Tech,40,,Arkansas State,7,
159,160,5,"Sep 22, 1990",Sat,Louisville,9,@,West Virginia,7,
160,161,5,"Sep 22, 1990",Sat,Maryland,13,,North Carolina State,12,
161,162,5,"Sep 22, 1990",Sat,Memphis,37,,Central Florida,28,
162,163,5,"Sep 22, 1990",Sat,Miami (OH),16,@,Cincinnati,12,"Cincinnati, OH"
163,164,5,"Sep 22, 1990",Sat,Michigan,38,,UCLA,15,
164,165,5,"Sep 22, 1990",Sat,Mississippi,21,@,Arkansas,17,"Little Rock, AR"
165,166,5,"Sep 22, 1990",Sat,Mississippi State,13,,Southern Mississippi,10,
166,167,5,"Sep 22, 1990",Sat,Navy,23,,Villanova,21,
167,168,5,"Sep 22, 1990",Sat,Nebraska,56,,Minnesota,0,
168,169,5,"Sep 22, 1990",Sat,North Carolina,16,,Kentucky,13,
169,170,5,"Sep 22, 1990",Sat,Northern Illinois,42,,Kansas State,35,
170,171,5,"Sep 22, 1990",Sat,Notre Dame,20,@,Michigan State,19,
171,172,5,"Sep 22, 1990",Sat,Ohio,42,,Tennessee Tech,32,
172,173,5,"Sep 22, 1990",Sat,Oklahoma,52,,Tulsa,10,
173,174,5,"Sep 22, 1990",Sat,Penn State,28,,Rutgers,0,
174,175,5,"Sep 22, 1990",Sat,Pittsburgh,20,,Syracuse,20,
175,176,5,"Sep 22, 1990",Sat,Purdue,41,,Indiana State,13,
176,177,5,"Sep 22, 1990",Sat,Rice,31,,Northwestern,14,
177,178,5,"Sep 22, 1990",Sat,San Jose State,47,@,Nevada-Las Vegas,13,
178,179,5,"Sep 22, 1990",Sat,South Carolina,35,@,Virginia Tech,24,
179,180,5,"Sep 22, 1990",Sat,Stanford,37,,Oregon State,3,
180,181,5,"Sep 22, 1990",Sat,Temple,24,@,Wisconsin,18,
181,182,5,"Sep 22, 1990",Sat,Texas A&M;,40,,North Texas,8,
182,183,5,"Sep 22, 1990",Sat,Texas Christian,31,,Oklahoma State,21,
183,184,5,"Sep 22, 1990",Sat,Texas Tech,34,@,New Mexico,32,
184,185,5,"Sep 22, 1990",Sat,Toledo,28,@,Ball State,16,
185,186,5,"Sep 22, 1990",Sat,Vanderbilt,24,,Louisiana State,21,
186,187,5,"Sep 22, 1990",Sat,Virginia,59,@,Duke,0,
187,188,5,"Sep 22, 1990",Sat,Washington,31,,Southern California,0,
188,189,5,"Sep 22, 1990",Sat,Washington State,41,,California,31,
189,190,5,"Sep 22, 1990",Sat,Western Michigan,37,,Kent State,10,
190,191,5,"Sep 22, 1990",Sat,Wyoming,24,,Air Force,12,
191,192,5,"Sep 22, 1990",Sat,Youngstown State,24,,Eastern Michigan,14,
192,193,6,"Sep 29, 1990",Sat,Alabama,59,,Vanderbilt,28,
193,194,6,"Sep 29, 1990",Sat,Arkansas,31,,Colorado State,20,"Little Rock, AR"
194,195,6,"Sep 29, 1990",Sat,Arkansas State,20,@,Southern Illinois,17,
195,196,6,"Sep 29, 1990",Sat,Ball State,16,,Bowling Green State,6,
196,197,6,"Sep 29, 1990",Sat,Baylor,21,@,Texas Tech,15,
197,198,6,"Sep 29, 1990",Sat,Boston College,28,@,Navy,17,
198,199,6,"Sep 29, 1990",Sat,California,30,@,Arizona,25,
199,200,6,"Sep 29, 1990",Sat,Central Michigan,31,,Miami (OH),7,
200,201,6,"Sep 29, 1990",Sat,Cincinnati,27,@,Kent State,24,
201,202,6,"Sep 29, 1990",Sat,Clemson,26,,Duke,7,
202,203,6,"Sep 29, 1990",Sat,Colorado,20,,Washington,14,
203,204,6,"Sep 29, 1990",Sat,Florida,34,,Mississippi State,21,
204,205,6,"Sep 29, 1990",Sat,Florida State,39,,Virginia Tech,28,
205,206,6,"Sep 29, 1990",Sat,Fresno State,38,@,Cal State Fullerton,3,
