,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 14, 1951",Fri,Brigham Young,27,,Idaho State,7,
1,2,1,"Sep 14, 1951",Fri,Furman,39,,Presbyterian,0,
2,3,1,"Sep 15, 1951",Sat,Arizona,67,,New Mexico State,13,
3,4,1,"Sep 15, 1951",Sat,Cincinnati,26,,Virginia Military Institute,7,
4,5,1,"Sep 15, 1951",Sat,Denver,41,,Colorado College,0,
5,6,1,"Sep 15, 1951",Sat,Drake,19,,Abilene Christian,7,
6,7,1,"Sep 15, 1951",Sat,Florida,13,,Wyoming,0,"Jacksonville, FL"
7,8,1,"Sep 15, 1951",Sat,Kentucky,72,,Tennessee Tech,13,
8,9,1,"Sep 15, 1951",Sat,New Mexico Highlands,13,,Northern Arizona,6,
9,10,1,"Sep 15, 1951",Sat,North Carolina State,34,,Catawba College,0,
10,11,1,"Sep 15, 1951",Sat,Trinity (Texas),19,@,West Texas A&M;,7,"Amarillo, TX"
11,12,1,"Sep 15, 1951",Sat,Utah,55,,Montana State,6,
12,13,1,"Sep 15, 1951",Sat,Virginia Tech,18,,Marshall,12,"Bluefield, WV"
13,14,2,"Sep 21, 1951",Fri,Alabama,89,,Delta State,0,"Montgomery, AL"
14,15,2,"Sep 21, 1951",Fri,Mississippi,32,@,Memphis,0,
15,16,2,"Sep 21, 1951",Fri,San Francisco,39,,San Jose State,2,
16,17,2,"Sep 21, 1951",Fri,Syracuse,19,,Temple,0,
17,18,2,"Sep 21, 1951",Fri,Texas A&M;,21,@,UCLA,14,
18,19,2,"Sep 21, 1951",Fri,Wake Forest,20,@,Boston College,6,
19,20,2,"Sep 22, 1951",Sat,Arizona State,33,@,Utah State,27,
20,21,2,"Sep 22, 1951",Sat,Arkansas,42,@,Oklahoma State,7,
21,22,2,"Sep 22, 1951",Sat,Baylor,19,@,Houston,0,
22,23,2,"Sep 22, 1951",Sat,Bradley,32,,Tampa,6,
23,24,2,"Sep 22, 1951",Sat,Brigham Young,67,,Western State,7,
24,25,2,"Sep 22, 1951",Sat,California,34,,Santa Clara,0,
25,26,2,"Sep 22, 1951",Sat,Cincinnati,34,@,Kansas State,0,
26,27,2,"Sep 22, 1951",Sat,Clemson,53,,Presbyterian,6,
27,28,2,"Sep 22, 1951",Sat,Colorado,28,,Colorado State,13,
28,29,2,"Sep 22, 1951",Sat,Detroit Mercy,34,,Toledo,32,
29,30,2,"Sep 22, 1951",Sat,Drake,20,@,Denver,7,
30,31,2,"Sep 22, 1951",Sat,Duke,34,@,South Carolina,6,
31,32,2,"Sep 22, 1951",Sat,Florida,27,,Citadel,7,
32,33,2,"Sep 22, 1951",Sat,Fordham,34,@,Missouri,20,
33,34,2,"Sep 22, 1951",Sat,Georgia,33,,George Washington,0,
34,35,2,"Sep 22, 1951",Sat,Georgia Tech,21,,Southern Methodist,7,
35,36,2,"Sep 22, 1951",Sat,Harvard,21,,Springfield,13,
36,37,2,"Sep 22, 1951",Sat,Iowa State,53,,Wayne State,21,
37,38,2,"Sep 22, 1951",Sat,Kansas,27,@,Texas Christian,13,
38,39,2,"Sep 22, 1951",Sat,Lenoir-Rhyne,21,@,Davidson,7,
39,40,2,"Sep 22, 1951",Sat,Louisiana State,13,,Southern Mississippi,0,
40,41,2,"Sep 22, 1951",Sat,Marquette,48,,South Dakota,6,
41,42,2,"Sep 22, 1951",Sat,Miami (OH),21,@,Wichita State,13,
42,43,2,"Sep 22, 1951",Sat,Michigan State,6,,Oregon State,0,
43,44,2,"Sep 22, 1951",Sat,Mississippi State,32,,Arkansas State,0,
44,45,2,"Sep 22, 1951",Sat,New Mexico,55,,Northern Arizona,6,
45,46,2,"Sep 22, 1951",Sat,North Carolina,21,,North Carolina State,0,
46,47,2,"Sep 22, 1951",Sat,North Texas,33,@,Texas-El Paso,0,
47,48,2,"Sep 22, 1951",Sat,Pacific,33,,Hardin-Simmons,7,
48,49,2,"Sep 22, 1951",Sat,Richmond,13,,Randolph-Macon,6,
49,50,2,"Sep 22, 1951",Sat,Southern California,31,,Washington State,21,
50,51,2,"Sep 22, 1951",Sat,Stanford,27,@,Oregon,20,"Portland, OR"
51,52,2,"Sep 22, 1951",Sat,Stephen F. Austin,27,@,New Mexico State,7,
52,53,2,"Sep 22, 1951",Sat,Texas,7,,Kentucky,6,
53,54,2,"Sep 22, 1951",Sat,Texas Tech,46,,West Texas A&M;,7,
54,55,2,"Sep 22, 1951",Sat,Tulsa,58,,Hawaii,0,
55,56,2,"Sep 22, 1951",Sat,Utah,27,@,Arizona,7,
56,57,2,"Sep 22, 1951",Sat,Vanderbilt,22,,Middle Tennessee State,7,
57,58,2,"Sep 22, 1951",Sat,Virginia Military Institute,29,,Wofford,6,
58,59,2,"Sep 22, 1951",Sat,Washington,58,,Montana,7,
59,60,2,"Sep 22, 1951",Sat,Washington & Lee,25,@,Furman,7,
60,61,2,"Sep 22, 1951",Sat,West Virginia,20,,Waynesburg,9,
61,62,2,"Sep 22, 1951",Sat,William & Mary,34,,Boston University,25,
62,63,2,"Sep 22, 1951",Sat,Wyoming,28,,Idaho,0,
63,64,2,"Sep 22, 1951",Sat,Yale,48,,Bates,0,
64,65,2,"Sep 23, 1951",Sun,San Diego Navy,42,@,Loyola Marymount,28,
65,66,3,"Sep 28, 1951",Fri,Houston,33,@,Detroit Mercy,7,
66,67,3,"Sep 28, 1951",Fri,Utah State,21,,Wichita State,7,
67,68,3,"Sep 28, 1951",Fri,West Virginia,18,@,Furman,7,
68,69,3,"Sep 29, 1951",Sat,Arkansas,30,,Arizona State,13,
69,70,3,"Sep 29, 1951",Sat,Auburn,24,,Vanderbilt,14,
70,71,3,"Sep 29, 1951",Sat,Brigham Young,20,,Hawaii,7,
71,72,3,"Sep 29, 1951",Sat,California,35,@,Pennsylvania,0,
72,73,3,"Sep 29, 1951",Sat,California Tech,28,@,Northern Arizona,14,
73,74,3,"Sep 29, 1951",Sat,Cincinnati,47,,Tulsa,35,
74,75,3,"Sep 29, 1951",Sat,Clemson,20,@,Rice,14,
75,76,3,"Sep 29, 1951",Sat,Colgate,47,@,Buffalo,13,
76,77,3,"Sep 29, 1951",Sat,Colorado State,41,,Colorado Mines,0,
77,78,3,"Sep 29, 1951",Sat,Cornell,21,,Syracuse,14,
78,79,3,"Sep 29, 1951",Sat,Davidson,32,@,Virginia Tech,20,
79,80,3,"Sep 29, 1951",Sat,Drake,20,@,Bradley,14,
80,81,3,"Sep 29, 1951",Sat,Duke,19,@,Pittsburgh,14,
81,82,3,"Sep 29, 1951",Sat,Fordham,14,@,Dartmouth,6,
82,83,3,"Sep 29, 1951",Sat,Georgia,28,@,North Carolina,16,
83,84,3,"Sep 29, 1951",Sat,Georgia Tech,27,@,Florida,0,
84,85,3,"Sep 29, 1951",Sat,Hardin-Simmons,20,@,Trinity (Texas),6,
85,86,3,"Sep 29, 1951",Sat,Holy Cross,33,@,Harvard,6,
86,87,3,"Sep 29, 1951",Sat,Illinois,27,,UCLA,13,
87,88,3,"Sep 29, 1951",Sat,Iowa,16,,Kansas State,0,
88,89,3,"Sep 29, 1951",Sat,Kansas,53,,Iowa State,33,
89,90,3,"Sep 29, 1951",Sat,Louisiana State,13,@,Alabama,7,"Mobile, AL"
90,91,3,"Sep 29, 1951",Sat,Maryland,54,@,Washington & Lee,14,
91,92,3,"Sep 29, 1951",Sat,Michigan State,25,@,Michigan,0,
92,93,3,"Sep 29, 1951",Sat,Mississippi,21,,Kentucky,17,
93,94,3,"Sep 29, 1951",Sat,Missouri,27,,Oklahoma State,26,
94,95,3,"Sep 29, 1951",Sat,Montana,25,,New Mexico,7,
95,96,3,"Sep 29, 1951",Sat,Navy,7,,Yale,7,
96,97,3,"Sep 29, 1951",Sat,Northwestern,35,,Colorado,14,
97,98,3,"Sep 29, 1951",Sat,Notre Dame,48,,Indiana,6,
98,99,3,"Sep 29, 1951",Sat,Ohio State,7,,Southern Methodist,0,
