,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 23, 2003",Sat,Kansas State,42,,California,28,"BCA Classic (Kansas City, MO)"
1,2,1,"Aug 23, 2003",Sat,San Jose State,29,,Grambling State,0,
2,3,2,"Aug 28, 2003",Thu,Ball State,31,,Indiana State,7,
3,4,2,"Aug 28, 2003",Thu,Bowling Green State,63,,Eastern Kentucky,13,
4,5,2,"Aug 28, 2003",Thu,Brigham Young,24,,Georgia Tech,13,
5,6,2,"Aug 28, 2003",Thu,Eastern Michigan,28,,East Tennessee State,21,
6,7,2,"Aug 28, 2003",Thu,Florida Atlantic,20,@,Middle Tennessee State,19,
7,8,2,"Aug 28, 2003",Thu,Kent State,41,@,Akron,38,
8,9,2,"Aug 28, 2003",Thu,Miami (FL),48,@,Louisiana Tech,9,"Shreveport, LA"
9,10,2,"Aug 28, 2003",Thu,Northern Illinois,20,,Maryland,13,
10,11,2,"Aug 28, 2003",Thu,Ohio,17,,Southeast Missouri State,3,
11,12,2,"Aug 28, 2003",Thu,Oregon State,40,,Sacramento State,7,
12,13,2,"Aug 28, 2003",Thu,Utah,40,,Utah State,20,
13,14,2,"Aug 29, 2003",Fri,Nevada-Las Vegas,28,,Toledo,18,
14,15,2,"Aug 30, 2003",Sat,Air Force,49,,Wofford,0,
15,16,2,"Aug 30, 2003",Sat,Alabama,40,,South Florida,17,"Birmingham, AL"
16,17,2,"Aug 30, 2003",Sat,Alabama-Birmingham,24,@,Baylor,19,
17,18,2,"Aug 30, 2003",Sat,Arizona,42,,Texas-El Paso,7,
18,19,2,"Aug 30, 2003",Sat,California,34,,Southern Mississippi,2,
19,20,2,"Aug 30, 2003",Sat,Colorado,42,,Colorado State,35,"Denver, CO"
20,21,2,"Aug 30, 2003",Sat,Connecticut,34,,Indiana,10,
21,22,2,"Aug 30, 2003",Sat,Florida,65,,San Jose State,3,
22,23,2,"Aug 30, 2003",Sat,Florida State,37,@,North Carolina,0,
23,24,2,"Aug 30, 2003",Sat,Georgia,30,@,Clemson,0,
24,25,2,"Aug 30, 2003",Sat,Hawaii,40,,Appalachian State,17,
25,26,2,"Aug 30, 2003",Sat,Houston,48,,Rice,14,
26,27,2,"Aug 30, 2003",Sat,Iowa,21,,Miami (OH),3,
27,28,2,"Aug 30, 2003",Sat,Iowa State,17,,Northern Iowa,10,
28,29,2,"Aug 30, 2003",Sat,Kansas State,41,,Troy,5,
29,30,2,"Aug 30, 2003",Sat,Louisiana State,49,,Louisiana-Monroe,7,
30,31,2,"Aug 30, 2003",Sat,Marshall,45,,Hofstra,21,
31,32,2,"Aug 30, 2003",Sat,Memphis,40,,Tennessee Tech,10,
32,33,2,"Aug 30, 2003",Sat,Michigan,45,,Central Michigan,7,
33,34,2,"Aug 30, 2003",Sat,Michigan State,26,,Western Michigan,21,
34,35,2,"Aug 30, 2003",Sat,Minnesota,49,,Tulsa,10,
35,36,2,"Aug 30, 2003",Sat,Mississippi,24,@,Vanderbilt,21,
36,37,2,"Aug 30, 2003",Sat,Missouri,22,,Illinois,15,"St. Louis, MO"
37,38,2,"Aug 30, 2003",Sat,Navy,37,,Virginia Military Institute,10,
38,39,2,"Aug 30, 2003",Sat,Nebraska,17,,Oklahoma State,7,
39,40,2,"Aug 30, 2003",Sat,Nevada,24,,Southern Utah,23,
40,41,2,"Aug 30, 2003",Sat,New Mexico,72,,Texas State,8,
41,42,2,"Aug 30, 2003",Sat,North Carolina State,59,,Western Carolina,20,
42,43,2,"Aug 30, 2003",Sat,Northwestern,28,@,Kansas,20,
43,44,2,"Aug 30, 2003",Sat,Ohio State,28,,Washington,9,
44,45,2,"Aug 30, 2003",Sat,Oklahoma,37,,North Texas,3,
45,46,2,"Aug 30, 2003",Sat,Oregon,42,@,Mississippi State,34,
46,47,2,"Aug 30, 2003",Sat,Penn State,23,,Temple,10,
47,48,2,"Aug 30, 2003",Sat,Rutgers,24,,Buffalo,10,
48,49,2,"Aug 30, 2003",Sat,San Diego State,19,,Eastern Washington,9,
49,50,2,"Aug 30, 2003",Sat,South Carolina,14,,Louisiana-Lafayette,7,
50,51,2,"Aug 30, 2003",Sat,Southern California,23,@,Auburn,0,
51,52,2,"Aug 30, 2003",Sat,Tennessee,24,,Fresno State,6,
52,53,2,"Aug 30, 2003",Sat,Texas A&M;,26,,Arkansas State,11,
53,54,2,"Aug 30, 2003",Sat,Texas Tech,58,,Southern Methodist,10,
54,55,2,"Aug 30, 2003",Sat,Virginia,27,,Duke,0,
55,56,2,"Aug 30, 2003",Sat,Wake Forest,32,@,Boston College,28,
56,57,2,"Aug 30, 2003",Sat,Washington State,25,,Idaho,0,"Seattle, WA"
57,58,2,"Aug 30, 2003",Sat,Wisconsin,24,@,West Virginia,17,
58,59,2,"Aug 30, 2003",Sat,Wyoming,21,,Montana State,10,
59,60,2,"Aug 31, 2003",Sun,Louisville,40,@,Kentucky,24,
60,61,2,"Aug 31, 2003",Sun,Texas,66,,New Mexico State,7,
61,62,2,"Aug 31, 2003",Sun,Virginia Tech,49,,Central Florida,28,
62,63,2,"Sep 1, 2003",Mon,Cincinnati,40,,East Carolina,3,
63,64,2,"Sep 1, 2003",Mon,Texas Christian,38,@,Tulane,35,
64,65,3,"Sep 4, 2003",Thu,Southern Mississippi,17,@,Alabama-Birmingham,12,
65,66,3,"Sep 4, 2003",Thu,Western Illinois,34,@,Eastern Michigan,12,
66,67,3,"Sep 5, 2003",Fri,Fresno State,16,,Oregon State,14,
67,68,3,"Sep 6, 2003",Sat,Air Force,22,@,Northwestern,21,
68,69,3,"Sep 6, 2003",Sat,Arizona State,34,,Northern Arizona,14,
69,70,3,"Sep 6, 2003",Sat,Arkansas,45,,Tulsa,13,
70,71,3,"Sep 6, 2003",Sat,Arkansas State,63,,Tennessee-Martin,6,
71,72,3,"Sep 6, 2003",Sat,Boise State,62,,Idaho State,0,
72,73,3,"Sep 6, 2003",Sat,Boston College,27,@,Penn State,14,
73,74,3,"Sep 6, 2003",Sat,Bowling Green State,27,@,Purdue,26,
74,75,3,"Sep 6, 2003",Sat,Cal Poly,34,@,Texas-El Paso,13,
75,76,3,"Sep 6, 2003",Sat,Central Michigan,40,,New Hampshire,33,
76,77,3,"Sep 6, 2003",Sat,Clemson,28,,Furman,17,
77,78,3,"Sep 6, 2003",Sat,Colorado,16,,UCLA,14,
78,79,3,"Sep 6, 2003",Sat,Colorado State,23,@,California,21,
79,80,3,"Sep 6, 2003",Sat,Connecticut,48,@,Army,21,
80,81,3,"Sep 6, 2003",Sat,Duke,29,,Western Carolina,3,
81,82,3,"Sep 6, 2003",Sat,Eastern Washington,8,@,Idaho,5,
82,83,3,"Sep 6, 2003",Sat,Florida State,35,,Maryland,10,
83,84,3,"Sep 6, 2003",Sat,Georgia,29,,Middle Tennessee State,10,
84,85,3,"Sep 6, 2003",Sat,Georgia Tech,17,,Auburn,3,
85,86,3,"Sep 6, 2003",Sat,Illinois,49,,Illinois State,22,
86,87,3,"Sep 6, 2003",Sat,Iowa,56,,Buffalo,7,
87,88,3,"Sep 6, 2003",Sat,Iowa State,48,,Ohio,20,
88,89,3,"Sep 6, 2003",Sat,Kansas,46,,Nevada-Las Vegas,24,
89,90,3,"Sep 6, 2003",Sat,Kansas State,55,,McNeese State,14,
90,91,3,"Sep 6, 2003",Sat,Kentucky,37,,Murray State,6,
91,92,3,"Sep 6, 2003",Sat,Louisiana State,59,@,Arizona,13,
92,93,3,"Sep 6, 2003",Sat,Louisiana Tech,34,@,Louisiana-Lafayette,3,
93,94,3,"Sep 6, 2003",Sat,Memphis,44,,Mississippi,34,
94,95,3,"Sep 6, 2003",Sat,Miami (FL),38,,Florida,33,
95,96,3,"Sep 6, 2003",Sat,Michigan,50,,Houston,3,
96,97,3,"Sep 6, 2003",Sat,Michigan State,44,,Rutgers,28,
97,98,3,"Sep 6, 2003",Sat,Minnesota,48,,Troy,7,
98,99,3,"Sep 6, 2003",Sat,Missouri,35,@,Ball State,7,
99,100,3,"Sep 6, 2003",Sat,Nebraska,31,,Utah State,7,
100,101,3,"Sep 6, 2003",Sat,New Mexico State,48,,Western New Mexico,3,
101,102,3,"Sep 6, 2003",Sat,North Texas,52,,Baylor,14,
102,103,3,"Sep 6, 2003",Sat,Northern Illinois,42,,Tennessee Tech,17,
103,104,3,"Sep 6, 2003",Sat,Notre Dame,29,,Washington State,26,
104,105,3,"Sep 6, 2003",Sat,Ohio State,16,,San Diego State,13,
105,106,3,"Sep 6, 2003",Sat,Oklahoma,20,@,Alabama,13,
106,107,3,"Sep 6, 2003",Sat,Oklahoma State,48,,Wyoming,24,
107,108,3,"Sep 6, 2003",Sat,Oregon,31,,Nevada,23,
108,109,3,"Sep 6, 2003",Sat,Pittsburgh,43,,Kent State,3,
109,110,3,"Sep 6, 2003",Sat,South Carolina,31,,Virginia,7,
110,111,3,"Sep 6, 2003",Sat,South Florida,27,,Nicholls State,17,
111,112,3,"Sep 6, 2003",Sat,Southern California,35,,Brigham Young,18,
112,113,3,"Sep 6, 2003",Sat,Stanford,31,,San Jose State,10,
113,114,3,"Sep 6, 2003",Sat,Stephen F. Austin,23,@,Louisiana-Monroe,21,
114,115,3,"Sep 6, 2003",Sat,Syracuse,49,@,North Carolina,47,
115,116,3,"Sep 6, 2003",Sat,Tennessee,34,,Marshall,24,
116,117,3,"Sep 6, 2003",Sat,Texas A&M;,28,,Utah,26,
117,118,3,"Sep 6, 2003",Sat,Texas Christian,17,,Navy,3,
118,119,3,"Sep 6, 2003",Sat,Texas Tech,42,,New Mexico,28,
119,120,3,"Sep 6, 2003",Sat,Toledo,49,,Liberty,3,
120,121,3,"Sep 6, 2003",Sat,Tulane,27,,Northwestern State,24,
121,122,3,"Sep 6, 2003",Sat,Vanderbilt,51,,Chattanooga,6,
122,123,3,"Sep 6, 2003",Sat,Villanova,23,@,Temple,20,
123,124,3,"Sep 6, 2003",Sat,Virginia Tech,43,,James Madison,0,
124,125,3,"Sep 6, 2003",Sat,Wake Forest,38,,North Carolina State,24,
125,126,3,"Sep 6, 2003",Sat,Washington,38,,Indiana,13,
126,127,3,"Sep 6, 2003",Sat,West Virginia,48,@,East Carolina,7,
127,128,3,"Sep 6, 2003",Sat,Western Michigan,56,,William & Mary,24,
128,129,3,"Sep 6, 2003",Sat,Wisconsin,48,,Akron,31,
129,130,4,"Sep 11, 2003",Thu,Utah,31,,California,24,
130,131,4,"Sep 12, 2003",Fri,Toledo,24,@,Marshall,17,
131,132,4,"Sep 13, 2003",Sat,Air Force,34,,North Texas,21,
132,133,4,"Sep 13, 2003",Sat,Akron,24,,Eastern Michigan,17,
133,134,4,"Sep 13, 2003",Sat,Alabama,27,,Kentucky,17,
134,135,4,"Sep 13, 2003",Sat,Arizona State,26,,Utah State,16,
135,136,4,"Sep 13, 2003",Sat,Arkansas,38,@,Texas,28,
136,137,4,"Sep 13, 2003",Sat,Arkansas State,21,,Southeast Missouri State,3,
137,138,4,"Sep 13, 2003",Sat,Auburn,45,@,Vanderbilt,7,
138,139,4,"Sep 13, 2003",Sat,Baylor,10,,Southern Methodist,7,
139,140,4,"Sep 13, 2003",Sat,Boise State,24,@,Idaho,10,
140,141,4,"Sep 13, 2003",Sat,Boston College,24,@,Connecticut,14,
141,142,4,"Sep 13, 2003",Sat,Bowling Green State,62,,Liberty,3,
142,143,4,"Sep 13, 2003",Sat,Brigham Young,10,@,New Mexico,7,
143,144,4,"Sep 13, 2003",Sat,Central Florida,33,,Florida Atlantic,29,
144,145,4,"Sep 13, 2003",Sat,Central Michigan,42,,Eastern Kentucky,41,
145,146,4,"Sep 13, 2003",Sat,Cincinnati,15,@,West Virginia,13,
146,147,4,"Sep 13, 2003",Sat,Clemson,37,,Middle Tennessee State,14,
147,148,4,"Sep 13, 2003",Sat,Colgate,38,@,Buffalo,15,
148,149,4,"Sep 13, 2003",Sat,Colorado State,31,,Weber State,7,
149,150,4,"Sep 13, 2003",Sat,Duke,27,,Rice,24,
150,151,4,"Sep 13, 2003",Sat,Florida,63,,Florida A&M;,3,
151,152,4,"Sep 13, 2003",Sat,Florida State,14,,Georgia Tech,13,
