,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 29, 1970",Sat,Fresno State,28,,Hayward State,12,
1,2,2,"Sep 5, 1970",Sat,Fresno State,25,@,California-Santa Barbara,10,
2,3,3,"Sep 11, 1970",Fri,Missouri,38,,Baylor,0,"St. Louis, MO"
3,4,3,"Sep 12, 1970",Sat,Air Force,45,,Idaho,7,
4,5,3,"Sep 12, 1970",Sat,Army,26,,Holy Cross,0,
5,6,3,"Sep 12, 1970",Sat,Ball State,14,@,Buffalo,7,
6,7,3,"Sep 12, 1970",Sat,Brigham Young,10,,North Texas,7,
7,8,3,"Sep 12, 1970",Sat,Clemson,24,,Citadel,0,
8,9,3,"Sep 12, 1970",Sat,Colorado State,28,@,New Mexico State,9,
9,10,3,"Sep 12, 1970",Sat,Dayton,45,,Xavier,22,
10,11,3,"Sep 12, 1970",Sat,Florida,21,,Duke,19,"Jacksonville, FL"
11,12,3,"Sep 12, 1970",Sat,Florida State,9,,Louisville,7,
12,13,3,"Sep 12, 1970",Sat,Georgia Tech,23,,South Carolina,20,
13,14,3,"Sep 12, 1970",Sat,Kansas,48,,Washington State,31,
14,15,3,"Sep 12, 1970",Sat,Kansas State,37,@,Utah State,0,
15,16,3,"Sep 12, 1970",Sat,Long Beach State,19,@,Montana State,3,"Great Falls, MT"
16,17,3,"Sep 12, 1970",Sat,Mississippi State,14,,Oklahoma State,13,"Jackson, MS"
17,18,3,"Sep 12, 1970",Sat,Navy,48,,Colgate,22,
18,19,3,"Sep 12, 1970",Sat,Nebraska,36,,Wake Forest,12,
19,20,3,"Sep 12, 1970",Sat,North Carolina,20,,Kentucky,10,
20,21,3,"Sep 12, 1970",Sat,Oklahoma,28,@,Southern Methodist,11,
21,22,3,"Sep 12, 1970",Sat,Oregon,31,,California,24,"Portland, OR"
22,23,3,"Sep 12, 1970",Sat,Pacific,24,@,Texas-El Paso,18,
23,24,3,"Sep 12, 1970",Sat,Richmond,21,,North Carolina State,6,
24,25,3,"Sep 12, 1970",Sat,San Diego State,35,@,Northern Illinois,3,
25,26,3,"Sep 12, 1970",Sat,San Jose State,28,,California-Santa Barbara,14,
26,27,3,"Sep 12, 1970",Sat,Southern California,42,@,Alabama,21,"Birmingham, AL"
27,28,3,"Sep 12, 1970",Sat,Southern Mississippi,16,@,Louisiana-Lafayette,14,
28,29,3,"Sep 12, 1970",Sat,Stanford,34,@,Arkansas,28,"Little Rock, AR"
29,30,3,"Sep 12, 1970",Sat,Texas A&M;,41,,Wichita State,14,
30,31,3,"Sep 12, 1970",Sat,Texas Christian,31,,Texas-Arlington,7,
31,32,3,"Sep 12, 1970",Sat,Texas Tech,21,,Tulane,14,
32,33,3,"Sep 12, 1970",Sat,Toledo,35,,East Carolina,2,
33,34,3,"Sep 12, 1970",Sat,Tulsa,7,,Cincinnati,3,
34,35,3,"Sep 12, 1970",Sat,UCLA,14,@,Oregon State,9,
35,36,3,"Sep 12, 1970",Sat,Vanderbilt,39,,Chattanooga,6,
36,37,3,"Sep 12, 1970",Sat,Villanova,21,@,Maryland,3,
37,38,3,"Sep 12, 1970",Sat,Virginia,7,@,Virginia Tech,0,
38,39,3,"Sep 12, 1970",Sat,Virginia Military Institute,13,,Furman,0,
39,40,3,"Sep 12, 1970",Sat,West Virginia,43,,William & Mary,7,
40,41,3,"Sep 12, 1970",Sat,Western Michigan,41,@,Central Michigan,0,
41,42,4,"Sep 18, 1970",Fri,Miami (FL),36,,William & Mary,14,
42,43,4,"Sep 19, 1970",Sat,Air Force,41,@,Wyoming,17,
43,44,4,"Sep 19, 1970",Sat,Alabama,51,,Virginia Tech,18,"Birmingham, AL"
44,45,4,"Sep 19, 1970",Sat,Arizona State,38,,Colorado State,9,
45,46,4,"Sep 19, 1970",Sat,Arkansas,23,,Oklahoma State,7,"Little Rock, AR"
46,47,4,"Sep 19, 1970",Sat,Arkansas State,53,@,Wichita State,14,
47,48,4,"Sep 19, 1970",Sat,Auburn,33,,Southern Mississippi,14,
48,49,4,"Sep 19, 1970",Sat,Baylor,10,@,Army,7,
49,50,4,"Sep 19, 1970",Sat,Boston College,28,@,Villanova,21,
50,51,4,"Sep 19, 1970",Sat,Cal State Northridge,13,@,California-Santa Barbara,7,
51,52,4,"Sep 19, 1970",Sat,Cincinnati,13,,Dayton,7,"Cincinnati, OH"
52,53,4,"Sep 19, 1970",Sat,Clemson,27,,Virginia,17,
53,54,4,"Sep 19, 1970",Sat,Colgate,26,@,Boston University,21,
54,55,4,"Sep 19, 1970",Sat,Colorado,16,@,Indiana,9,
55,56,4,"Sep 19, 1970",Sat,Duke,13,,Maryland,12,
56,57,4,"Sep 19, 1970",Sat,East Tennessee State,10,@,East Carolina,0,
57,58,4,"Sep 19, 1970",Sat,Florida,34,,Mississippi State,13,
58,59,4,"Sep 19, 1970",Sat,Furman,19,,Presbyterian,7,
59,60,4,"Sep 19, 1970",Sat,Georgia Tech,23,,Florida State,13,
