,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 1, 1980",Mon,Texas,23,,Arkansas,17,
1,2,2,"Sep 5, 1980",Fri,Northern Illinois,16,@,Long Beach State,9,
2,3,2,"Sep 6, 1980",Sat,Alabama,26,,Georgia Tech,3,"Birmingham, AL"
3,4,2,"Sep 6, 1980",Sat,Appalachian State,34,@,James Madison,6,
4,5,2,"Sep 6, 1980",Sat,Boise State,28,@,Utah,7,
5,6,2,"Sep 6, 1980",Sat,Cal State Fullerton,39,@,Fresno State,25,
6,7,2,"Sep 6, 1980",Sat,Central Michigan,21,,Ball State,17,
7,8,2,"Sep 6, 1980",Sat,Chattanooga,16,@,Jacksonville State,13,
8,9,2,"Sep 6, 1980",Sat,Citadel,21,,Presbyterian,14,
9,10,2,"Sep 6, 1980",Sat,Colorado State,21,,Air Force,9,
10,11,2,"Sep 6, 1980",Sat,East Carolina,35,@,Duke,10,
11,12,2,"Sep 6, 1980",Sat,Florida State,16,@,Louisiana State,0,
12,13,2,"Sep 6, 1980",Sat,Georgia,16,@,Tennessee,15,
13,14,2,"Sep 6, 1980",Sat,Holy Cross,21,,Rhode Island,14,
14,15,2,"Sep 6, 1980",Sat,Illinois,35,,Northwestern,9,
15,16,2,"Sep 6, 1980",Sat,Illinois State,28,,Nicholls State,13,
16,17,2,"Sep 6, 1980",Sat,Indiana State,13,@,Drake,10,
17,18,2,"Sep 6, 1980",Sat,Kentucky,17,,Utah State,10,
18,19,2,"Sep 6, 1980",Sat,Lamar,41,@,Texas Southern,8,
19,20,2,"Sep 6, 1980",Sat,Louisiana-Lafayette,14,,New Mexico State,12,
20,21,2,"Sep 6, 1980",Sat,Marshall,35,@,Morehead State,8,
21,22,2,"Sep 6, 1980",Sat,Maryland,7,,Villanova,3,
22,23,2,"Sep 6, 1980",Sat,McNeese State,20,@,West Texas A&M;,17,
23,24,2,"Sep 6, 1980",Sat,Miami (FL),24,@,Louisville,10,
24,25,2,"Sep 6, 1980",Sat,Mississippi State,34,@,Memphis,7,
25,26,2,"Sep 6, 1980",Sat,New Mexico,25,,Brigham Young,21,
26,27,2,"Sep 6, 1980",Sat,North Carolina,35,,Furman,13,
27,28,2,"Sep 6, 1980",Sat,North Carolina State,42,,William & Mary,0,
28,29,2,"Sep 6, 1980",Sat,North Texas,31,@,Texas-Arlington,14,
29,30,2,"Sep 6, 1980",Sat,Notre Dame,31,,Purdue,10,
30,31,2,"Sep 6, 1980",Sat,Penn State,54,,Colgate,10,
31,32,2,"Sep 6, 1980",Sat,Richmond,20,,Bowling Green State,17,
32,33,2,"Sep 6, 1980",Sat,San Jose State,28,,Santa Clara,14,
33,34,2,"Sep 6, 1980",Sat,South Carolina,37,,Pacific,0,
34,35,2,"Sep 6, 1980",Sat,Southern Mississippi,17,@,Tulane,14,
35,36,2,"Sep 6, 1980",Sat,Stanford,35,@,Oregon,25,
36,37,2,"Sep 6, 1980",Sat,Texas A&M;,23,@,Mississippi,20,"Jackson, MS"
37,38,2,"Sep 6, 1980",Sat,Texas Tech,35,,Texas-El Paso,7,
38,39,2,"Sep 6, 1980",Sat,Virginia Tech,16,@,Wake Forest,7,
39,40,2,"Sep 6, 1980",Sat,West Virginia,41,,Cincinnati,27,
40,41,2,"Sep 6, 1980",Sat,Western Carolina,16,,Virginia Military Institute,14,
41,42,2,"Sep 6, 1980",Sat,Western Michigan,37,,Eastern Michigan,0,
42,43,2,"Sep 6, 1980",Sat,Wichita State,31,,Southern Illinois,14,
43,44,2,"Sep 6, 1980",Sat,Wofford,16,@,East Tennessee State,9,
44,45,3,"Sep 13, 1980",Sat,Appalachian State,17,,Citadel,14,
45,46,3,"Sep 13, 1980",Sat,Arizona State,29,,Houston,13,
46,47,3,"Sep 13, 1980",Sat,Arkansas State,29,,Tennessee-Martin,9,
47,48,3,"Sep 13, 1980",Sat,Army,28,,Holy Cross,7,
48,49,3,"Sep 13, 1980",Sat,Auburn,10,@,Texas Christian,7,
49,50,3,"Sep 13, 1980",Sat,Ball State,18,@,Northern Illinois,17,
50,51,3,"Sep 13, 1980",Sat,Baylor,42,@,Lamar,7,
51,52,3,"Sep 13, 1980",Sat,Brigham Young,35,,San Diego State,11,
52,53,3,"Sep 13, 1980",Sat,Cal State Fullerton,30,,Cal Poly,23,
53,54,3,"Sep 13, 1980",Sat,Central Michigan,15,@,Miami (OH),14,
54,55,3,"Sep 13, 1980",Sat,Chattanooga,32,@,Middle Tennessee State,7,
55,56,3,"Sep 13, 1980",Sat,Clemson,19,,Rice,3,
56,57,3,"Sep 13, 1980",Sat,Colgate,17,,Lehigh,17,
57,58,3,"Sep 13, 1980",Sat,Drake,42,,Augustana (South Dakota),0,
58,59,3,"Sep 13, 1980",Sat,Eastern Michigan,18,@,Bowling Green State,16,
59,60,3,"Sep 13, 1980",Sat,Florida,41,,California,13,"Tampa, FL"
60,61,3,"Sep 13, 1980",Sat,Florida State,52,,Louisville,0,
61,62,3,"Sep 13, 1980",Sat,Furman,28,,Presbyterian,7,
62,63,3,"Sep 13, 1980",Sat,Georgia,42,,Texas A&M;,0,
63,64,3,"Sep 13, 1980",Sat,Hawaii,41,,Abilene Christian,0,
64,65,3,"Sep 13, 1980",Sat,Illinois,20,,Michigan State,17,
65,66,3,"Sep 13, 1980",Sat,Iowa,16,@,Indiana,7,
66,67,3,"Sep 13, 1980",Sat,Iowa State,42,,Louisiana-Monroe,7,
67,68,3,"Sep 13, 1980",Sat,Kansas,7,,Oregon,7,
68,69,3,"Sep 13, 1980",Sat,Louisiana State,21,,Kansas State,0,
69,70,3,"Sep 13, 1980",Sat,Louisiana-Lafayette,27,@,East Carolina,21,
70,71,3,"Sep 13, 1980",Sat,Marshall,17,,Kent State,7,
71,72,3,"Sep 13, 1980",Sat,Maryland,31,,Vanderbilt,6,
72,73,3,"Sep 13, 1980",Sat,McNeese State,20,@,Toledo,17,
73,74,3,"Sep 13, 1980",Sat,Miami (FL),49,,Florida A&M;,0,
74,75,3,"Sep 13, 1980",Sat,Michigan,17,,Northwestern,10,
75,76,3,"Sep 13, 1980",Sat,Minnesota,38,,Ohio,14,
76,77,3,"Sep 13, 1980",Sat,Mississippi,61,,Memphis,7,
77,78,3,"Sep 13, 1980",Sat,Mississippi State,31,,Louisiana Tech,11,
78,79,3,"Sep 13, 1980",Sat,Missouri,47,,New Mexico,16,
79,80,3,"Sep 13, 1980",Sat,Nebraska,55,,Utah,9,
80,81,3,"Sep 13, 1980",Sat,Nevada-Las Vegas,35,,Fresno State,6,
81,82,3,"Sep 13, 1980",Sat,New Mexico State,6,,Texas-El Paso,3,
82,83,3,"Sep 13, 1980",Sat,North Carolina,9,@,Texas Tech,3,
83,84,3,"Sep 13, 1980",Sat,Northwestern State,38,@,Texas-Arlington,31,
84,85,3,"Sep 13, 1980",Sat,Ohio State,31,,Syracuse,21,
85,86,3,"Sep 13, 1980",Sat,Oklahoma,29,,Kentucky,7,
86,87,3,"Sep 13, 1980",Sat,Pacific,24,,Idaho,13,
87,88,3,"Sep 13, 1980",Sat,Pittsburgh,14,,Boston College,6,
88,89,3,"Sep 13, 1980",Sat,Purdue,12,@,Wisconsin,6,
89,90,3,"Sep 13, 1980",Sat,Richmond,21,@,Villanova,7,
90,91,3,"Sep 13, 1980",Sat,Rutgers,21,@,Temple,3,
91,92,3,"Sep 13, 1980",Sat,San Jose State,31,@,Washington State,26,"Spokane, WA"
92,93,3,"Sep 13, 1980",Sat,South Carolina,73,,Wichita State,0,
93,94,3,"Sep 13, 1980",Sat,Southern California,20,@,Tennessee,17,
94,95,3,"Sep 13, 1980",Sat,Southern Illinois,37,,Eastern Illinois,35,
95,96,3,"Sep 13, 1980",Sat,Southern Methodist,28,,North Texas,9,
96,97,3,"Sep 13, 1980",Sat,Stanford,19,,Tulane,14,
97,98,3,"Sep 13, 1980",Sat,Tennessee Tech,26,@,Western Carolina,10,
98,99,3,"Sep 13, 1980",Sat,Tulsa,31,,Cincinnati,13,
99,100,3,"Sep 13, 1980",Sat,UCLA,56,,Colorado,14,
100,101,3,"Sep 13, 1980",Sat,Utah State,14,,Idaho State,7,
101,102,3,"Sep 13, 1980",Sat,Virginia,6,,Navy,3,
102,103,3,"Sep 13, 1980",Sat,Virginia Military Institute,13,@,William & Mary,10,
103,104,3,"Sep 13, 1980",Sat,Virginia Tech,35,,East Tennessee State,7,
104,105,3,"Sep 13, 1980",Sat,Washington,50,,Air Force,7,
105,106,3,"Sep 13, 1980",Sat,West Texas A&M;,20,@,Oklahoma State,19,
106,107,3,"Sep 13, 1980",Sat,West Virginia,52,@,Colorado State,24,
107,108,3,"Sep 13, 1980",Sat,Western Michigan,31,@,Illinois State,17,
108,109,3,"Sep 13, 1980",Sat,Wyoming,30,,Oregon State,10,
109,110,4,"Sep 20, 1980",Sat,Alabama,59,@,Mississippi,35,"Jackson, MS"
110,111,4,"Sep 20, 1980",Sat,Arizona State,42,,Oregon State,14,
111,112,4,"Sep 20, 1980",Sat,Arkansas,33,,Oklahoma State,20,"Little Rock, AR"
112,113,4,"Sep 20, 1980",Sat,Army,26,,California,19,
113,114,4,"Sep 20, 1980",Sat,Auburn,35,,Duke,28,
114,115,4,"Sep 20, 1980",Sat,Ball State,27,,Toledo,7,
115,116,4,"Sep 20, 1980",Sat,Baylor,43,,West Texas A&M;,15,
116,117,4,"Sep 20, 1980",Sat,Boston College,30,,Stanford,13,
117,118,4,"Sep 20, 1980",Sat,Brigham Young,28,@,Wisconsin,3,
118,119,4,"Sep 20, 1980",Sat,Cal State Fullerton,21,,Northern Arizona,13,
119,120,4,"Sep 20, 1980",Sat,Central Michigan,16,,Illinois State,0,
120,121,4,"Sep 20, 1980",Sat,Chattanooga,14,,Appalachian State,7,
121,122,4,"Sep 20, 1980",Sat,Colorado State,15,@,Arizona,13,
122,123,4,"Sep 20, 1980",Sat,Cornell,17,,Princeton,7,
123,124,4,"Sep 20, 1980",Sat,Dartmouth,40,,Pennsylvania,7,
124,125,4,"Sep 20, 1980",Sat,Delaware,28,@,Temple,7,
125,126,4,"Sep 20, 1980",Sat,Drake,38,@,Lamar,7,
126,127,4,"Sep 20, 1980",Sat,Florida,45,@,Georgia Tech,12,
127,128,4,"Sep 20, 1980",Sat,Florida State,63,,East Carolina,7,
128,129,4,"Sep 20, 1980",Sat,Fresno State,16,,Louisiana-Lafayette,14,
129,130,4,"Sep 20, 1980",Sat,Furman,28,@,Western Carolina,14,
130,131,4,"Sep 20, 1980",Sat,Georgia,20,,Clemson,16,
131,132,4,"Sep 20, 1980",Sat,Harvard,26,,Columbia,6,
132,133,4,"Sep 20, 1980",Sat,Hawaii,25,,Pacific,14,
133,134,4,"Sep 20, 1980",Sat,Indiana,36,@,Kentucky,30,
134,135,4,"Sep 20, 1980",Sat,Indiana State,14,,Eastern Illinois,0,
135,136,4,"Sep 20, 1980",Sat,Iowa State,27,,San Jose State,6,
136,137,4,"Sep 20, 1980",Sat,Kansas State,24,,South Dakota,3,
137,138,4,"Sep 20, 1980",Sat,Long Beach State,23,@,Bowling Green State,21,
138,139,4,"Sep 20, 1980",Sat,Louisiana State,23,,Colorado,20,
139,140,4,"Sep 20, 1980",Sat,Louisiana-Monroe,35,@,Arkansas State,12,
140,141,4,"Sep 20, 1980",Sat,Maryland,14,@,West Virginia,11,
141,142,4,"Sep 20, 1980",Sat,Massachusetts,24,,Villanova,12,
142,143,4,"Sep 20, 1980",Sat,McNeese State,21,,Nicholls State,0,
143,144,4,"Sep 20, 1980",Sat,Miami (FL),14,@,Houston,7,
144,145,4,"Sep 20, 1980",Sat,Mississippi State,24,@,Vanderbilt,14,
145,146,4,"Sep 20, 1980",Sat,Missouri,52,,Illinois,7,
146,147,4,"Sep 20, 1980",Sat,Murray State,13,@,Louisville,9,
147,148,4,"Sep 20, 1980",Sat,Navy,31,,Kent State,3,
148,149,4,"Sep 20, 1980",Sat,Nebraska,57,,Iowa,0,
149,150,4,"Sep 20, 1980",Sat,New Mexico State,18,,Southern Illinois,17,
150,151,4,"Sep 20, 1980",Sat,North Carolina State,27,@,Virginia,13,
151,152,4,"Sep 20, 1980",Sat,North Texas,35,@,Texas-El Paso,15,
152,153,4,"Sep 20, 1980",Sat,Notre Dame,29,,Michigan,27,
153,154,4,"Sep 20, 1980",Sat,Ohio,34,,Eastern Michigan,6,
154,155,4,"Sep 20, 1980",Sat,Ohio State,47,,Minnesota,0,
155,156,4,"Sep 20, 1980",Sat,Oregon,35,,Michigan State,7,
156,157,4,"Sep 20, 1980",Sat,Penn State,25,@,Texas A&M;,9,
157,158,4,"Sep 20, 1980",Sat,Pittsburgh,18,@,Kansas,3,
158,159,4,"Sep 20, 1980",Sat,Rutgers,24,,Cincinnati,7,
159,160,4,"Sep 20, 1980",Sat,San Diego State,13,@,Air Force,10,
160,161,4,"Sep 20, 1980",Sat,Southeastern Louisiana,7,,East Tennessee State,3,
161,162,4,"Sep 20, 1980",Sat,Southern California,23,,South Carolina,13,
162,163,4,"Sep 20, 1980",Sat,Southern Methodist,17,,Texas Christian,14,
163,164,4,"Sep 20, 1980",Sat,Southern Mississippi,38,,Louisiana Tech,11,
164,165,4,"Sep 20, 1980",Sat,Syracuse,36,,Miami (OH),24,
165,166,4,"Sep 20, 1980",Sat,Tennessee,35,,Washington State,23,
166,167,4,"Sep 20, 1980",Sat,Texas,35,,Utah State,17,
167,168,4,"Sep 20, 1980",Sat,Texas Tech,28,,New Mexico,17,
168,169,4,"Sep 20, 1980",Sat,Tulane,35,,Rice,14,
169,170,4,"Sep 20, 1980",Sat,UCLA,23,@,Purdue,14,
170,171,4,"Sep 20, 1980",Sat,Utah,45,,Nevada-Las Vegas,29,
171,172,4,"Sep 20, 1980",Sat,Virginia Military Institute,17,,Marshall,3,
