,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 23, 1997",Sat,Northwestern,24,,Oklahoma,0,"Pigskin Classic (Chicago, IL)"
1,2,1,"Aug 24, 1997",Sun,Syracuse,34,,Wisconsin,0,"Kick-off Classic (East Rutherford, NJ)"
2,3,2,"Aug 28, 1997",Thu,Central Michigan,44,,Northern Illinois,10,
3,4,2,"Aug 28, 1997",Thu,Cincinnati,34,,Tulsa,24,
4,5,2,"Aug 28, 1997",Thu,Kansas,24,,Alabama-Birmingham,0,
5,6,2,"Aug 28, 1997",Thu,Ohio,31,,Kent State,7,
6,7,2,"Aug 28, 1997",Thu,Ohio State,24,,Wyoming,10,
7,8,2,"Aug 28, 1997",Thu,Western Michigan,34,,Temple,14,
8,9,2,"Aug 30, 1997",Sat,Air Force,14,,Idaho,10,
9,10,2,"Aug 30, 1997",Sat,Alabama,42,,Houston,17,"Birmingham, AL"
10,11,2,"Aug 30, 1997",Sat,Arizona State,41,,New Mexico State,10,
11,12,2,"Aug 30, 1997",Sat,Cal State Northridge,63,@,Boise State,23,
12,13,2,"Aug 30, 1997",Sat,Colorado State,45,,Nevada,13,
13,14,2,"Aug 30, 1997",Sat,Florida,21,,Southern Mississippi,6,
14,15,2,"Aug 30, 1997",Sat,Fresno State,35,,Portland State,7,
15,16,2,"Aug 30, 1997",Sat,Georgia,38,,Arkansas State,7,
16,17,2,"Aug 30, 1997",Sat,Hawaii,17,,Minnesota,3,
17,18,2,"Aug 30, 1997",Sat,Kentucky,38,,Louisville,24,
18,19,2,"Aug 30, 1997",Sat,Louisiana Tech,30,,Bowling Green State,23,
19,20,2,"Aug 30, 1997",Sat,Louisiana-Monroe,28,,Nicholls State,0,
20,21,2,"Aug 30, 1997",Sat,Miami (FL),45,@,Baylor,14,
21,22,2,"Aug 30, 1997",Sat,Miami (OH),27,,Ball State,10,
22,23,2,"Aug 30, 1997",Sat,Mississippi,24,,Central Florida,23,
23,24,2,"Aug 30, 1997",Sat,Mississippi State,13,,Memphis,10,
24,25,2,"Aug 30, 1997",Sat,Nebraska,59,,Akron,14,
25,26,2,"Aug 30, 1997",Sat,New Mexico,33,,Northern Arizona,10,
26,27,2,"Aug 30, 1997",Sat,North Carolina State,32,@,Syracuse,31,
27,28,2,"Aug 30, 1997",Sat,Oklahoma State,21,@,Iowa State,14,
28,29,2,"Aug 30, 1997",Sat,Pittsburgh,45,,Louisiana-Lafayette,13,
29,30,2,"Aug 30, 1997",Sat,Tennessee,52,,Texas Tech,17,
30,31,2,"Aug 30, 1997",Sat,Utah State,21,@,Utah,14,
31,32,2,"Aug 30, 1997",Sat,Vanderbilt,29,,North Texas,12,
32,33,2,"Aug 30, 1997",Sat,Virginia Tech,59,@,Rutgers,19,
33,34,2,"Aug 30, 1997",Sat,Washington State,37,,UCLA,34,
34,35,2,"Aug 30, 1997",Sat,West Virginia,42,,Marshall,31,
35,36,3,"Sep 4, 1997",Thu,Auburn,28,@,Virginia,17,
36,37,3,"Sep 4, 1997",Thu,Oregon,16,,Arizona,9,
37,38,3,"Sep 5, 1997",Fri,San Diego State,45,,Navy,31,
38,39,3,"Sep 6, 1997",Sat,Air Force,41,@,Rice,12,
39,40,3,"Sep 6, 1997",Sat,Arkansas,28,,Louisiana-Monroe,16,
40,41,3,"Sep 6, 1997",Sat,Ball State,24,,James Madison,6,
41,42,3,"Sep 6, 1997",Sat,Baylor,37,@,Fresno State,35,
42,43,3,"Sep 6, 1997",Sat,Bowling Green State,28,,Miami (OH),21,
43,44,3,"Sep 6, 1997",Sat,California,35,@,Houston,3,
44,45,3,"Sep 6, 1997",Sat,Clemson,23,,Appalachian State,12,
45,46,3,"Sep 6, 1997",Sat,Colorado,31,,Colorado State,21,
46,47,3,"Sep 6, 1997",Sat,Florida,82,,Central Michigan,6,
47,48,3,"Sep 6, 1997",Sat,Florida State,14,@,Southern California,7,
48,49,3,"Sep 6, 1997",Sat,Hawaii,34,,Cal State Northridge,21,
49,50,3,"Sep 6, 1997",Sat,Idaho,46,,Portland State,0,
50,51,3,"Sep 6, 1997",Sat,Iowa,66,,Northern Iowa,0,
51,52,3,"Sep 6, 1997",Sat,Kansas,17,,Texas Christian,10,
52,53,3,"Sep 6, 1997",Sat,Kansas State,47,@,Northern Illinois,7,
53,54,3,"Sep 6, 1997",Sat,Louisiana State,55,,Texas-El Paso,3,
54,55,3,"Sep 6, 1997",Sat,Marshall,35,@,Army,25,
55,56,3,"Sep 6, 1997",Sat,Memphis,28,,Alabama-Birmingham,7,
56,57,3,"Sep 6, 1997",Sat,Michigan State,42,,Western Michigan,10,
57,58,3,"Sep 6, 1997",Sat,Mississippi,23,,Southern Methodist,15,
58,59,3,"Sep 6, 1997",Sat,Mississippi State,35,,Kentucky,27,
59,60,3,"Sep 6, 1997",Sat,Missouri,44,,Eastern Michigan,24,
60,61,3,"Sep 6, 1997",Sat,Nevada,31,,Nevada-Las Vegas,14,
61,62,3,"Sep 6, 1997",Sat,New Mexico,61,,New Mexico State,24,
62,63,3,"Sep 6, 1997",Sat,North Carolina,23,,Indiana,6,
63,64,3,"Sep 6, 1997",Sat,North Carolina State,45,@,Duke,14,
64,65,3,"Sep 6, 1997",Sat,Notre Dame,17,,Georgia Tech,13,
65,66,3,"Sep 6, 1997",Sat,Ohio,21,@,Maryland,14,
66,67,3,"Sep 6, 1997",Sat,Oklahoma,36,,Syracuse,34,
67,68,3,"Sep 6, 1997",Sat,Oklahoma State,31,@,Louisiana-Lafayette,7,
68,69,3,"Sep 6, 1997",Sat,Oregon State,33,,North Texas,7,
69,70,3,"Sep 6, 1997",Sat,Penn State,34,,Pittsburgh,17,
70,71,3,"Sep 6, 1997",Sat,South Carolina,33,,Central Florida,31,
71,72,3,"Sep 6, 1997",Sat,Southern Mississippi,24,@,Illinois,7,
72,73,3,"Sep 6, 1997",Sat,Stanford,28,,San Jose State,12,
73,74,3,"Sep 6, 1997",Sat,Temple,28,,Boston College,21,
74,75,3,"Sep 6, 1997",Sat,Tennessee,30,@,UCLA,24,
75,76,3,"Sep 6, 1997",Sat,Texas,48,,Rutgers,14,
76,77,3,"Sep 6, 1997",Sat,Texas A&M;,59,,Sam Houston State,6,
77,78,3,"Sep 6, 1997",Sat,Toledo,36,,Purdue,22,
78,79,3,"Sep 6, 1997",Sat,Tulane,31,,Cincinnati,17,
79,80,3,"Sep 6, 1997",Sat,Utah,27,@,Louisville,21,
80,81,3,"Sep 6, 1997",Sat,Utah State,41,,Idaho State,7,
81,82,3,"Sep 6, 1997",Sat,Wake Forest,27,,Northwestern,20,
82,83,3,"Sep 6, 1997",Sat,Washington,42,@,Brigham Young,20,
83,84,3,"Sep 6, 1997",Sat,West Virginia,24,,East Carolina,17,
84,85,3,"Sep 6, 1997",Sat,Wisconsin,28,,Boise State,24,
85,86,3,"Sep 6, 1997",Sat,Wyoming,56,,Iowa State,10,
86,87,3,"Sep 6, 1997",Sat,Youngstown State,44,,Kent State,23,
87,88,4,"Sep 11, 1997",Thu,Alabama,20,@,Vanderbilt,0,
88,89,4,"Sep 13, 1997",Sat,Air Force,25,,Nevada-Las Vegas,24,
89,90,4,"Sep 13, 1997",Sat,Arizona,24,,Alabama-Birmingham,10,
90,91,4,"Sep 13, 1997",Sat,Arizona State,23,@,Miami (FL),12,
91,92,4,"Sep 13, 1997",Sat,Arkansas State,36,,Central Arkansas,35,
92,93,4,"Sep 13, 1997",Sat,Army,41,,Lafayette,14,
93,94,4,"Sep 13, 1997",Sat,Auburn,19,,Mississippi,9,
94,95,4,"Sep 13, 1997",Sat,Boston College,31,,West Virginia,24,
95,96,4,"Sep 13, 1997",Sat,Central Michigan,44,,Boise State,26,
96,97,4,"Sep 13, 1997",Sat,Clemson,19,@,North Carolina State,17,
97,98,4,"Sep 13, 1997",Sat,Colorado State,35,@,Utah State,24,
98,99,4,"Sep 13, 1997",Sat,East Carolina,25,,Wake Forest,24,
99,100,4,"Sep 13, 1997",Sat,Florida State,50,,Maryland,7,
100,101,4,"Sep 13, 1997",Sat,Georgia,31,,South Carolina,15,
101,102,4,"Sep 13, 1997",Sat,Idaho,43,@,Idaho State,0,
102,103,4,"Sep 13, 1997",Sat,Indiana,33,,Ball State,6,
103,104,4,"Sep 13, 1997",Sat,Iowa,54,,Tulsa,16,
104,105,4,"Sep 13, 1997",Sat,Kansas,15,,Missouri,7,
105,106,4,"Sep 13, 1997",Sat,Kansas State,23,,Ohio,20,
106,107,4,"Sep 13, 1997",Sat,Louisiana State,24,@,Mississippi State,9,
107,108,4,"Sep 13, 1997",Sat,Louisiana Tech,17,,Louisiana-Monroe,16,
108,109,4,"Sep 13, 1997",Sat,Louisville,26,,Illinois,14,
109,110,4,"Sep 13, 1997",Sat,Marshall,42,@,Kent State,17,
110,111,4,"Sep 13, 1997",Sat,Miami (OH),49,,Akron,20,
111,112,4,"Sep 13, 1997",Sat,Michigan,27,,Colorado,3,
112,113,4,"Sep 13, 1997",Sat,Michigan State,51,,Memphis,21,
113,114,4,"Sep 13, 1997",Sat,Minnesota,53,,Iowa State,29,
114,115,4,"Sep 13, 1997",Sat,Navy,36,,Rutgers,7,
115,116,4,"Sep 13, 1997",Sat,Nebraska,38,,Central Florida,24,
116,117,4,"Sep 13, 1997",Sat,New Mexico,38,@,Texas-El Paso,20,
117,118,4,"Sep 13, 1997",Sat,New Mexico State,28,,Cal State Northridge,18,
118,119,4,"Sep 13, 1997",Sat,North Carolina,28,,Stanford,17,
119,120,4,"Sep 13, 1997",Sat,North Texas,41,,Indiana State,6,
120,121,4,"Sep 13, 1997",Sat,Northwestern,24,,Duke,20,
121,122,4,"Sep 13, 1997",Sat,Ohio State,44,,Bowling Green State,13,
122,123,4,"Sep 13, 1997",Sat,Oklahoma State,35,,Fresno State,0,
123,124,4,"Sep 13, 1997",Sat,Oregon,24,@,Nevada,20,
124,125,4,"Sep 13, 1997",Sat,Penn State,52,,Temple,10,
125,126,4,"Sep 13, 1997",Sat,Pittsburgh,35,@,Houston,24,
126,127,4,"Sep 13, 1997",Sat,Purdue,28,,Notre Dame,17,
127,128,4,"Sep 13, 1997",Sat,Rice,30,@,Tulane,24,
128,129,4,"Sep 13, 1997",Sat,Southern Methodist,31,,Arkansas,9,"Shreveport, LA"
129,130,4,"Sep 13, 1997",Sat,Texas Tech,59,,Louisiana-Lafayette,14,
130,131,4,"Sep 13, 1997",Sat,Toledo,38,,Eastern Michigan,35,
131,132,4,"Sep 13, 1997",Sat,UCLA,66,@,Texas,3,
132,133,4,"Sep 13, 1997",Sat,Utah,32,@,Texas Christian,18,
133,134,4,"Sep 13, 1997",Sat,Virginia,26,,Richmond,7,
134,135,4,"Sep 13, 1997",Sat,Virginia Tech,31,,Syracuse,3,
135,136,4,"Sep 13, 1997",Sat,Washington,36,,San Diego State,3,
136,137,4,"Sep 13, 1997",Sat,Washington State,28,@,Southern California,21,
137,138,4,"Sep 13, 1997",Sat,Western Michigan,21,@,Northern Illinois,13,
138,139,4,"Sep 13, 1997",Sat,Wisconsin,56,@,San Jose State,10,
139,140,4,"Sep 13, 1997",Sat,Wyoming,35,@,Hawaii,6,
140,141,5,"Sep 18, 1997",Thu,Pittsburgh,21,,Miami (FL),17,
141,142,5,"Sep 20, 1997",Sat,Air Force,24,@,Colorado State,0,
142,143,5,"Sep 20, 1997",Sat,Alabama-Birmingham,34,,Jacksonville State,16,
143,144,5,"Sep 20, 1997",Sat,Arkansas,17,@,Alabama,16,
144,145,5,"Sep 20, 1997",Sat,Auburn,31,@,Louisiana State,28,
145,146,5,"Sep 20, 1997",Sat,Boise State,24,,Weber State,7,
146,147,5,"Sep 20, 1997",Sat,Boston College,35,@,Rutgers,21,
147,148,5,"Sep 20, 1997",Sat,Bowling Green State,31,@,Akron,28,
148,149,5,"Sep 20, 1997",Sat,Brigham Young,13,@,Arizona State,10,
149,150,5,"Sep 20, 1997",Sat,California,40,,Oklahoma,36,
150,151,5,"Sep 20, 1997",Sat,Central Florida,41,,Idaho,10,
151,152,5,"Sep 20, 1997",Sat,Cincinnati,34,,Kansas,7,
152,153,5,"Sep 20, 1997",Sat,Duke,20,,Army,17,
153,154,5,"Sep 20, 1997",Sat,Florida,33,,Tennessee,20,
154,155,5,"Sep 20, 1997",Sat,Florida State,35,@,Clemson,28,
155,156,5,"Sep 20, 1997",Sat,Georgia,42,,Louisiana-Monroe,3,
156,157,5,"Sep 20, 1997",Sat,Georgia Tech,28,@,Wake Forest,26,
157,158,5,"Sep 20, 1997",Sat,Iowa,63,@,Iowa State,20,
158,159,5,"Sep 20, 1997",Sat,Kent State,41,@,Eastern Michigan,38,
159,160,5,"Sep 20, 1997",Sat,Kentucky,49,@,Indiana,7,
160,161,5,"Sep 20, 1997",Sat,Louisiana Tech,56,,Central Michigan,28,
161,162,5,"Sep 20, 1997",Sat,Marshall,48,,Western Illinois,7,
162,163,5,"Sep 20, 1997",Sat,Michigan,38,,Baylor,3,
163,164,5,"Sep 20, 1997",Sat,Michigan State,23,@,Notre Dame,7,
164,165,5,"Sep 20, 1997",Sat,Minnesota,20,@,Memphis,17,
165,166,5,"Sep 20, 1997",Sat,Missouri,42,@,Tulsa,21,
166,167,5,"Sep 20, 1997",Sat,Navy,46,@,Southern Methodist,16,
167,168,5,"Sep 20, 1997",Sat,Nebraska,27,@,Washington,14,
168,169,5,"Sep 20, 1997",Sat,Nevada-Las Vegas,25,,Hawaii,15,
169,170,5,"Sep 20, 1997",Sat,New Mexico,25,@,Utah State,22,
170,171,5,"Sep 20, 1997",Sat,North Carolina,40,@,Maryland,14,
171,172,5,"Sep 20, 1997",Sat,North Carolina State,41,,Northern Illinois,14,
172,173,5,"Sep 20, 1997",Sat,North Texas,30,@,Texas Tech,27,
173,174,5,"Sep 20, 1997",Sat,Ohio,50,,Buffalo,0,
174,175,5,"Sep 20, 1997",Sat,Ohio State,28,,Arizona,20,
175,176,5,"Sep 20, 1997",Sat,Oregon,43,,Fresno State,40,
176,177,5,"Sep 20, 1997",Sat,Penn State,57,@,Louisville,21,
177,178,5,"Sep 20, 1997",Sat,Purdue,28,,Ball State,14,
178,179,5,"Sep 20, 1997",Sat,Rice,40,@,Northwestern,34,
