,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 24, 1996",Sat,Brigham Young,41,,Texas A&M;,37,"Pigskin Classic (Provo, UT)"
1,2,1,"Aug 25, 1996",Sun,Penn State,24,,Southern California,7,"Kick-off Classic (East Rutherford, NJ)"
2,3,2,"Aug 29, 1996",Thu,Central Florida,39,,William & Mary,33,
3,4,2,"Aug 29, 1996",Thu,Eastern Illinois,28,@,Western Michigan,20,
4,5,2,"Aug 29, 1996",Thu,Kansas,35,,Ball State,10,
5,6,2,"Aug 29, 1996",Thu,Louisiana-Monroe,14,,Nicholls State,12,
6,7,2,"Aug 29, 1996",Thu,New Mexico,28,@,New Mexico State,7,
7,8,2,"Aug 29, 1996",Thu,Ohio,44,,Akron,14,
8,9,2,"Aug 29, 1996",Thu,Wake Forest,19,,Appalachian State,13,
9,10,2,"Aug 30, 1996",Fri,Tulane,34,@,Cincinnati,14,
10,11,2,"Aug 31, 1996",Sat,Air Force,45,,San Jose State,0,
11,12,2,"Aug 31, 1996",Sat,Alabama,21,,Bowling Green State,7,"Birmingham, AL"
12,13,2,"Aug 31, 1996",Sat,Arizona,23,,Texas-El Paso,3,
13,14,2,"Aug 31, 1996",Sat,Auburn,29,,Alabama-Birmingham,0,
14,15,2,"Aug 31, 1996",Sat,Boston College,24,@,Hawaii,21,
15,16,2,"Aug 31, 1996",Sat,Brigham Young,58,,Arkansas State,9,
16,17,2,"Aug 31, 1996",Sat,Central Michigan,42,@,Boise State,21,
17,18,2,"Aug 31, 1996",Sat,Colorado,37,,Washington State,19,
18,19,2,"Aug 31, 1996",Sat,Colorado State,61,,Chattanooga,19,
19,20,2,"Aug 31, 1996",Sat,Florida,55,,Louisiana-Lafayette,21,
20,21,2,"Aug 31, 1996",Sat,Houston,43,,Sam Houston State,25,
21,22,2,"Aug 31, 1996",Sat,Kansas State,21,,Texas Tech,14,
22,23,2,"Aug 31, 1996",Sat,Louisiana Tech,20,,Middle Tennessee State,0,
23,24,2,"Aug 31, 1996",Sat,Louisville,38,@,Kentucky,14,
24,25,2,"Aug 31, 1996",Sat,Maryland,30,,Northern Illinois,6,
25,26,2,"Aug 31, 1996",Sat,Miami (FL),30,@,Memphis,7,
26,27,2,"Aug 31, 1996",Sat,Miami (OH),64,,Kent State,6,
27,28,2,"Aug 31, 1996",Sat,Michigan,20,,Illinois,8,
28,29,2,"Aug 31, 1996",Sat,Michigan State,52,,Purdue,14,
