,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 30, 1987",Sun,Tennessee,23,,Iowa,22,"Kick-off Classic (East Rutherford, NJ)"
1,2,2,"Sep 2, 1987",Wed,Pittsburgh,27,@,Brigham Young,17,
2,3,2,"Sep 5, 1987",Sat,Alabama,38,,Southern Mississippi,6,"Birmingham, AL"
3,4,2,"Sep 5, 1987",Sat,Auburn,31,,Texas,3,
4,5,2,"Sep 5, 1987",Sat,Austin Peay,26,@,Kansas State,22,
5,6,2,"Sep 5, 1987",Sat,Baylor,13,,Louisiana Tech,3,
6,7,2,"Sep 5, 1987",Sat,Boston College,38,,Texas Christian,20,
7,8,2,"Sep 5, 1987",Sat,California,42,,Pacific,0,
8,9,2,"Sep 5, 1987",Sat,Clemson,43,,Western Carolina,0,
9,10,2,"Sep 5, 1987",Sat,Duke,41,,Colgate,6,
10,11,2,"Sep 5, 1987",Sat,East Carolina,32,@,North Carolina State,14,
11,12,2,"Sep 5, 1987",Sat,Eastern Michigan,35,,Youngstown State,20,
12,13,2,"Sep 5, 1987",Sat,Florida State,40,,Texas Tech,16,
13,14,2,"Sep 5, 1987",Sat,Georgia,30,,Virginia,22,
14,15,2,"Sep 5, 1987",Sat,Hawaii,44,,Cal State Fullerton,0,
15,16,2,"Sep 5, 1987",Sat,Long Beach State,51,,Montana State,15,
16,17,2,"Sep 5, 1987",Sat,Louisiana State,17,@,Texas A&M;,3,
17,18,2,"Sep 5, 1987",Sat,Louisville,42,,Tulane,40,
18,19,2,"Sep 5, 1987",Sat,Memphis,16,,Mississippi,10,
19,20,2,"Sep 5, 1987",Sat,Miami (FL),31,,Florida,4,
20,21,2,"Sep 5, 1987",Sat,Miami (OH),15,@,Central Michigan,6,
21,22,2,"Sep 5, 1987",Sat,Mississippi State,31,,Louisiana-Lafayette,3,
22,23,2,"Sep 5, 1987",Sat,Nebraska,56,,Utah State,12,
23,24,2,"Sep 5, 1987",Sat,North Carolina,34,,Illinois,14,
24,25,2,"Sep 5, 1987",Sat,Oklahoma,69,,North Texas,14,
25,26,2,"Sep 5, 1987",Sat,Oklahoma State,39,,Tulsa,28,
26,27,2,"Sep 5, 1987",Sat,Penn State,45,,Bowling Green State,19,
27,28,2,"Sep 5, 1987",Sat,Rice,34,,Lamar,30,
28,29,2,"Sep 5, 1987",Sat,Rutgers,10,@,Cincinnati,7,
29,30,2,"Sep 5, 1987",Sat,San Jose State,24,,Eastern Illinois,3,
30,31,2,"Sep 5, 1987",Sat,South Carolina,24,,Appalachian State,3,
31,32,2,"Sep 5, 1987",Sat,Syracuse,25,,Maryland,11,
32,33,2,"Sep 5, 1987",Sat,Temple,13,@,Toledo,12,
33,34,2,"Sep 5, 1987",Sat,Tennessee,49,,Colorado State,3,
34,35,2,"Sep 5, 1987",Sat,Texas-El Paso,31,,New Mexico State,0,
35,36,2,"Sep 5, 1987",Sat,UCLA,47,,San Diego State,14,
36,37,2,"Sep 5, 1987",Sat,Utah,24,,New Mexico,20,
37,38,2,"Sep 5, 1987",Sat,Washington,31,,Stanford,21,
38,39,2,"Sep 5, 1987",Sat,Washington State,41,,Fresno State,24,
39,40,2,"Sep 5, 1987",Sat,West Virginia,23,,Ohio,3,
40,41,2,"Sep 5, 1987",Sat,Western Michigan,24,,Akron,19,
41,42,2,"Sep 5, 1987",Sat,Wyoming,27,,Air Force,13,
42,43,2,"Sep 7, 1987",Mon,Michigan State,27,,Southern California,13,
43,44,3,"Sep 12, 1987",Sat,Air Force,21,,Texas Christian,10,
44,45,3,"Sep 12, 1987",Sat,Alabama,24,@,Penn State,13,
45,46,3,"Sep 12, 1987",Sat,Arizona State,21,@,Illinois,7,
46,47,3,"Sep 12, 1987",Sat,Arkansas,31,@,Mississippi,10,"Jackson, MS"
