,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 2, 1982",Thu,Brigham Young,27,@,Nevada-Las Vegas,0,
1,2,1,"Sep 4, 1982",Sat,Abilene Christian,33,@,West Texas A&M;,29,
2,3,1,"Sep 4, 1982",Sat,Arizona State,34,@,Oregon,3,
3,4,1,"Sep 4, 1982",Sat,Baylor,21,,North Texas,17,
4,5,1,"Sep 4, 1982",Sat,Boston College,38,@,Texas A&M;,16,
5,6,1,"Sep 4, 1982",Sat,Bowling Green State,40,,Ohio,0,
6,7,1,"Sep 4, 1982",Sat,Cal State Fullerton,19,,Northern Arizona,15,
7,8,1,"Sep 4, 1982",Sat,Central Michigan,35,,Indiana State,10,
8,9,1,"Sep 4, 1982",Sat,Drake,40,,Northern Iowa,13,
9,10,1,"Sep 4, 1982",Sat,Duke,25,@,Tennessee,24,
10,11,1,"Sep 4, 1982",Sat,Eastern Illinois,27,,Illinois State,14,
11,12,1,"Sep 4, 1982",Sat,Florida,17,,Miami (FL),14,
12,13,1,"Sep 4, 1982",Sat,Florida State,38,,Cincinnati,31,
13,14,1,"Sep 4, 1982",Sat,Illinois,49,,Northwestern,13,
14,15,1,"Sep 4, 1982",Sat,Louisville,20,,Western Kentucky,10,
15,16,1,"Sep 4, 1982",Sat,Marshall,30,,Kent State,21,
16,17,1,"Sep 4, 1982",Sat,Mississippi,27,,Memphis,10,
17,18,1,"Sep 4, 1982",Sat,Mississippi State,30,@,Tulane,21,
18,19,1,"Sep 4, 1982",Sat,Missouri,28,,Colorado State,14,
19,20,1,"Sep 4, 1982",Sat,New Mexico,41,@,Wyoming,20,
20,21,1,"Sep 4, 1982",Sat,North Carolina State,26,,Furman,0,
21,22,1,"Sep 4, 1982",Sat,Penn State,31,,Temple,14,
22,23,1,"Sep 4, 1982",Sat,South Carolina,41,,Pacific,6,
23,24,1,"Sep 4, 1982",Sat,Southern Illinois,38,@,Western Illinois,7,
24,25,1,"Sep 4, 1982",Sat,Southern Mississippi,45,,Louisiana-Monroe,27,
25,26,1,"Sep 4, 1982",Sat,Syracuse,31,@,Rutgers,8,"East Rutherford, NJ"
26,27,1,"Sep 4, 1982",Sat,Texas-El Paso,20,@,New Mexico State,17,
27,28,1,"Sep 4, 1982",Sat,Toledo,9,,Northern Illinois,3,
28,29,1,"Sep 4, 1982",Sat,Tulsa,35,,Air Force,17,
29,30,1,"Sep 4, 1982",Sat,Utah,30,,Montana State,12,
30,31,1,"Sep 4, 1982",Sat,Virginia Tech,20,@,Richmond,9,
31,32,1,"Sep 4, 1982",Sat,Wake Forest,31,,Western Carolina,10,
32,33,1,"Sep 4, 1982",Sat,Western Michigan,28,,Grand Valley State,3,
33,34,1,"Sep 4, 1982",Sat,Wichita State,51,,Missouri-Rolla,14,
34,35,1,"Sep 6, 1982",Mon,Georgia,13,,Clemson,7,
35,36,2,"Sep 9, 1982",Thu,Pittsburgh,7,,North Carolina,6,"Pittsburgh, PA"
36,37,2,"Sep 11, 1982",Sat,Air Force,44,,San Diego State,32,
37,38,2,"Sep 11, 1982",Sat,Akron,14,,Eastern Michigan,7,
38,39,2,"Sep 11, 1982",Sat,Alabama,45,@,Georgia Tech,7,
39,40,2,"Sep 11, 1982",Sat,Arizona,38,,Oregon State,12,
40,41,2,"Sep 11, 1982",Sat,Arizona State,23,,Utah,10,
41,42,2,"Sep 11, 1982",Sat,Arkansas,38,,Tulsa,0,
42,43,2,"Sep 11, 1982",Sat,Auburn,28,,Wake Forest,10,
43,44,2,"Sep 11, 1982",Sat,Boise State,20,,Cal State Fullerton,9,
