,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 31, 2006",Thu,Arizona State,35,,Northern Arizona,14,
1,2,1,"Aug 31, 2006",Thu,Ball State,38,,Eastern Michigan,20,
2,3,1,"Aug 31, 2006",Thu,Boise State,45,,Sacramento State,0,
3,4,1,"Aug 31, 2006",Thu,Boston College,31,@,Central Michigan,24,
4,5,1,"Aug 31, 2006",Thu,Buffalo,9,,Temple,3,
5,6,1,"Aug 31, 2006",Thu,Connecticut,52,,Rhode Island,7,
6,7,1,"Aug 31, 2006",Thu,Iowa State,45,,Toledo,43,
7,8,1,"Aug 31, 2006",Thu,Louisiana-Monroe,24,,Alcorn State,6,
8,9,1,"Aug 31, 2006",Thu,Middle Tennessee State,7,,Florida International,6,
9,10,1,"Aug 31, 2006",Thu,Minnesota,44,@,Kent State,0,
10,11,1,"Aug 31, 2006",Thu,New Mexico State,30,,Southeastern Louisiana,15,
11,12,1,"Aug 31, 2006",Thu,Northwestern,21,@,Miami (OH),3,
12,13,1,"Aug 31, 2006",Thu,Oregon State,56,,Eastern Washington,17,
13,14,1,"Aug 31, 2006",Thu,South Carolina,15,@,Mississippi State,0,
14,15,1,"Aug 31, 2006",Thu,Texas-El Paso,34,@,San Diego State,27,
15,16,1,"Aug 31, 2006",Thu,Tulsa,45,,Stephen F. Austin,7,
16,17,1,"Sep 1, 2006",Fri,Fresno State,28,,Nevada,19,
17,18,1,"Sep 2, 2006",Sat,Alabama,25,,Hawaii,17,
18,19,1,"Sep 2, 2006",Sat,Arizona,16,,Brigham Young,13,
19,20,1,"Sep 2, 2006",Sat,Arkansas State,14,,Army,6,
20,21,1,"Sep 2, 2006",Sat,Auburn,40,,Washington State,14,
21,22,1,"Sep 2, 2006",Sat,Central Florida,35,,Villanova,16,
22,23,1,"Sep 2, 2006",Sat,Cincinnati,31,,Eastern Kentucky,0,
23,24,1,"Sep 2, 2006",Sat,Clemson,54,,Florida Atlantic,6,
24,25,1,"Sep 2, 2006",Sat,Colorado State,30,,Weber State,6,
25,26,1,"Sep 2, 2006",Sat,Florida,34,,Southern Mississippi,7,
26,27,1,"Sep 2, 2006",Sat,Georgia,48,,Western Kentucky,12,
27,28,1,"Sep 2, 2006",Sat,Houston,31,@,Rice,30,
28,29,1,"Sep 2, 2006",Sat,Illinois,42,,Eastern Illinois,17,
29,30,1,"Sep 2, 2006",Sat,Indiana,39,,Western Michigan,20,
30,31,1,"Sep 2, 2006",Sat,Iowa,41,,Montana,7,
31,32,1,"Sep 2, 2006",Sat,Kansas,49,,Northwestern State,18,
32,33,1,"Sep 2, 2006",Sat,Kansas State,24,,Illinois State,23,
33,34,1,"Sep 2, 2006",Sat,Louisiana State,45,,Louisiana-Lafayette,3,
