,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 2, 1977",Fri,Penn State,45,@,Rutgers,7,"East Rutherford, NJ"
1,2,1,"Sep 3, 1977",Sat,Central Michigan,37,,Alcorn State,7,
2,3,1,"Sep 3, 1977",Sat,Citadel,7,,Wofford,0,
3,4,1,"Sep 3, 1977",Sat,East Carolina,28,@,North Carolina State,23,
4,5,1,"Sep 3, 1977",Sat,Eastern Michigan,25,@,Northern Illinois,2,
5,6,1,"Sep 3, 1977",Sat,Illinois State,20,,Eastern Illinois,0,
6,7,1,"Sep 3, 1977",Sat,Jackson State,17,,Alabama State,6,
7,8,1,"Sep 3, 1977",Sat,Jacksonville State,21,@,Western Carolina,16,
8,9,1,"Sep 3, 1977",Sat,Louisiana-Lafayette,48,,Tulsa,21,
9,10,1,"Sep 3, 1977",Sat,Mississippi,7,,Memphis,3,"Jackson, MS"
10,11,1,"Sep 3, 1977",Sat,Mississippi State,17,,North Texas,15,
11,12,1,"Sep 3, 1977",Sat,Mississippi Valley State,27,,Bishop,10,
12,13,1,"Sep 3, 1977",Sat,New Mexico State,29,,Southern Illinois,7,
13,14,1,"Sep 3, 1977",Sat,Northwestern State,28,@,Texas-Arlington,24,
14,15,1,"Sep 3, 1977",Sat,South Carolina,32,,Appalachian State,17,
15,16,1,"Sep 3, 1977",Sat,Southern,13,,Tuskegee,7,
16,17,1,"Sep 3, 1977",Sat,Southern Mississippi,42,@,Troy,19,"Montgomery, AL"
17,18,1,"Sep 3, 1977",Sat,Tennessee State,27,,Middle Tennessee State,0,
18,19,1,"Sep 3, 1977",Sat,Texas Southern,14,,Bethune-Cookman,0,
19,20,1,"Sep 3, 1977",Sat,Wichita State,14,,West Texas A&M;,10,
20,21,1,"Sep 3, 1977",Sat,William & Mary,27,,Norfolk State,13,
21,22,2,"Sep 10, 1977",Sat,Air Force,0,,Wyoming,0,
22,23,2,"Sep 10, 1977",Sat,Alabama,34,,Mississippi,13,"Birmingham, AL"
23,24,2,"Sep 10, 1977",Sat,Arkansas,53,,New Mexico State,10,"Little Rock, AR"
24,25,2,"Sep 10, 1977",Sat,Arkansas State,31,@,Drake,29,
25,26,2,"Sep 10, 1977",Sat,Army,34,,Massachusetts,10,
26,27,2,"Sep 10, 1977",Sat,Auburn,21,,Arizona,10,
27,28,2,"Sep 10, 1977",Sat,Ball State,43,@,Toledo,3,
28,29,2,"Sep 10, 1977",Sat,Bowling Green State,17,@,Grand Valley State,6,
29,30,2,"Sep 10, 1977",Sat,Brigham Young,39,,Kansas State,0,
30,31,2,"Sep 10, 1977",Sat,California,27,@,Tennessee,17,
31,32,2,"Sep 10, 1977",Sat,Central Michigan,9,,Eastern Michigan,3,
32,33,2,"Sep 10, 1977",Sat,Chattanooga,27,@,Western Kentucky,3,
33,34,2,"Sep 10, 1977",Sat,Cincinnati,41,,Northwestern State,0,
34,35,2,"Sep 10, 1977",Sat,Colgate,23,,Rutgers,0,
35,36,2,"Sep 10, 1977",Sat,Colorado,27,,Stanford,21,
36,37,2,"Sep 10, 1977",Sat,Colorado State,20,@,Pacific,3,
37,38,2,"Sep 10, 1977",Sat,East Carolina,17,@,Duke,16,
38,39,2,"Sep 10, 1977",Sat,Florida State,35,@,Southern Mississippi,6,
39,40,2,"Sep 10, 1977",Sat,Georgia,27,,Oregon,16,
40,41,2,"Sep 10, 1977",Sat,Grambling State,42,@,Alcorn State,17,
41,42,2,"Sep 10, 1977",Sat,Iowa,24,,Northwestern,0,
42,43,2,"Sep 10, 1977",Sat,Iowa State,35,,Wichita State,9,
43,44,2,"Sep 10, 1977",Sat,Kent State,33,,Illinois State,14,
44,45,2,"Sep 10, 1977",Sat,Kentucky,10,,North Carolina,7,
45,46,2,"Sep 10, 1977",Sat,Lamar,21,,Louisiana-Monroe,7,
46,47,2,"Sep 10, 1977",Sat,Louisiana-Lafayette,34,@,Fresno State,13,
