,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 14, 1968",Sat,California-Santa Barbara,14,,Texas-El Paso,14,
1,2,1,"Sep 14, 1968",Sat,Colorado State,21,@,New Mexico,13,
2,3,1,"Sep 14, 1968",Sat,Dayton,24,,Kent State,10,
3,4,1,"Sep 14, 1968",Sat,East Carolina,37,,Parsons,7,
4,5,1,"Sep 14, 1968",Sat,Georgia,17,,Tennessee,17,
5,6,1,"Sep 14, 1968",Sat,Houston,54,,Tulane,7,
6,7,1,"Sep 14, 1968",Sat,Iowa State,28,,Buffalo,10,
7,8,1,"Sep 14, 1968",Sat,Miami (OH),28,@,Xavier,7,
8,9,1,"Sep 14, 1968",Sat,Mississippi College,21,,Furman,12,
9,10,1,"Sep 14, 1968",Sat,Montana State,17,,Idaho,14,"Great Falls, MT"
10,11,1,"Sep 14, 1968",Sat,Morehead State,7,,Marshall,7,
11,12,1,"Sep 14, 1968",Sat,Nebraska,13,,Wyoming,10,
12,13,1,"Sep 14, 1968",Sat,North Carolina State,10,@,Wake Forest,6,
13,14,1,"Sep 14, 1968",Sat,Northern Illinois,40,@,Ball State,20,
14,15,1,"Sep 14, 1968",Sat,Toledo,31,,Richmond,14,
15,16,1,"Sep 14, 1968",Sat,Utah State,28,,New Mexico State,12,
16,17,1,"Sep 14, 1968",Sat,West Texas A&M;,45,,Lamar,7,
17,18,1,"Sep 14, 1968",Sat,Western Michigan,20,,Arkansas State,0,
18,19,2,"Sep 20, 1968",Fri,Miami (FL),28,,Northwestern,7,
19,20,2,"Sep 20, 1968",Fri,San Diego State,40,,Northern Illinois,21,
20,21,2,"Sep 21, 1968",Sat,Alabama,14,,Virginia Tech,7,"Birmingham, AL"
21,22,2,"Sep 21, 1968",Sat,Arizona,21,@,Iowa State,12,
22,23,2,"Sep 21, 1968",Sat,Arizona State,55,,Wisconsin,7,
23,24,2,"Sep 21, 1968",Sat,Arkansas,32,,Oklahoma State,15,"Little Rock, AR"
