,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 12, 1964",Sat,Furman,13,,Mississippi College,10,
1,2,1,"Sep 12, 1964",Sat,Houston,34,,Trinity (Texas),7,
2,3,1,"Sep 12, 1964",Sat,UCLA,17,@,Pittsburgh,12,
3,4,2,"Sep 18, 1964",Fri,Southern California,21,,Colorado,0,
4,5,2,"Sep 19, 1964",Sat,Air Force,3,@,Washington,2,
5,6,2,"Sep 19, 1964",Sat,Alabama,31,,Georgia,3,
6,7,2,"Sep 19, 1964",Sat,Arizona State,24,,Utah State,8,
7,8,2,"Sep 19, 1964",Sat,Arkansas,14,,Oklahoma State,10,"Little Rock, AR"
8,9,2,"Sep 19, 1964",Sat,Army,34,,Citadel,0,
9,10,2,"Sep 19, 1964",Sat,Auburn,30,,Houston,0,
10,11,2,"Sep 19, 1964",Sat,Boston College,21,,Syracuse,14,
11,12,2,"Sep 19, 1964",Sat,Bowling Green State,35,,Southern Illinois,12,
12,13,2,"Sep 19, 1964",Sat,Buffalo,35,@,Boston University,0,
13,14,2,"Sep 19, 1964",Sat,California,21,,Missouri,14,
14,15,2,"Sep 19, 1964",Sat,Clemson,28,,Furman,0,
15,16,2,"Sep 19, 1964",Sat,Dayton,41,,St. Joseph's (Indiana),0,
16,17,2,"Sep 19, 1964",Sat,Duke,9,,South Carolina,9,
17,18,2,"Sep 19, 1964",Sat,Florida,24,,Southern Methodist,8,
18,19,2,"Sep 19, 1964",Sat,Florida State,14,@,Miami (FL),0,
19,20,2,"Sep 19, 1964",Sat,Georgia Tech,14,,Vanderbilt,2,
20,21,2,"Sep 19, 1964",Sat,Idaho,3,@,San Jose State,0,
21,22,2,"Sep 19, 1964",Sat,Iowa State,25,,Drake,0,
22,23,2,"Sep 19, 1964",Sat,Kansas,7,,Texas Christian,3,
23,24,2,"Sep 19, 1964",Sat,Kentucky,13,,Detroit Mercy,6,
24,25,2,"Sep 19, 1964",Sat,Louisiana State,9,,Texas A&M;,6,
25,26,2,"Sep 19, 1964",Sat,Miami (OH),7,,Xavier,7,
26,27,2,"Sep 19, 1964",Sat,Mississippi,30,,Memphis,0,
27,28,2,"Sep 19, 1964",Sat,Morehead State,6,,Marshall,0,
28,29,2,"Sep 19, 1964",Sat,Navy,21,@,Penn State,8,
29,30,2,"Sep 19, 1964",Sat,Nebraska,56,,South Dakota,0,
30,31,2,"Sep 19, 1964",Sat,New Mexico State,3,,Texas-Arlington,0,
31,32,2,"Sep 19, 1964",Sat,North Carolina State,14,@,North Carolina,13,
32,33,2,"Sep 19, 1964",Sat,Northwestern,7,,Oregon State,3,
33,34,2,"Sep 19, 1964",Sat,Ohio,16,@,West Texas A&M;,14,
34,35,2,"Sep 19, 1964",Sat,Oklahoma,13,@,Maryland,3,
35,36,2,"Sep 19, 1964",Sat,Oregon,20,,Brigham Young,13,
36,37,2,"Sep 19, 1964",Sat,Pacific,23,,Montana,7,
37,38,2,"Sep 19, 1964",Sat,Tennessee,10,,Chattanooga,6,
38,39,2,"Sep 19, 1964",Sat,Texas,31,,Tulane,0,
39,40,2,"Sep 19, 1964",Sat,Texas Tech,21,,Mississippi State,7,
40,41,2,"Sep 19, 1964",Sat,Texas-El Paso,0,,North Texas,0,
41,42,2,"Sep 19, 1964",Sat,Utah,16,,New Mexico,0,
42,43,2,"Sep 19, 1964",Sat,Villanova,22,@,Toledo,6,
43,44,2,"Sep 19, 1964",Sat,Virginia Tech,18,@,Tampa,14,
44,45,2,"Sep 19, 1964",Sat,Wake Forest,31,@,Virginia,21,
45,46,2,"Sep 19, 1964",Sat,Washington State,29,,Stanford,23,"Spokane, WA"
46,47,2,"Sep 19, 1964",Sat,West Virginia,20,@,Richmond,10,
47,48,2,"Sep 19, 1964",Sat,Western Michigan,10,@,Louisville,7,
48,49,2,"Sep 19, 1964",Sat,Wichita State,21,,Montana State,6,
49,50,2,"Sep 19, 1964",Sat,William & Mary,14,@,Virginia Military Institute,12,
50,51,2,"Sep 19, 1964",Sat,Wisconsin,17,,Kansas State,7,
51,52,2,"Sep 19, 1964",Sat,Wyoming,31,,Colorado State,7,
52,53,3,"Sep 24, 1964",Thu,Washington,35,,Baylor,14,
53,54,3,"Sep 25, 1964",Fri,Detroit Mercy,22,,Toledo,6,
54,55,3,"Sep 25, 1964",Fri,Houston,10,,Texas A&M;,0,
55,56,3,"Sep 26, 1964",Sat,Alabama,36,,Tulane,6,"Mobile, AL"
56,57,3,"Sep 26, 1964",Sat,Arizona,39,,Brigham Young,6,
57,58,3,"Sep 26, 1964",Sat,Arizona State,34,@,West Texas A&M;,8,
58,59,3,"Sep 26, 1964",Sat,Arkansas,31,,Tulsa,22,
59,60,3,"Sep 26, 1964",Sat,Army,19,,Boston College,13,
60,61,3,"Sep 26, 1964",Sat,Auburn,3,,Tennessee,0,"Birmingham, AL"
61,62,3,"Sep 26, 1964",Sat,Boston University,15,,George Washington,7,
62,63,3,"Sep 26, 1964",Sat,Bowling Green State,21,@,North Texas,7,
63,64,3,"Sep 26, 1964",Sat,Brown,20,,Lafayette,3,
64,65,3,"Sep 26, 1964",Sat,Buffalo,9,,Cornell,9,
65,66,3,"Sep 26, 1964",Sat,Central Michigan,18,@,Western Michigan,6,
66,67,3,"Sep 26, 1964",Sat,Cincinnati,20,,Dayton,10,
67,68,3,"Sep 26, 1964",Sat,Colorado State,7,,Pacific,0,
68,69,3,"Sep 26, 1964",Sat,Columbia,21,,Colgate,14,
69,70,3,"Sep 26, 1964",Sat,Dartmouth,40,@,New Hampshire,0,
70,71,3,"Sep 26, 1964",Sat,Davidson,17,,Mississippi College,14,
71,72,3,"Sep 26, 1964",Sat,Duke,30,,Virginia,0,
72,73,3,"Sep 26, 1964",Sat,Florida,16,@,Mississippi State,13,"Jackson, MS"
73,74,3,"Sep 26, 1964",Sat,Florida State,10,@,Texas Christian,0,
74,75,3,"Sep 26, 1964",Sat,Georgia,7,@,Vanderbilt,0,
75,76,3,"Sep 26, 1964",Sat,Georgia Tech,20,,Miami (FL),0,
76,77,3,"Sep 26, 1964",Sat,Harvard,20,,Massachusetts,14,
77,78,3,"Sep 26, 1964",Sat,Illinois,20,@,California,14,
78,79,3,"Sep 26, 1964",Sat,Iowa,34,,Idaho,24,
