,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 11, 1965",Sat,Tulsa,14,@,Houston,0,
1,2,1,"Sep 11, 1965",Sat,Utah,28,,Montana,13,
2,3,1,"Sep 11, 1965",Sat,Utah State,31,,Hawaii,12,
3,4,2,"Sep 17, 1965",Fri,Minnesota,20,,Southern California,20,
4,5,2,"Sep 17, 1965",Fri,Stanford,26,,San Jose State,6,
5,6,2,"Sep 18, 1965",Sat,Arizona,16,@,Utah,9,
6,7,2,"Sep 18, 1965",Sat,Arkansas,28,,Oklahoma State,14,"Little Rock, AR"
7,8,2,"Sep 18, 1965",Sat,Baylor,14,@,Auburn,8,
8,9,2,"Sep 18, 1965",Sat,Boston College,18,,Buffalo,6,
9,10,2,"Sep 18, 1965",Sat,Bowling Green State,21,,Cal State Los Angeles,0,
10,11,2,"Sep 18, 1965",Sat,Brigham Young,24,@,Arizona State,6,
11,12,2,"Sep 18, 1965",Sat,Cincinnati,28,,Dayton,0,
12,13,2,"Sep 18, 1965",Sat,Clemson,21,,North Carolina State,7,
13,14,2,"Sep 18, 1965",Sat,Colgate,40,,Lafayette,0,
14,15,2,"Sep 18, 1965",Sat,Colorado,0,,Wisconsin,0,
15,16,2,"Sep 18, 1965",Sat,Colorado State,54,,Hawaii,6,
16,17,2,"Sep 18, 1965",Sat,Davidson,35,,Presbyterian,0,
17,18,2,"Sep 18, 1965",Sat,Duke,21,@,Virginia,7,
18,19,2,"Sep 18, 1965",Sat,Florida,24,@,Northwestern,14,
19,20,2,"Sep 18, 1965",Sat,Furman,51,,Frederick,14,
20,21,2,"Sep 18, 1965",Sat,George Washington,21,@,Temple,13,
21,22,2,"Sep 18, 1965",Sat,Georgia,18,,Alabama,17,
22,23,2,"Sep 18, 1965",Sat,Georgia Tech,10,,Vanderbilt,10,
23,24,2,"Sep 18, 1965",Sat,Indiana,19,,Kansas State,7,
24,25,2,"Sep 18, 1965",Sat,Iowa State,21,,Drake,0,
25,26,2,"Sep 18, 1965",Sat,Kentucky,7,@,Missouri,0,
26,27,2,"Sep 18, 1965",Sat,Louisiana State,10,,Texas A&M;,0,
27,28,2,"Sep 18, 1965",Sat,Marshall,22,,Morehead State,12,
28,29,2,"Sep 18, 1965",Sat,Michigan,31,@,North Carolina,24,
29,30,2,"Sep 18, 1965",Sat,Michigan State,13,,UCLA,3,
30,31,2,"Sep 18, 1965",Sat,Mississippi,34,@,Memphis,14,
31,32,2,"Sep 18, 1965",Sat,Mississippi State,36,@,Houston,0,
32,33,2,"Sep 18, 1965",Sat,Nebraska,34,,Texas Christian,14,
33,34,2,"Sep 18, 1965",Sat,New Mexico State,27,@,Texas-Arlington,10,
34,35,2,"Sep 18, 1965",Sat,Notre Dame,48,@,California,6,
35,36,2,"Sep 18, 1965",Sat,Oregon,17,@,Pittsburgh,15,
36,37,2,"Sep 18, 1965",Sat,Oregon State,12,@,Illinois,10,
37,38,2,"Sep 18, 1965",Sat,Purdue,38,,Miami (OH),0,
38,39,2,"Sep 18, 1965",Sat,Rice,14,,Louisiana Tech,0,
39,40,2,"Sep 18, 1965",Sat,San Diego State,46,,Pacific,6,
40,41,2,"Sep 18, 1965",Sat,South Carolina,13,@,Citadel,3,
41,42,2,"Sep 18, 1965",Sat,Southern Methodist,7,@,Miami (FL),3,
42,43,2,"Sep 18, 1965",Sat,Southern Mississippi,15,,Southeastern Louisiana,0,
43,44,2,"Sep 18, 1965",Sat,Syracuse,14,@,Navy,6,
44,45,2,"Sep 18, 1965",Sat,Tennessee,21,,Army,0,
45,46,2,"Sep 18, 1965",Sat,Texas,31,,Tulane,0,
46,47,2,"Sep 18, 1965",Sat,Texas Tech,26,,Kansas,7,
47,48,2,"Sep 18, 1965",Sat,Texas-El Paso,61,,North Texas,15,
