,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 5, 1981",Sat,Alabama,24,@,Louisiana State,7,
1,2,1,"Sep 5, 1981",Sat,Appalachian State,48,,Lenoir-Rhyne,9,
2,3,1,"Sep 5, 1981",Sat,Auburn,24,,Texas Christian,16,
3,4,1,"Sep 5, 1981",Sat,Brigham Young,31,@,Long Beach State,8,
4,5,1,"Sep 5, 1981",Sat,Clemson,45,,Wofford,10,
5,6,1,"Sep 5, 1981",Sat,Drake,39,@,Northern Iowa,30,
6,7,1,"Sep 5, 1981",Sat,East Carolina,42,,Western Carolina,6,
7,8,1,"Sep 5, 1981",Sat,East Tennessee State,31,,Tennessee Tech,22,
8,9,1,"Sep 5, 1981",Sat,Florida State,17,,Louisville,0,
9,10,1,"Sep 5, 1981",Sat,Fresno State,23,,Oregon,16,
10,11,1,"Sep 5, 1981",Sat,Georgia,44,,Tennessee,0,
11,12,1,"Sep 5, 1981",Sat,Houston,21,,New Mexico,10,
12,13,1,"Sep 5, 1981",Sat,Illinois State,31,,Western Illinois,7,
13,14,1,"Sep 5, 1981",Sat,Kansas,15,@,Tulsa,11,
14,15,1,"Sep 5, 1981",Sat,Kentucky,28,,North Texas,6,
15,16,1,"Sep 5, 1981",Sat,Lamar,18,@,Baylor,17,
16,17,1,"Sep 5, 1981",Sat,Louisiana-Monroe,38,,Indiana State,8,
17,18,1,"Sep 5, 1981",Sat,McNeese State,27,,Southern Illinois,12,
18,19,1,"Sep 5, 1981",Sat,Miami (FL),21,,Florida,20,
19,20,1,"Sep 5, 1981",Sat,Mississippi,19,@,Tulane,18,
20,21,1,"Sep 5, 1981",Sat,Mississippi State,20,,Memphis,3,"Jackson, MS"
21,22,1,"Sep 5, 1981",Sat,Nevada-Las Vegas,16,@,San Jose State,6,
22,23,1,"Sep 5, 1981",Sat,New Mexico State,14,@,Texas-El Paso,7,
23,24,1,"Sep 5, 1981",Sat,North Carolina State,27,,Richmond,21,
24,25,1,"Sep 5, 1981",Sat,Pacific,10,,Central Michigan,3,
25,26,1,"Sep 5, 1981",Sat,Pittsburgh,26,,Illinois,6,
26,27,1,"Sep 5, 1981",Sat,Rutgers,29,@,Syracuse,27,
27,28,1,"Sep 5, 1981",Sat,South Carolina,23,@,Wake Forest,6,
28,29,1,"Sep 5, 1981",Sat,Southern Methodist,48,,Texas-Arlington,0,
29,30,1,"Sep 5, 1981",Sat,Southern Mississippi,33,,Louisiana-Lafayette,7,
30,31,1,"Sep 5, 1981",Sat,Temple,42,,William & Mary,0,
31,32,1,"Sep 5, 1981",Sat,Texas A&M;,29,@,California,28,
32,33,1,"Sep 5, 1981",Sat,Utah,10,,Utah State,0,
33,34,1,"Sep 5, 1981",Sat,West Texas A&M;,17,,Louisiana Tech,10,
34,35,1,"Sep 5, 1981",Sat,Wichita State,38,,Missouri Southern,6,
35,36,1,"Sep 5, 1981",Sat,Wyoming,38,,Cal State Fullerton,13,
36,37,1,"Sep 5, 1981",Sat,Youngstown State,19,@,Cincinnati,13,
37,38,2,"Sep 12, 1981",Sat,Akron,14,@,Eastern Michigan,7,
38,39,2,"Sep 12, 1981",Sat,Appalachian State,45,,James Madison,0,
39,40,2,"Sep 12, 1981",Sat,Arizona State,52,,Utah,10,
40,41,2,"Sep 12, 1981",Sat,Arkansas,14,,Tulsa,10,
41,42,2,"Sep 12, 1981",Sat,Arkansas State,35,@,Louisiana-Monroe,13,
42,43,2,"Sep 12, 1981",Sat,Ball State,24,,McNeese State,21,
43,44,2,"Sep 12, 1981",Sat,Baylor,38,,Bowling Green State,0,
44,45,2,"Sep 12, 1981",Sat,Brigham Young,45,,Air Force,21,
45,46,2,"Sep 12, 1981",Sat,Chattanooga,42,,Middle Tennessee State,19,
46,47,2,"Sep 12, 1981",Sat,Clemson,13,@,Tulane,5,
47,48,2,"Sep 12, 1981",Sat,Colorado,45,,Texas Tech,27,
48,49,2,"Sep 12, 1981",Sat,Drake,17,,Indiana State,14,
49,50,2,"Sep 12, 1981",Sat,Florida,35,,Furman,7,
50,51,2,"Sep 12, 1981",Sat,Florida State,10,,Memphis,5,
51,52,2,"Sep 12, 1981",Sat,Georgia,27,,California,13,
52,53,2,"Sep 12, 1981",Sat,Georgia Tech,24,@,Alabama,21,"Birmingham, AL"
53,54,2,"Sep 12, 1981",Sat,Holy Cross,14,,Boston University,6,
54,55,2,"Sep 12, 1981",Sat,Illinois,27,@,Michigan State,17,
55,56,2,"Sep 12, 1981",Sat,Indiana,21,@,Northwestern,20,
56,57,2,"Sep 12, 1981",Sat,Iowa,10,,Nebraska,7,
57,58,2,"Sep 12, 1981",Sat,Iowa State,17,,West Texas A&M;,13,
58,59,2,"Sep 12, 1981",Sat,Kansas,19,,Oregon,10,
59,60,2,"Sep 12, 1981",Sat,Kansas State,31,,South Dakota,10,
60,61,2,"Sep 12, 1981",Sat,Long Beach State,17,@,Northern Illinois,7,
61,62,2,"Sep 12, 1981",Sat,Louisiana Tech,31,,East Tennessee State,3,
62,63,2,"Sep 12, 1981",Sat,Louisville,31,,Toledo,6,
63,64,2,"Sep 12, 1981",Sat,Marshall,20,,Morehead State,17,
64,65,2,"Sep 12, 1981",Sat,Miami (OH),33,@,William & Mary,14,
65,66,2,"Sep 12, 1981",Sat,Minnesota,19,,Ohio,17,
66,67,2,"Sep 12, 1981",Sat,Mississippi,20,@,South Carolina,13,
67,68,2,"Sep 12, 1981",Sat,Missouri,24,,Army,10,
68,69,2,"Sep 12, 1981",Sat,Navy,17,,Citadel,7,
69,70,2,"Sep 12, 1981",Sat,Nevada-Las Vegas,49,,New Mexico,42,
70,71,2,"Sep 12, 1981",Sat,North Carolina,56,,East Carolina,0,
71,72,2,"Sep 12, 1981",Sat,North Carolina State,28,@,Wake Forest,23,
72,73,2,"Sep 12, 1981",Sat,Notre Dame,27,,Louisiana State,9,
73,74,2,"Sep 12, 1981",Sat,Ohio State,34,,Duke,13,
