,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 26, 1992",Wed,Texas A&M;,10,,Stanford,7,"Pigskin Classic (Anaheim, CA)"
1,2,1,"Aug 29, 1992",Sat,North Carolina State,24,,Iowa,14,"Kick-off Classic (East Rutherford, NJ)"
2,3,2,"Sep 3, 1992",Thu,Bowling Green State,29,,Western Michigan,19,
3,4,2,"Sep 3, 1992",Thu,Oklahoma,34,@,Texas Tech,9,
4,5,2,"Sep 5, 1992",Sat,Air Force,30,,Rice,21,
5,6,2,"Sep 5, 1992",Sat,Akron,27,@,Eastern Michigan,9,
6,7,2,"Sep 5, 1992",Sat,Alabama,25,,Vanderbilt,8,
7,8,2,"Sep 5, 1992",Sat,Arizona,49,,Utah State,3,
8,9,2,"Sep 5, 1992",Sat,Boston College,37,,Rutgers,20,
9,10,2,"Sep 5, 1992",Sat,Brigham Young,38,@,Texas-El Paso,28,
10,11,2,"Sep 5, 1992",Sat,Cal State Fullerton,28,,Cal State Northridge,7,
11,12,2,"Sep 5, 1992",Sat,California,46,,San Jose State,16,
12,13,2,"Sep 5, 1992",Sat,Citadel,10,@,Arkansas,3,
13,14,2,"Sep 5, 1992",Sat,Clemson,24,,Ball State,10,
14,15,2,"Sep 5, 1992",Sat,Colorado,37,,Colorado State,17,
15,16,2,"Sep 5, 1992",Sat,Florida State,48,,Duke,21,
16,17,2,"Sep 5, 1992",Sat,Fresno State,42,@,Pacific,21,
17,18,2,"Sep 5, 1992",Sat,Georgia,28,@,South Carolina,6,
18,19,2,"Sep 5, 1992",Sat,Hawaii,24,@,Oregon,21,
19,20,2,"Sep 5, 1992",Sat,Illinois,30,,Northern Illinois,14,
20,21,2,"Sep 5, 1992",Sat,Iowa State,35,,Ohio,9,
21,22,2,"Sep 5, 1992",Sat,Kansas,49,@,Oregon State,20,
22,23,2,"Sep 5, 1992",Sat,Kentucky,21,,Central Michigan,14,
23,24,2,"Sep 5, 1992",Sat,Louisiana Tech,10,@,Baylor,9,
24,25,2,"Sep 5, 1992",Sat,Miami (FL),24,@,Iowa,7,
25,26,2,"Sep 5, 1992",Sat,Miami (OH),29,,West Virginia,29,
26,27,2,"Sep 5, 1992",Sat,Mississippi,45,,Auburn,21,
27,28,2,"Sep 5, 1992",Sat,Mississippi State,28,@,Texas,10,
28,29,2,"Sep 5, 1992",Sat,Nebraska,49,,Utah,22,
29,30,2,"Sep 5, 1992",Sat,New Mexico,24,,Texas Christian,7,
30,31,2,"Sep 5, 1992",Sat,New Mexico State,37,,Weber State,21,
31,32,2,"Sep 5, 1992",Sat,North Carolina,35,@,Wake Forest,17,
32,33,2,"Sep 5, 1992",Sat,North Carolina State,35,,Appalachian State,10,
33,34,2,"Sep 5, 1992",Sat,Notre Dame,42,@,Northwestern,7,"Chicago, IL"
34,35,2,"Sep 5, 1992",Sat,Ohio State,20,,Louisville,19,
35,36,2,"Sep 5, 1992",Sat,Oklahoma State,35,,Indiana State,3,
36,37,2,"Sep 5, 1992",Sat,Penn State,24,@,Cincinnati,20,
37,38,2,"Sep 5, 1992",Sat,Pittsburgh,51,,Kent State,10,
38,39,2,"Sep 5, 1992",Sat,Southern California,31,,San Diego State,31,
