,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 18, 1953",Fri,Denver,19,@,Colorado College,13,
1,2,1,"Sep 18, 1953",Fri,Detroit Mercy,33,,North Dakota State,6,
2,3,1,"Sep 18, 1953",Fri,Furman,33,,Newberry,0,
3,4,1,"Sep 18, 1953",Fri,Richmond,28,,Randolph-Macon,0,
4,5,1,"Sep 18, 1953",Fri,San Jose State,34,,Idaho,6,
5,6,1,"Sep 18, 1953",Fri,Southern Mississippi,25,@,Alabama,19,"Montgomery, AL"
6,7,1,"Sep 18, 1953",Fri,UCLA,41,,Oregon State,0,
7,8,1,"Sep 19, 1953",Sat,Baylor,25,@,California,0,
8,9,1,"Sep 19, 1953",Sat,Brigham Young,27,,Montana,13,
9,10,1,"Sep 19, 1953",Sat,Cincinnati,14,@,Tulsa,7,
10,11,1,"Sep 19, 1953",Sat,Clemson,33,,Presbyterian,7,
11,12,1,"Sep 19, 1953",Sat,Colorado,21,@,Washington,20,
12,13,1,"Sep 19, 1953",Sat,Duke,20,@,South Carolina,7,
13,14,1,"Sep 19, 1953",Sat,Georgia,32,@,Villanova,19,"Philadelphia, PA"
14,15,1,"Sep 19, 1953",Sat,Georgia Tech,53,,Davidson,0,
15,16,1,"Sep 19, 1953",Sat,Iowa State,35,,South Dakota,0,
16,17,1,"Sep 19, 1953",Sat,Kansas State,50,,Drake,0,
17,18,1,"Sep 19, 1953",Sat,Louisiana State,20,,Texas,7,
18,19,1,"Sep 19, 1953",Sat,Marquette,46,,South Dakota State,13,
19,20,1,"Sep 19, 1953",Sat,Maryland,20,@,Missouri,6,
20,21,1,"Sep 19, 1953",Sat,Mississippi,39,,Chattanooga,6,"Jackson, MS"
21,22,1,"Sep 19, 1953",Sat,Mississippi State,34,@,Memphis,6,
22,23,1,"Sep 19, 1953",Sat,Oklahoma State,20,,Hardin-Simmons,0,
23,24,1,"Sep 19, 1953",Sat,Oregon,20,@,Nebraska,12,
24,25,1,"Sep 19, 1953",Sat,Pacific,25,@,Stanford,20,
25,26,1,"Sep 19, 1953",Sat,Rice,20,,Florida,16,
26,27,1,"Sep 19, 1953",Sat,San Diego Navy,19,@,Arizona State,14,
27,28,1,"Sep 19, 1953",Sat,Southern California,29,@,Washington State,13,
28,29,1,"Sep 19, 1953",Sat,Texas A&M;,7,@,Kentucky,6,
29,30,1,"Sep 19, 1953",Sat,Texas Christian,13,,Kansas,0,
30,31,1,"Sep 19, 1953",Sat,Texas Tech,40,,West Texas A&M;,14,
31,32,1,"Sep 19, 1953",Sat,Texas-El Paso,26,,Sul Ross State,7,
32,33,1,"Sep 19, 1953",Sat,Tulane,54,,Citadel,6,
33,34,1,"Sep 19, 1953",Sat,Utah,28,@,Arizona,7,
34,35,1,"Sep 19, 1953",Sat,Utah State,14,,Wichita State,7,
35,36,1,"Sep 19, 1953",Sat,Virginia Military Institute,44,,Catawba College,0,
36,37,1,"Sep 19, 1953",Sat,Virginia Tech,7,,Marshall,0,"Bluefield, WV"
37,38,1,"Sep 19, 1953",Sat,Washington & Lee,47,,Shepherd,0,
38,39,1,"Sep 19, 1953",Sat,William & Mary,16,,Wake Forest,14,"Richmond, VA"
39,40,1,"Sep 19, 1953",Sat,Wyoming,47,,New Mexico State,0,
40,41,2,"Sep 25, 1953",Fri,Auburn,47,,Stetson,0,"Montgomery, AL"
41,42,2,"Sep 25, 1953",Fri,Detroit Mercy,48,,Wayne State,0,"Detroit, MI"
42,43,2,"Sep 25, 1953",Fri,Miami (FL),27,,Florida State,0,
43,44,2,"Sep 25, 1953",Fri,San Jose State,28,@,Brigham Young,25,
44,45,2,"Sep 25, 1953",Fri,UCLA,19,,Kansas,7,
45,46,2,"Sep 26, 1953",Sat,Amherst,7,@,Brown,6,
46,47,2,"Sep 26, 1953",Sat,Arizona State,14,@,North Texas,0,
47,48,2,"Sep 26, 1953",Sat,Army,41,,Furman,0,
48,49,2,"Sep 26, 1953",Sat,California,26,@,Oregon State,0,"Portland, OR"
49,50,2,"Sep 26, 1953",Sat,Clemson,14,,Boston College,14,
50,51,2,"Sep 26, 1953",Sat,Colorado,20,,Arizona,14,
51,52,2,"Sep 26, 1953",Sat,Colorado State,14,,Kansas State,13,
52,53,2,"Sep 26, 1953",Sat,Columbia,14,,Lehigh,7,
53,54,2,"Sep 26, 1953",Sat,Cornell,27,,Colgate,7,
54,55,2,"Sep 26, 1953",Sat,Denver,33,,Drake,14,
55,56,2,"Sep 26, 1953",Sat,Duke,19,,Wake Forest,0,
56,57,2,"Sep 26, 1953",Sat,George Washington,14,@,Virginia Military Institute,13,
57,58,2,"Sep 26, 1953",Sat,Georgia,16,,Tulane,14,
58,59,2,"Sep 26, 1953",Sat,Georgia Tech,0,,Florida,0,
59,60,2,"Sep 26, 1953",Sat,Hardin-Simmons,33,,Midwestern Texas State,7,
60,61,2,"Sep 26, 1953",Sat,Holy Cross,28,,Dartmouth,6,"Lynn, MA"
61,62,2,"Sep 26, 1953",Sat,Houston,14,,Texas A&M;,14,
62,63,2,"Sep 26, 1953",Sat,Louisiana State,7,,Alabama,7,"Mobile, AL"
63,64,2,"Sep 26, 1953",Sat,Marquette,31,,Cincinnati,7,
64,65,2,"Sep 26, 1953",Sat,Maryland,52,,Washington & Lee,0,
65,66,2,"Sep 26, 1953",Sat,McMurry,20,,West Texas A&M;,20,
66,67,2,"Sep 26, 1953",Sat,Michigan,50,,Washington,0,
67,68,2,"Sep 26, 1953",Sat,Michigan State,21,@,Iowa,7,
68,69,2,"Sep 26, 1953",Sat,Mississippi,22,,Kentucky,6,
69,70,2,"Sep 26, 1953",Sat,Mississippi State,26,@,Tennessee,0,
70,71,2,"Sep 26, 1953",Sat,Missouri,14,,Purdue,7,
71,72,2,"Sep 26, 1953",Sat,Nebraska,21,,Illinois,21,
72,73,2,"Sep 26, 1953",Sat,New Mexico State,12,,Colorado College,7,
73,74,2,"Sep 26, 1953",Sat,North Carolina,29,,North Carolina State,7,
74,75,2,"Sep 26, 1953",Sat,Northwestern,35,,Iowa State,0,
75,76,2,"Sep 26, 1953",Sat,Notre Dame,28,@,Oklahoma,21,
76,77,2,"Sep 26, 1953",Sat,Ohio State,36,,Indiana,12,
77,78,2,"Sep 26, 1953",Sat,Oklahoma State,7,@,Arkansas,6,"Little Rock, AR"
78,79,2,"Sep 26, 1953",Sat,Pennsylvania,13,,Vanderbilt,7,
79,80,2,"Sep 26, 1953",Sat,Princeton,20,,Lafayette,14,
80,81,2,"Sep 26, 1953",Sat,Richmond,16,,Davidson,0,
81,82,2,"Sep 26, 1953",Sat,South Carolina,25,,Citadel,0,
82,83,2,"Sep 26, 1953",Sat,Southern California,17,,Minnesota,7,
83,84,2,"Sep 26, 1953",Sat,Stanford,7,,Oregon,0,
84,85,2,"Sep 26, 1953",Sat,Syracuse,42,,Temple,0,
85,86,2,"Sep 26, 1953",Sat,Texas,41,,Villanova,12,
86,87,2,"Sep 26, 1953",Sat,Texas Tech,27,@,Texas-El Paso,6,
87,88,2,"Sep 26, 1953",Sat,Utah,21,,Idaho,0,
88,89,2,"Sep 26, 1953",Sat,Utah State,6,,New Mexico,0,
89,90,2,"Sep 26, 1953",Sat,Virginia Tech,20,@,Virginia,6,
90,91,2,"Sep 26, 1953",Sat,Washington State,26,@,Pacific,20,
91,92,2,"Sep 26, 1953",Sat,West Virginia,17,@,Pittsburgh,7,
92,93,2,"Sep 26, 1953",Sat,Wichita State,19,,Tulsa,10,
93,94,2,"Sep 26, 1953",Sat,William & Mary,6,,Navy,6,
94,95,2,"Sep 26, 1953",Sat,Wisconsin,20,,Penn State,0,
95,96,2,"Sep 26, 1953",Sat,Wyoming,27,@,Montana,7,
96,97,2,"Sep 26, 1953",Sat,Yale,32,,Connecticut,0,
97,98,3,"Oct 2, 1953",Fri,Baylor,21,@,Miami (FL),13,
98,99,3,"Oct 2, 1953",Fri,Boston University,14,,Syracuse,14,
99,100,3,"Oct 2, 1953",Fri,Fordham,21,@,Detroit Mercy,7,
100,101,3,"Oct 2, 1953",Fri,Furman,27,@,Citadel,0,
101,102,3,"Oct 2, 1953",Fri,Southern California,27,,Indiana,14,
102,103,3,"Oct 3, 1953",Sat,Alabama,21,@,Vanderbilt,12,
103,104,3,"Oct 3, 1953",Sat,Arizona,46,,New Mexico State,7,
104,105,3,"Oct 3, 1953",Sat,Arkansas,13,,Texas Christian,6,
105,106,3,"Oct 3, 1953",Sat,Auburn,13,,Mississippi,0,
106,107,3,"Oct 3, 1953",Sat,Brigham Young,12,,New Mexico,12,
107,108,3,"Oct 3, 1953",Sat,Cincinnati,57,,William & Mary,7,
108,109,3,"Oct 3, 1953",Sat,Colorado State,21,,Denver,6,
109,110,3,"Oct 3, 1953",Sat,Drake,18,,South Dakota,0,
110,111,3,"Oct 3, 1953",Sat,Duke,21,@,Tennessee,7,
111,112,3,"Oct 3, 1953",Sat,George Washington,20,,North Carolina State,7,
112,113,3,"Oct 3, 1953",Sat,Georgia Tech,6,,Southern Methodist,4,
113,114,3,"Oct 3, 1953",Sat,Harvard,16,,Ohio,0,
114,115,3,"Oct 3, 1953",Sat,Holy Cross,19,@,Colgate,6,
115,116,3,"Oct 3, 1953",Sat,Idaho,20,@,Montana,12,
116,117,3,"Oct 3, 1953",Sat,Illinois,33,,Stanford,21,
117,118,3,"Oct 3, 1953",Sat,Iowa,54,,Washington State,12,
118,119,3,"Oct 3, 1953",Sat,Kansas,23,,Iowa State,0,
119,120,3,"Oct 3, 1953",Sat,Kansas State,27,,Nebraska,0,
120,121,3,"Oct 3, 1953",Sat,Kentucky,26,,Florida,13,
121,122,3,"Oct 3, 1953",Sat,Louisiana State,42,,Boston College,6,
122,123,3,"Oct 3, 1953",Sat,Maryland,20,@,Clemson,0,
123,124,3,"Oct 3, 1953",Sat,Michigan,26,,Tulane,7,
124,125,3,"Oct 3, 1953",Sat,Michigan State,21,@,Minnesota,0,
125,126,3,"Oct 3, 1953",Sat,Mississippi State,21,,North Texas,6,
126,127,3,"Oct 3, 1953",Sat,Missouri,27,@,Colorado,16,
127,128,3,"Oct 3, 1953",Sat,Navy,55,,Dartmouth,7,
128,129,3,"Oct 3, 1953",Sat,North Carolina,39,,Washington & Lee,0,
129,130,3,"Oct 3, 1953",Sat,Northwestern,33,,Army,20,
130,131,3,"Oct 3, 1953",Sat,Notre Dame,37,@,Purdue,7,
131,132,3,"Oct 3, 1953",Sat,Ohio State,33,@,California,19,
132,133,3,"Oct 3, 1953",Sat,Oklahoma,7,,Pittsburgh,7,
133,134,3,"Oct 3, 1953",Sat,Pennsylvania,13,,Penn State,7,
134,135,3,"Oct 3, 1953",Sat,Princeton,20,,Columbia,19,
135,136,3,"Oct 3, 1953",Sat,Rice,28,@,Cornell,7,
136,137,3,"Oct 3, 1953",Sat,Richmond,13,,Virginia Military Institute,7,
137,138,3,"Oct 3, 1953",Sat,Rutgers,20,,Virginia Tech,13,
138,139,3,"Oct 3, 1953",Sat,San Jose State,27,@,Fresno State,21,
139,140,3,"Oct 3, 1953",Sat,South Carolina,19,@,Virginia,0,
140,141,3,"Oct 3, 1953",Sat,Texas,28,,Houston,7,
141,142,3,"Oct 3, 1953",Sat,Texas A&M;,14,,Georgia,12,"Dallas, TX"
142,143,3,"Oct 3, 1953",Sat,Texas Tech,27,@,Oklahoma State,13,
143,144,3,"Oct 3, 1953",Sat,Texas-El Paso,28,,Arizona State,27,
144,145,3,"Oct 3, 1953",Sat,Trinity (Texas),27,,Hardin-Simmons,21,
145,146,3,"Oct 3, 1953",Sat,Tulsa,22,@,Pacific,13,
146,147,3,"Oct 3, 1953",Sat,UCLA,12,@,Oregon,0,
147,148,3,"Oct 3, 1953",Sat,Utah,47,,Hawaii,24,
148,149,3,"Oct 3, 1953",Sat,Wake Forest,18,,Villanova,12,"Winston-Salem, NC"
149,150,3,"Oct 3, 1953",Sat,Washington,28,,Oregon State,0,
150,151,3,"Oct 3, 1953",Sat,West Virginia,47,,Waynesburg,19,
151,152,3,"Oct 3, 1953",Sat,Wichita State,55,,Bradley,0,
152,153,3,"Oct 3, 1953",Sat,Wisconsin,13,,Marquette,11,
153,154,3,"Oct 3, 1953",Sat,Wyoming,20,,Utah State,13,
154,155,3,"Oct 3, 1953",Sat,Yale,13,,Brown,0,
155,156,4,"Oct 9, 1953",Fri,Houston,25,@,Detroit Mercy,19,
156,157,4,"Oct 9, 1953",Fri,Miami (FL),39,,Clemson,7,
157,158,4,"Oct 9, 1953",Fri,North Texas,27,,San Diego Navy,12,
158,159,4,"Oct 9, 1953",Fri,Southern Methodist,20,,Missouri,7,
159,160,4,"Oct 9, 1953",Fri,UCLA,13,,Wisconsin,0,
160,161,4,"Oct 10, 1953",Sat,Alabama,41,,Tulsa,13,
161,162,4,"Oct 10, 1953",Sat,Arizona,20,,New Mexico,0,
162,163,4,"Oct 10, 1953",Sat,Arizona State,35,@,San Jose State,20,
163,164,4,"Oct 10, 1953",Sat,Army,27,,Dartmouth,0,
164,165,4,"Oct 10, 1953",Sat,Auburn,21,,Mississippi State,21,
165,166,4,"Oct 10, 1953",Sat,Baylor,14,,Arkansas,7,
166,167,4,"Oct 10, 1953",Sat,Brigham Young,20,@,Idaho,14,"Boise, ID"
167,168,4,"Oct 10, 1953",Sat,California,40,@,Pennsylvania,0,
168,169,4,"Oct 10, 1953",Sat,Duke,20,,Purdue,14,
169,170,4,"Oct 10, 1953",Sat,Florida,45,,Stetson,0,
170,171,4,"Oct 10, 1953",Sat,Georgia Tech,27,@,Tulane,13,
171,172,4,"Oct 10, 1953",Sat,Harvard,28,,Colgate,26,
172,173,4,"Oct 10, 1953",Sat,Holy Cross,40,,Bucknell,0,
173,174,4,"Oct 10, 1953",Sat,Illinois,41,@,Ohio State,20,
174,175,4,"Oct 10, 1953",Sat,Indiana,21,,Marquette,20,
175,176,4,"Oct 10, 1953",Sat,Kansas,27,@,Colorado,21,
176,177,4,"Oct 10, 1953",Sat,Kansas State,20,@,Iowa State,12,
177,178,4,"Oct 10, 1953",Sat,Kentucky,6,,Louisiana State,6,
178,179,4,"Oct 10, 1953",Sat,Maryland,40,,Georgia,13,
179,180,4,"Oct 10, 1953",Sat,McMurry,26,@,New Mexico State,12,
180,181,4,"Oct 10, 1953",Sat,Michigan,14,,Iowa,13,
181,182,4,"Oct 10, 1953",Sat,Michigan State,26,,Texas Christian,19,
182,183,4,"Oct 10, 1953",Sat,Minnesota,30,@,Northwestern,13,
183,184,4,"Oct 10, 1953",Sat,Mississippi,28,,Vanderbilt,6,
184,185,4,"Oct 10, 1953",Sat,Montana,22,@,Denver,13,
185,186,4,"Oct 10, 1953",Sat,Navy,26,,Cornell,6,"Baltimore, MD"
186,187,4,"Oct 10, 1953",Sat,North Carolina,18,@,Wake Forest,13,
187,188,4,"Oct 10, 1953",Sat,North Carolina State,27,,Davidson,7,
188,189,4,"Oct 10, 1953",Sat,Oklahoma,19,,Texas,14,"Dallas, TX"
189,190,4,"Oct 10, 1953",Sat,Oklahoma State,14,,Wichita State,7,
190,191,4,"Oct 10, 1953",Sat,Pacific,26,,Hawaii,8,
191,192,4,"Oct 10, 1953",Sat,Penn State,35,@,Boston University,13,
192,193,4,"Oct 10, 1953",Sat,Pittsburgh,14,,Nebraska,6,
193,194,4,"Oct 10, 1953",Sat,Princeton,9,,Rutgers,7,
194,195,4,"Oct 10, 1953",Sat,Rhode Island,19,@,Brown,13,
