,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 15, 1962",Sat,Davidson,21,,Catawba College,0,"Charlotte, NC"
1,2,1,"Sep 15, 1962",Sat,Florida State,49,,Citadel,0,
2,3,1,"Sep 15, 1962",Sat,Furman,40,,Presbyterian,6,
3,4,1,"Sep 15, 1962",Sat,Iowa State,14,,Drake,7,
4,5,1,"Sep 15, 1962",Sat,Kent State,22,@,Dayton,7,
5,6,1,"Sep 15, 1962",Sat,Louisville,21,@,Wichita State,20,
6,7,1,"Sep 15, 1962",Sat,Marshall,40,,Findlay,22,
7,8,1,"Sep 15, 1962",Sat,Memphis,12,,Tennessee Tech,6,
8,9,1,"Sep 15, 1962",Sat,Miami (FL),23,@,Pittsburgh,14,
9,10,1,"Sep 15, 1962",Sat,Miami (OH),23,@,Xavier,14,
10,11,1,"Sep 15, 1962",Sat,New Mexico,28,,New Mexico State,17,
11,12,1,"Sep 15, 1962",Sat,Pacific,26,,Brigham Young,7,
12,13,1,"Sep 15, 1962",Sat,Richmond,27,,East Carolina,26,
13,14,1,"Sep 15, 1962",Sat,South Dakota,25,@,Toledo,14,
14,15,1,"Sep 15, 1962",Sat,Tulsa,39,,Hardin-Simmons,0,
15,16,1,"Sep 15, 1962",Sat,Utah State,29,@,San Jose State,18,
16,17,1,"Sep 15, 1962",Sat,Villanova,31,,West Chester,6,
17,18,1,"Sep 15, 1962",Sat,Virginia Military Institute,22,,George Washington,6,"Lynchburg, VA"
18,19,1,"Sep 15, 1962",Sat,West Texas A&M;,61,,Trinity (Texas),0,
19,20,1,"Sep 15, 1962",Sat,Western Michigan,28,,Central Michigan,0,
20,21,1,"Sep 15, 1962",Sat,William & Mary,3,,Virginia Tech,0,
21,22,1,"Sep 15, 1962",Sat,Wyoming,13,@,Montana,0,
22,23,2,"Sep 21, 1962",Fri,Stanford,6,@,Tulane,3,
23,24,2,"Sep 22, 1962",Sat,Air Force,34,,Colorado State,0,
24,25,2,"Sep 22, 1962",Sat,Alabama,35,,Georgia,0,"Birmingham, AL"
25,26,2,"Sep 22, 1962",Sat,Arizona,27,,Brigham Young,21,
26,27,2,"Sep 22, 1962",Sat,Arizona State,21,@,Wichita State,10,
27,28,2,"Sep 22, 1962",Sat,Arkansas,34,,Oklahoma State,7,"Little Rock, AR"
28,29,2,"Sep 22, 1962",Sat,Army,40,,Wake Forest,14,
29,30,2,"Sep 22, 1962",Sat,Boston College,27,,Detroit Mercy,0,
30,31,2,"Sep 22, 1962",Sat,Bowling Green State,48,,Marshall,6,
31,32,2,"Sep 22, 1962",Sat,Brown,6,@,Colgate,2,
32,33,2,"Sep 22, 1962",Sat,Buffalo,27,@,Boston University,23,
33,34,2,"Sep 22, 1962",Sat,Cincinnati,13,,Dayton,0,
34,35,2,"Sep 22, 1962",Sat,Citadel,19,,Davidson,0,
35,36,2,"Sep 22, 1962",Sat,Florida,19,@,Mississippi State,9,"Jackson, MS"
36,37,2,"Sep 22, 1962",Sat,Florida State,0,,Kentucky,0,
37,38,2,"Sep 22, 1962",Sat,Furman,34,,Wofford,21,
