,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 29, 1983",Mon,Nebraska,44,,Penn State,6,"Kick-off Classic (East Rutherford, NJ)"
1,2,2,"Sep 1, 1983",Thu,Houston,45,@,Rice,14,
2,3,2,"Sep 2, 1983",Fri,Temple,17,,Syracuse,6,"Philadelphia, PA"
3,4,2,"Sep 3, 1983",Sat,Air Force,34,@,Colorado State,13,
4,5,2,"Sep 3, 1983",Sat,Akron,13,,Kent State,6,
5,6,2,"Sep 3, 1983",Sat,Appalachian State,27,@,Wake Forest,25,
6,7,2,"Sep 3, 1983",Sat,Arizona,50,,Oregon State,6,
7,8,2,"Sep 3, 1983",Sat,Ball State,42,,Rhode Island,26,
8,9,2,"Sep 3, 1983",Sat,Boston College,45,,Morgan State,12,
9,10,2,"Sep 3, 1983",Sat,Cal State Fullerton,13,@,Boise State,10,
10,11,2,"Sep 3, 1983",Sat,California,19,@,Texas A&M;,17,
11,12,2,"Sep 3, 1983",Sat,Clemson,44,,Western Carolina,10,
12,13,2,"Sep 3, 1983",Sat,Eastern Illinois,38,@,Illinois State,7,
13,14,2,"Sep 3, 1983",Sat,Eastern Michigan,7,,Marshall,3,
14,15,2,"Sep 3, 1983",Sat,Florida,28,,Miami (FL),3,
15,16,2,"Sep 3, 1983",Sat,Florida State,47,,East Carolina,46,
16,17,2,"Sep 3, 1983",Sat,Georgia,19,,UCLA,8,
17,18,2,"Sep 3, 1983",Sat,Indiana State,10,,Louisiana-Monroe,9,
18,19,2,"Sep 3, 1983",Sat,Kentucky,31,,Central Michigan,14,
19,20,2,"Sep 3, 1983",Sat,Long Beach State,28,@,Kansas State,20,
20,21,2,"Sep 3, 1983",Sat,Memphis,37,,Mississippi,17,
21,22,2,"Sep 3, 1983",Sat,Mississippi State,14,,Tulane,9,
22,23,2,"Sep 3, 1983",Sat,Missouri Southern,29,@,Wichita State,21,
23,24,2,"Sep 3, 1983",Sat,Nevada-Las Vegas,28,,Nevada,18,
24,25,2,"Sep 3, 1983",Sat,New Mexico,17,,Utah,7,
25,26,2,"Sep 3, 1983",Sat,North Carolina,24,@,South Carolina,8,
26,27,2,"Sep 3, 1983",Sat,North Texas,32,,West Texas A&M;,3,
27,28,2,"Sep 3, 1983",Sat,Northern Illinois,37,@,Kansas,34,
28,29,2,"Sep 3, 1983",Sat,Northern Iowa,34,,Drake,10,
29,30,2,"Sep 3, 1983",Sat,Pacific,21,@,Oregon,15,
30,31,2,"Sep 3, 1983",Sat,Pittsburgh,13,@,Tennessee,3,
31,32,2,"Sep 3, 1983",Sat,Southern Illinois,38,@,Western Illinois,6,
32,33,2,"Sep 3, 1983",Sat,Southern Methodist,24,,Louisville,6,
33,34,2,"Sep 3, 1983",Sat,Southern Mississippi,32,,Richmond,3,
34,35,2,"Sep 3, 1983",Sat,Texas-El Paso,20,,New Mexico State,9,
35,36,2,"Sep 3, 1983",Sat,Tulsa,34,,San Diego State,9,
36,37,2,"Sep 3, 1983",Sat,Virginia,38,,Duke,30,
37,38,2,"Sep 3, 1983",Sat,Washington State,27,,Montana State,7,"Spokane, WA"
38,39,2,"Sep 3, 1983",Sat,West Virginia,55,,Ohio,3,
39,40,2,"Sep 3, 1983",Sat,Wyoming,34,,South Dakota,13,
40,41,3,"Sep 10, 1983",Sat,Abilene Christian,28,@,West Texas A&M;,3,
41,42,3,"Sep 10, 1983",Sat,Air Force,28,,Texas Tech,13,
42,43,3,"Sep 10, 1983",Sat,Akron,13,@,Eastern Michigan,0,
43,44,3,"Sep 10, 1983",Sat,Alabama,20,,Georgia Tech,7,"Birmingham, AL"
44,45,3,"Sep 10, 1983",Sat,Arizona,38,,Utah,0,
45,46,3,"Sep 10, 1983",Sat,Arizona State,39,,Utah State,12,
46,47,3,"Sep 10, 1983",Sat,Arkansas,17,,Tulsa,14,
47,48,3,"Sep 10, 1983",Sat,Auburn,24,,Southern Mississippi,3,
48,49,3,"Sep 10, 1983",Sat,Ball State,25,,Wichita State,21,
49,50,3,"Sep 10, 1983",Sat,Baylor,40,,Brigham Young,36,
50,51,3,"Sep 10, 1983",Sat,Boston College,31,,Clemson,16,
51,52,3,"Sep 10, 1983",Sat,Bowling Green State,35,@,Fresno State,27,
52,53,3,"Sep 10, 1983",Sat,Cal State Fullerton,25,@,Long Beach State,19,
53,54,3,"Sep 10, 1983",Sat,Central Michigan,37,,Northern Michigan,15,
54,55,3,"Sep 10, 1983",Sat,Cincinnati,14,@,Penn State,3,
55,56,3,"Sep 10, 1983",Sat,Colgate,15,@,Army,13,
56,57,3,"Sep 10, 1983",Sat,East Carolina,22,,North Carolina State,16,
57,58,3,"Sep 10, 1983",Sat,Florida,19,,Southern California,19,
58,59,3,"Sep 10, 1983",Sat,Florida State,40,@,Louisiana State,35,
59,60,3,"Sep 10, 1983",Sat,Hawaii,34,,Colorado State,0,
60,61,3,"Sep 10, 1983",Sat,Idaho State,12,@,Texas-El Paso,10,
61,62,3,"Sep 10, 1983",Sat,Illinois State,27,@,Marshall,3,
62,63,3,"Sep 10, 1983",Sat,Indiana,15,,Duke,10,
63,64,3,"Sep 10, 1983",Sat,Indiana State,26,,Northern Iowa,0,
64,65,3,"Sep 10, 1983",Sat,Iowa,51,@,Iowa State,10,
65,66,3,"Sep 10, 1983",Sat,Kansas,16,,Texas Christian,16,
66,67,3,"Sep 10, 1983",Sat,Kentucky,31,,Kansas State,12,
67,68,3,"Sep 10, 1983",Sat,Louisiana-Monroe,31,,Louisiana-Lafayette,6,
68,69,3,"Sep 10, 1983",Sat,Louisville,41,,Western Kentucky,22,
69,70,3,"Sep 10, 1983",Sat,Maryland,21,@,Vanderbilt,14,
70,71,3,"Sep 10, 1983",Sat,Miami (FL),29,@,Houston,7,
71,72,3,"Sep 10, 1983",Sat,Michigan,20,,Washington State,17,
72,73,3,"Sep 10, 1983",Sat,Michigan State,23,,Colorado,17,
73,74,3,"Sep 10, 1983",Sat,Minnesota,21,@,Rice,17,
74,75,3,"Sep 10, 1983",Sat,Missouri,28,,Illinois,18,
75,76,3,"Sep 10, 1983",Sat,Nebraska,56,,Wyoming,20,
76,77,3,"Sep 10, 1983",Sat,New Mexico State,15,,Louisiana Tech,7,
77,78,3,"Sep 10, 1983",Sat,North Carolina,24,,Memphis,10,
78,79,3,"Sep 10, 1983",Sat,Notre Dame,52,@,Purdue,6,
79,80,3,"Sep 10, 1983",Sat,Ohio,17,@,Richmond,10,
