,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 22, 2002",Thu,Colorado State,35,@,Virginia,29,"Jim Thorpe Classic (Charlottesville, VA)"
1,2,1,"Aug 23, 2002",Fri,Wisconsin,23,,Fresno State,21,"John Thompson Classic (Madison, WI)"
2,3,1,"Aug 24, 2002",Sat,Florida State,38,,Iowa State,31,"Eddie Robinson Classic (Kansas City, MO)"
3,4,1,"Aug 24, 2002",Sat,Nebraska,48,,Arizona State,10,"BCA Classic (Lincoln, NE)"
4,5,1,"Aug 24, 2002",Sat,North Carolina State,34,,New Mexico,14,"BCA Classic (Raleigh, NC)"
5,6,1,"Aug 24, 2002",Sat,Ohio State,45,,Texas Tech,21,"Pigskin Classic (Columbus, OH)"
6,7,1,"Aug 25, 2002",Sun,Virginia Tech,63,,Arkansas State,7,"Hispanic Coaches Classic (Blacksburg, VA)"
7,8,2,"Aug 29, 2002",Thu,Bowling Green State,41,,Tennessee Tech,7,
8,9,2,"Aug 29, 2002",Thu,Brigham Young,42,,Syracuse,21,
9,10,2,"Aug 29, 2002",Thu,Central Michigan,34,,Sam Houston State,10,
10,11,2,"Aug 29, 2002",Thu,Fresno State,16,,San Diego State,14,
11,12,2,"Aug 29, 2002",Thu,Kent State,34,,New Hampshire,7,
12,13,2,"Aug 29, 2002",Thu,Lehigh,37,@,Buffalo,26,
13,14,2,"Aug 29, 2002",Thu,Northern Illinois,42,,Wake Forest,41,
14,15,2,"Aug 29, 2002",Thu,Oregon State,49,,Eastern Kentucky,10,
15,16,2,"Aug 29, 2002",Thu,South Florida,51,,Florida Atlantic,10,
16,17,2,"Aug 29, 2002",Thu,Temple,34,,Richmond,7,"Philadelphia, PA"
17,18,2,"Aug 29, 2002",Thu,Toledo,44,,Cal Poly,16,
18,19,2,"Aug 29, 2002",Thu,Western Michigan,48,,Indiana State,17,
19,20,2,"Aug 30, 2002",Fri,Oklahoma,37,@,Tulsa,0,
20,21,2,"Aug 31, 2002",Sat,Air Force,52,,Northwestern,3,
21,22,2,"Aug 31, 2002",Sat,Alabama,39,,Middle Tennessee State,34,"Birmingham, AL"
22,23,2,"Aug 31, 2002",Sat,Arizona,37,,Northern Arizona,3,
23,24,2,"Aug 31, 2002",Sat,Arizona State,38,,Eastern Washington,2,
24,25,2,"Aug 31, 2002",Sat,Boise State,38,,Idaho,21,
25,26,2,"Aug 31, 2002",Sat,Boston College,24,,Connecticut,16,
26,27,2,"Aug 31, 2002",Sat,California,70,,Baylor,22,
27,28,2,"Aug 31, 2002",Sat,Colorado State,19,,Colorado,14,"Denver, CO"
28,29,2,"Aug 31, 2002",Sat,Duke,23,,East Carolina,16,
29,30,2,"Aug 31, 2002",Sat,Florida,51,,Alabama-Birmingham,3,
30,31,2,"Aug 31, 2002",Sat,Florida State,40,,Virginia,19,
31,32,2,"Aug 31, 2002",Sat,Georgia,31,,Clemson,28,
32,33,2,"Aug 31, 2002",Sat,Georgia Tech,45,,Vanderbilt,3,
33,34,2,"Aug 31, 2002",Sat,Hawaii,61,,Eastern Illinois,36,
34,35,2,"Aug 31, 2002",Sat,Houston,24,@,Rice,10,
35,36,2,"Aug 31, 2002",Sat,Indiana,25,,William & Mary,17,
36,37,2,"Aug 31, 2002",Sat,Iowa,57,,Akron,21,
37,38,2,"Aug 31, 2002",Sat,Iowa State,45,,Kansas,3,
38,39,2,"Aug 31, 2002",Sat,Kansas State,48,,Western Kentucky,3,
39,40,2,"Aug 31, 2002",Sat,Louisiana Tech,39,,Oklahoma State,36,"Shreveport, LA"
40,41,2,"Aug 31, 2002",Sat,Marshall,50,,Appalachian State,17,
41,42,2,"Aug 31, 2002",Sat,Memphis,52,,Murray State,6,
42,43,2,"Aug 31, 2002",Sat,Miami (FL),63,,Florida A&M;,17,
43,44,2,"Aug 31, 2002",Sat,Miami (OH),27,@,North Carolina,21,
44,45,2,"Aug 31, 2002",Sat,Michigan,31,,Washington,29,
45,46,2,"Aug 31, 2002",Sat,Michigan State,56,,Eastern Michigan,7,
46,47,2,"Aug 31, 2002",Sat,Minnesota,42,,Texas State,0,
47,48,2,"Aug 31, 2002",Sat,Mississippi,31,,Louisiana-Monroe,3,
48,49,2,"Aug 31, 2002",Sat,Missouri,33,,Illinois,20,"St. Louis, MO"
49,50,2,"Aug 31, 2002",Sat,Navy,38,@,Southern Methodist,7,
50,51,2,"Aug 31, 2002",Sat,Nebraska,31,,Troy,16,
51,52,2,"Aug 31, 2002",Sat,New Mexico,38,,Weber State,24,
52,53,2,"Aug 31, 2002",Sat,North Carolina State,34,,East Tennessee State,0,
53,54,2,"Aug 31, 2002",Sat,Notre Dame,22,,Maryland,0,"Kick-off Classic (East Rutherford, NJ)"
54,55,2,"Aug 31, 2002",Sat,Oregon,36,,Mississippi State,13,
55,56,2,"Aug 31, 2002",Sat,Penn State,27,,Central Florida,24,
