,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Aug 26, 1995",Sat,Michigan,18,,Virginia,17,"Pigskin Classic (Ann Arbor, MI)"
1,2,1,"Aug 27, 1995",Sun,Ohio State,38,,Boston College,6,"Kick-off Classic (East Rutherford, NJ)"
2,3,2,"Aug 31, 1995",Thu,Appalachian State,24,@,Wake Forest,22,
3,4,2,"Aug 31, 1995",Thu,Ball State,17,@,Miami (OH),15,
4,5,2,"Aug 31, 1995",Thu,Iowa State,36,,Ohio,21,
5,6,2,"Aug 31, 1995",Thu,Louisiana Tech,28,@,Bowling Green State,21,
6,7,2,"Aug 31, 1995",Thu,Nebraska,64,@,Oklahoma State,21,
7,8,2,"Aug 31, 1995",Thu,North Carolina State,33,,Marshall,16,
8,9,2,"Aug 31, 1995",Thu,Southern Mississippi,45,,Northern Illinois,13,
9,10,2,"Aug 31, 1995",Thu,Western Michigan,28,,Weber State,21,
10,11,2,"Sep 2, 1995",Sat,Air Force,38,,Brigham Young,12,
11,12,2,"Sep 2, 1995",Sat,Alabama,33,@,Vanderbilt,25,
12,13,2,"Sep 2, 1995",Sat,Arizona,41,,Pacific,9,
13,14,2,"Sep 2, 1995",Sat,Arkansas State,21,,Utah State,17,
14,15,2,"Sep 2, 1995",Sat,Auburn,46,,Mississippi,13,
15,16,2,"Sep 2, 1995",Sat,Baylor,37,@,Tulsa,5,
16,17,2,"Sep 2, 1995",Sat,Clemson,55,,Western Carolina,9,
17,18,2,"Sep 2, 1995",Sat,Colorado,43,@,Wisconsin,7,
18,19,2,"Sep 2, 1995",Sat,Colorado State,31,,Montana State,10,
19,20,2,"Sep 2, 1995",Sat,Eastern Michigan,49,@,Akron,29,
20,21,2,"Sep 2, 1995",Sat,Florida,45,,Houston,21,
21,22,2,"Sep 2, 1995",Sat,Florida State,70,,Duke,26,"Orlando, FL"
22,23,2,"Sep 2, 1995",Sat,Fresno State,31,,Louisiana-Monroe,17,
23,24,2,"Sep 2, 1995",Sat,Georgia,42,,South Carolina,23,
24,25,2,"Sep 2, 1995",Sat,Georgia Tech,51,,Furman,7,
25,26,2,"Sep 2, 1995",Sat,Kansas,23,,Cincinnati,18,
26,27,2,"Sep 2, 1995",Sat,Kansas State,34,,Temple,7,
27,28,2,"Sep 2, 1995",Sat,Kent State,17,,Youngstown State,14,
28,29,2,"Sep 2, 1995",Sat,Louisville,13,@,Kentucky,10,
29,30,2,"Sep 2, 1995",Sat,Maryland,29,@,Tulane,10,
30,31,2,"Sep 2, 1995",Sat,Michigan,38,@,Illinois,14,
31,32,2,"Sep 2, 1995",Sat,Mississippi State,28,,Memphis,18,
32,33,2,"Sep 2, 1995",Sat,Missouri,28,,North Texas,7,
33,34,2,"Sep 2, 1995",Sat,Nevada,38,,Louisiana-Lafayette,14,
34,35,2,"Sep 2, 1995",Sat,New Mexico,45,,Northern Arizona,21,
35,36,2,"Sep 2, 1995",Sat,New Mexico State,45,,Texas-El Paso,17,
36,37,2,"Sep 2, 1995",Sat,Northwestern,17,@,Notre Dame,15,
37,38,2,"Sep 2, 1995",Sat,Oregon,27,@,Utah,20,
38,39,2,"Sep 2, 1995",Sat,Oregon State,14,,Idaho,7,
39,40,2,"Sep 2, 1995",Sat,Pittsburgh,17,,Washington State,13,
40,41,2,"Sep 2, 1995",Sat,Purdue,26,@,West Virginia,24,
41,42,2,"Sep 2, 1995",Sat,Rice,38,,Nevada-Las Vegas,0,
42,43,2,"Sep 2, 1995",Sat,San Diego State,33,,California,9,
43,44,2,"Sep 2, 1995",Sat,Southern Methodist,17,,Arkansas,14,
44,45,2,"Sep 2, 1995",Sat,Stanford,47,@,San Jose State,33,
45,46,2,"Sep 2, 1995",Sat,Syracuse,20,@,North Carolina,9,
46,47,2,"Sep 2, 1995",Sat,Tennessee,27,,East Carolina,7,
47,48,2,"Sep 2, 1995",Sat,Texas,38,@,Hawaii,17,
48,49,2,"Sep 2, 1995",Sat,Texas A&M;,33,,Louisiana State,17,
49,50,2,"Sep 2, 1995",Sat,UCLA,31,,Miami (FL),8,
50,51,2,"Sep 2, 1995",Sat,Virginia,40,,William & Mary,16,
51,52,2,"Sep 2, 1995",Sat,Washington,23,,Arizona State,20,
52,53,3,"Sep 7, 1995",Thu,Arizona,20,,Georgia Tech,19,
53,54,3,"Sep 7, 1995",Thu,Boston College,20,@,Virginia Tech,14,
54,55,3,"Sep 9, 1995",Sat,Air Force,34,,Wyoming,10,
