,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 15, 1950",Fri,Presbyterian,13,@,Furman,12,
1,2,1,"Sep 16, 1950",Sat,Brigham Young,14,@,Idaho State,13,
2,3,1,"Sep 16, 1950",Sat,Cincinnati,32,,Texas-El Paso,0,
3,4,1,"Sep 16, 1950",Sat,Citadel,56,,Parris Island Marines,0,
4,5,1,"Sep 16, 1950",Sat,Drake,7,,Denver,0,
5,6,1,"Sep 16, 1950",Sat,Hardin-Simmons,48,@,New Mexico State,0,
6,7,1,"Sep 16, 1950",Sat,Kansas State,55,,Baker,0,
7,8,1,"Sep 16, 1950",Sat,Kentucky,25,,North Texas,0,
8,9,1,"Sep 16, 1950",Sat,Tulsa,20,,McMurry,13,
9,10,1,"Sep 16, 1950",Sat,Utah State,7,,Nevada,6,
10,11,1,"Sep 16, 1950",Sat,West Texas A&M;,52,,Northern Arizona,12,
11,12,1,"Sep 16, 1950",Sat,Wyoming,61,,Montana State,13,
12,13,1,"Sep 18, 1950",Mon,Duquesne,14,,St. Vincent's (Pennsylvania),14,
13,14,2,"Sep 20, 1950",Wed,Bradley,33,,Ripon,0,
14,15,2,"Sep 22, 1950",Fri,Detroit Mercy,40,,Hillsdale,0,
15,16,2,"Sep 22, 1950",Fri,Loyola Marymount,50,@,Pepperdine,14,
16,17,2,"Sep 22, 1950",Fri,Mississippi,39,@,Memphis,7,
17,18,2,"Sep 22, 1950",Fri,Pacific,40,,Saint Mary's (CA),0,"San Francisco, CA"
18,19,2,"Sep 22, 1950",Fri,Wake Forest,7,,Boston College,7,
19,20,2,"Sep 22, 1950",Fri,Wofford,19,@,Auburn,14,"Montgomery, AL"
20,21,2,"Sep 23, 1950",Sat,Alabama,27,,Chattanooga,0,"Birmingham, AL"
21,22,2,"Sep 23, 1950",Sat,Arizona State,41,@,Brigham Young,13,
22,23,2,"Sep 23, 1950",Sat,California,27,,Santa Clara,9,
23,24,2,"Sep 23, 1950",Sat,Cincinnati,19,,Hardin-Simmons,7,
24,25,2,"Sep 23, 1950",Sat,Clemson,55,,Presbyterian,0,
25,26,2,"Sep 23, 1950",Sat,Colorado State,30,@,Denver,14,
26,27,2,"Sep 23, 1950",Sat,Drake,47,@,Emporia State,6,
27,28,2,"Sep 23, 1950",Sat,Duke,14,@,South Carolina,0,
28,29,2,"Sep 23, 1950",Sat,Florida,7,,Citadel,3,
29,30,2,"Sep 23, 1950",Sat,Fordham,20,@,Lafayette,19,
30,31,2,"Sep 23, 1950",Sat,Georgia,27,,Maryland,7,
31,32,2,"Sep 23, 1950",Sat,Idaho,26,,Utah,19,"Boise, ID"
32,33,2,"Sep 23, 1950",Sat,Iowa State,14,,Colorado,7,
33,34,2,"Sep 23, 1950",Sat,Kentucky,14,,Louisiana State,0,
34,35,2,"Sep 23, 1950",Sat,Marquette,57,@,North Dakota State,0,
35,36,2,"Sep 23, 1950",Sat,Michigan State,38,,Oregon State,13,
36,37,2,"Sep 23, 1950",Sat,Mississippi State,67,,Arkansas State,0,
37,38,2,"Sep 23, 1950",Sat,Montana,52,@,Eastern Washington,0,
38,39,2,"Sep 23, 1950",Sat,New Mexico,78,,Northern Arizona,0,
39,40,2,"Sep 23, 1950",Sat,North Carolina,13,,North Carolina State,7,
40,41,2,"Sep 23, 1950",Sat,Oklahoma State,12,@,Arkansas,7,"Little Rock, AR"
41,42,2,"Sep 23, 1950",Sat,Richmond,20,,Randolph-Macon,6,
42,43,2,"Sep 23, 1950",Sat,San Francisco,23,,Tulsa,14,
43,44,2,"Sep 23, 1950",Sat,Southern Methodist,33,,Georgia Tech,13,
44,45,2,"Sep 23, 1950",Sat,St. Bonaventure,29,@,Houston,14,
45,46,2,"Sep 23, 1950",Sat,Stanford,33,,San Jose State,16,
46,47,2,"Sep 23, 1950",Sat,Syracuse,42,,Rutgers,12,
47,48,2,"Sep 23, 1950",Sat,Temple,32,,Albright,6,
48,49,2,"Sep 23, 1950",Sat,Tennessee,56,,Southern Mississippi,0,
49,50,2,"Sep 23, 1950",Sat,Texas,28,@,Texas Tech,14,
50,51,2,"Sep 23, 1950",Sat,Texas A&M;,48,,Nevada,18,"Sacramento, CA"
51,52,2,"Sep 23, 1950",Sat,Texas Christian,14,@,Kansas,7,
52,53,2,"Sep 23, 1950",Sat,Texas-El Paso,40,,New Mexico State,0,
53,54,2,"Sep 23, 1950",Sat,UCLA,28,,Oregon,0,
54,55,2,"Sep 23, 1950",Sat,Vanderbilt,47,,Middle Tennessee State,0,
55,56,2,"Sep 23, 1950",Sat,Villanova,39,,Duquesne,28,
56,57,2,"Sep 23, 1950",Sat,Virginia,19,,George Washington,0,
57,58,2,"Sep 23, 1950",Sat,Virginia Military Institute,25,,William & Mary,19,"Roanoke, VA"
58,59,2,"Sep 23, 1950",Sat,Washington,33,,Kansas State,7,
59,60,2,"Sep 23, 1950",Sat,Washington & Lee,27,,Furman,6,
60,61,2,"Sep 23, 1950",Sat,Washington State,46,@,Utah State,6,
61,62,2,"Sep 23, 1950",Sat,West Texas A&M;,34,@,Arizona,26,
62,63,2,"Sep 23, 1950",Sat,West Virginia,38,,Western Reserve,13,
63,64,2,"Sep 23, 1950",Sat,Wyoming,7,,Baylor,0,
64,65,2,"Sep 23, 1950",Sat,Yale,25,,Connecticut,0,
65,66,3,"Sep 29, 1950",Fri,Brigham Young,28,,Pepperdine,27,
66,67,3,"Sep 29, 1950",Fri,Detroit Mercy,34,,Wayne State,0,"Detroit, MI"
67,68,3,"Sep 29, 1950",Fri,Georgia,7,,Saint Mary's (CA),7,"San Francisco, CA"
68,69,3,"Sep 29, 1950",Fri,Iowa,20,@,Southern California,14,
69,70,3,"Sep 29, 1950",Fri,Kansas,46,@,Denver,6,
70,71,3,"Sep 29, 1950",Fri,Miami (FL),21,,Citadel,0,
71,72,3,"Sep 29, 1950",Fri,San Jose State,26,,San Diego State,0,
72,73,3,"Sep 29, 1950",Fri,Temple,7,,Syracuse,6,
73,74,3,"Sep 30, 1950",Sat,Alabama,26,@,Tulane,14,
74,75,3,"Sep 30, 1950",Sat,Arizona State,41,,New Mexico,6,
75,76,3,"Sep 30, 1950",Sat,Arkansas,50,,North Texas,6,
76,77,3,"Sep 30, 1950",Sat,Army,28,,Colgate,0,
77,78,3,"Sep 30, 1950",Sat,Baylor,34,,Houston,7,
78,79,3,"Sep 30, 1950",Sat,Bradley,57,,Adams State,0,
